Run,20150821-20lps-001-eq,1500
x (m),WS (cm),BED (cm)
2,32,19
2.1,32,19
2.2,32,18.5
2.3,32,18.5
2.35,31.5,18
2.45,31.5,18.5
2.5,31.5,18
2.6,31.5,18
2.7,31,18
2.8,30.5,17.5
2.9,31,18
3,31,18
3.1,31,18
3.2,31,18
3.3,31,18.5
3.4,31.5,18
3.5,31,18
3.6,31,18
3.7,31,18
3.8,31,17.5
3.9,30,17
4,31.5,18
4.1,29.5,18.5
4.2,29,18
4.3,29.5,18
4.4,29,17
4.5,31.5,16
4.6,30,15.5
4.7,30,15.5
4.8,30,16.5
4.9,30,16.5
5,32,16
5.1,31.5,16
5.2,30,16
5.3,31,16.5
5.4,31,17
5.5,31.5,17
5.6,30,15
5.7,29,14
5.8,29,14.5
5.9,29.5,16.5
6,31,17
6.1,29.5,16
6.2,29,16
6.3,29,16
6.4,29,16
6.5,29,16.5
6.6,29,14.5
6.7,28,14
6.8,28,14.5
6.9,28.5,14.5
7,30,17
7.1,28,14.5
7.2,28,14.5
7.35,28,15
7.4,27.5,15
7.5,28,15
7.6,28.5,15
7.7,28,15
7.8,27,15
7.9,28,15
8,27.5,15.5
8.1,26.5,15.5
8.2,26,15
8.3,25,15
8.4,27,15
8.45,26,16
8.55,28,16.5
8.6,28,17
8.7,28,16
8.8,26,12
8.9,26,9
