Run,20150821-20lps-001-eq,1500
x (m),WS (cm),BED (cm)
2,32.5,18.5
2.1,32,18.5
2.2,31.5,18.5
2.3,31,18.5
2.35,31,18.5
2.45,31,18.5
2.5,30.5,19
2.6,30.5,19
2.7,30,19
2.8,30,19
2.9,29.5,18.5
3,29,18.5
3.1,29,18.5
3.2,29.5,18.5
3.3,30,19
3.4,30,18.5
3.5,30,16
3.6,29.5,16
3.7,30.5,16
3.8,30.5,16
3.9,30.5,16.5
4,31.5,16.5
4.1,31,17
4.2,31,17
4.3,30.5,16.5
4.4,30,16
4.5,30.5,16
4.6,30.5,16
4.7,29.5,16.5
4.8,29,16.5
4.9,29.5,18
5,31,18
5.1,30,18
5.2,28,16.5
5.3,28,16.5
5.4,28,16.5
5.5,28.5,16.5
5.6,28,16
5.7,27.5,15
5.8,27,15
5.9,27.5,15
6,28.5,15
6.1,30,15
6.2,29,15
6.3,28.5,15
6.4,28.5,15
6.5,29,16
6.6,29,16
6.7,29,14
6.8,28.5,15
6.9,27.5,15
7,29.5,16
7.1,28.5,16.5
7.2,27.5,16
7.35,27.5,16
7.4,27.5,15.5
7.5,27.5,15.5
7.6,28,15.5
7.7,28,14
7.8,27,14.5
7.9,26,15
8,29,15.5
8.1,27,15
8.2,27,15
8.3,26.5,15
8.4,26,14.5
8.45,27,14.5
8.55,28,15
8.6,28,15
8.7,27.5,14.5
8.8,26,13
8.9,26,9
