Run,20140912-001-ag,2500
x (m),WS (cm),Bed (cm)
2,39.5,21.5
2.1,39,20.5
2.2,39,21
2.3,37.5,21
2.35,38,20
2.45,38,21
2.5,38,21
2.6,38.5,20.5
2.7,39,21.5
2.8,38,21
2.9,38,21
3,38,20.5
3.1,38.5,22.5
3.2,38,21.5
3.3,38.5,21
3.4,38,21
3.5,38.5,18.5
3.6,38.5,18
3.7,39,18
3.8,37,18
3.9,37.5,18.5
4,39,18
4.1,38.5,19
4.2,37.5,18
4.3,37.5,17
4.4,37.5,18
4.5,39,18
4.6,37,17
4.7,36,16.5
4.8,36,17
4.9,38,17.5
5,37,18
5.1,37,18
5.2,36.5,18
5.3,36,17.5
5.4,37,17.5
5.5,37,18
5.6,37,18
5.7,36,17.5
5.8,35,18.5
5.9,36,18.5
6,37,18
6.1,37,18
6.2,36.5,19
6.3,37,19
6.4,35,19
6.5,35,19
6.6,35,19
6.7,36,18.5
6.8,36,18
6.9,35,19
7,35,19
7.1,35,19
7.2,34.5,18.5
7.35,35,18.5
7.4,32,18
7.5,33,18
7.6,34,17.5
7.7,34,18.5
7.8,32,18.5
7.9,33,18.5
8,34,18
8.1,33,18
8.2,34,17.5
8.3,33.5,17.5
8.4,33,17
8.45,34,18
8.55,35,17
8.6,34,17
8.7,35,17
8.8,33,16.5
8.9,33,9
