Run,20140722-008-eq,2000
x (m),WS (cm),Bed (cm)
2,42.5,25
2.1,42,24
2.2,42.5,23
2.35,42,23
2.45,42,23
2.6,42,23
2.7,42,22
2.8,42,22.5
2.9,42.5,23
3,43,22
3.1,42,22
3.2,41,22
3.3,41.5,22
3.4,42,22.5
3.5,42,23
3.6,41.5,23
3.7,40.5,22.5
3.8,40,23
3.9,39,23
4,41.5,24
4.1,40.5,24
4.2,40,24
4.3,40,23.5
4.4,40,20
4.5,40,23.5
4.6,39.5,23.5
4.7,39,23
4.8,38.5,23
4.9,38,20.5
5,39.5,21
5.1,40,20
5.2,40,20.5
5.3,40,21
5.4,40,21
5.5,37,20
5.6,39,20.5
5.7,39,20
5.8,38,20
5.9,38,20
6,40,21
6.1,41.5,22
6.2,38.5,20
6.3,40,20
6.4,38,20
6.5,38.5,20.5
6.6,38.5,21
6.7,39,20.5
6.8,38,20
6.9,38,20
7,39,21
7.1,40,22
7.2,40,22
7.35,38,20.5
7.4,38,20
7.5,37,21
7.6,39,21
7.7,40,21
7.8,38.5,20.5
7.9,38,19
8,39.5,20
8.1,39,21
8.2,39.5,21.5
8.3,38,21
8.45,36,19
8.55,39,19.5
8.6,37,19
8.7,36,18
8.8,35.5,18
8.9,35,10
