Run,20141003-001-ag,4000
x (m),WS (cm),Bed (cm)
2,41,25
2.1,40.5,24.5
2.2,40.5,24
2.3,39.5,22.5
2.35,39,23
2.45,39,23
2.5,40,23
2.6,40.5,23.5
2.7,40,23
2.8,39,23
2.9,39,23.5
3,39,23
3.1,40,23
3.2,40.5,23
3.3,40.5,23
3.4,40,23
3.5,39.5,22
3.6,40,22
3.7,39,22
3.8,39,21.5
3.9,39,21.5
4,39,22
4.1,39,22.5
4.2,38,22.5
4.3,37.5,22
4.4,37,20.5
4.5,37,21
4.6,37,22
4.7,36.5,22
4.8,36,23
4.9,36,22.5
5,37,22
5.1,37,21.5
5.2,37,22
5.3,37,22
5.4,37,22.5
5.5,37,22
5.6,36,21
5.7,37,21
5.8,37,22
5.9,38,23
6,38,23
6.1,39,23
6.2,38.5,22.5
6.3,38,22
6.4,37.5,21.5
6.5,38,22
6.6,39,22
6.7,40,18
6.8,39.5,18
6.9,38,18
7,37,18.5
7.1,38,18.5
7.2,38,18.5
7.35,38,18
7.4,37,18
7.5,36.5,18.5
7.6,36,18.5
7.7,35,18
7.8,35.5,18
7.9,35,18.5
8,35,20
8.1,36,2
8.2,37,21
8.3,38,21
8.4,33,20
8.45,35,20
8.55,34,20
8.6,35,20
8.7,36,20
8.8,35,20
8.9,34,10
