Run,20141105-001-ag,
x (m),WS (cm),Bed (cm)
2,42,27
2.1,41.5,26.5
2.2,41,26.5
2.3,40,26
2.35,40,26
2.45,39.5,26
2.5,39,26
2.6,40,26
2.7,40.5,26.5
2.8,40.5,25.5
2.9,38.5,25
3,38,25
3.1,38,24.5
3.2,38.5,25
3.3,39,25
3.4,38.5,25
3.5,38.5,25
3.6,38.5,25
3.7,38,24
3.8,37.5,24.5
3.9,37.5,24
4,37,24
4.1,37,24
4.2,37,24
4.3,37.5,24.5
4.4,37,24
4.5,37,24
4.6,36.5,23.5
4.7,36,23
4.8,36,23
4.9,36.5,23.5
5,36.5,23.5
5.1,37,23.5
5.2,36.5,23.5
5.3,36,23
5.4,36,23
5.5,36,23
5.6,35,22.5
5.7,35,22
5.8,35,22
5.9,35,22
6,35.5,23
6.1,36,23
6.2,36,23
6.3,35.5,22
6.4,35,22
6.5,35,22.5
6.6,35.5,23
6.7,36,23
6.8,36,23
6.9,35.5,22.5
7,35,22
7.1,35,22
7.2,35,22
7.35,34.5,22
7.4,34,22
7.5,34,21
7.6,34,21
7.7,34,20.5
7.8,34.5,21.5
7.9,34,20.5
8,34,20
8.1,34,20
8.2,34,20
8.3,33,20.5
8.4,33.5,20.5
8.45,33.5,21
8.55,34,20
8.6,33,18
8.7,32,18
8.8,33,19
8.9,32,11
