Run,2015707-001-eq,20000
x (m),WS (cm),Bed (cm)
2,43,33.5
2.1,43,32.5
2.2,42.5,31
2.3,42,30
2.35,41,30
2.45,39.5,29
2.5,39.5,29
2.6,39,29
2.7,39,29
2.8,39,29
2.9,39.5,29
3,39.5,29
3.1,39,29
3.2,38,28.5
3.3,37.5,28.5
3.4,37,28
3.5,37,28
3.6,37,27.5
3.7,37,27.5
3.8,37,27
3.9,37,27.5
4,36.5,27.5
4.1,36,27
4.2,36,26.5
4.3,36,26.5
4.4,36.5,26.5
4.5,35.5,26.5
4.6,35,26
4.7,35,26.5
4.8,35,26
4.9,35,26
5,35,26
5.1,35,26
5.2,34.5,25
5.3,34,25
5.4,34,24.5
5.5,34,24.5
5.6,33.5,23.5
5.7,33,23
5.8,33,23
5.9,33,23
6,32,23
6.1,32,22.5
6.2,32,22.5
6.3,32,22.5
6.4,32,22.5
6.5,32,22.5
6.6,32,22.5
6.7,31,22.5
6.8,31,22.5
6.9,31,22
7,31,22
7.1,30.5,21
7.2,30,21
7.35,30,21
7.4,29,21
7.5,29,21
7.6,29,20.5
7.7,29,20
7.8,29,20
7.9,28.5,20
8,28,19
8.1,27,19
8.2,27,19
8.3,27.5,19
8.4,28,19
8.45,28,19
8.55,27.5,19
8.6,27.5,19
8.7,27,19
8.8,27,19
8.9,27,10
