Run,20140711-002-eq,500,,,,,,,,,,,,,,,,,,,,,
x (m),WS (m),BED (m),,,,,,,,,,,,,,,,,,,,,
2,37.5,14,,,,,,,,,,,,,,,,,,,,,
2.1,37,14,,,,,,,,,,,,,,,,,,,,,
2.2,37,13,,,,,,,,,,,,,,,,,,,,,
2.3,37,13,,,,,,,,,,,,,,,,,,,,,
2.5,37.5,13,,,,,,,,,,,,,,,,,,,,,
2.6,37,14,,,,,,,,,,,,,,,,,,,,,
2.7,37,15,,,,,,,,,,,,,,,,,,,,,
2.8,37,15,,,,,,,,,,,,,,,,,,,,,
2.9,37,14,,,,,,,,,,,,,,,,,,,,,
3,37,13.5,,,,,,,,,,,,,,,,,,,,,
3.1,37,13.5,,,,,,,,,,,,,,,,,,,,,
3.2,37,14,,,,,,,,,,,,,,,,,,,,,
3.3,37,14,,,,,,,,,,,,,,,,,,,,,
3.4,37,14.5,,,,,,,,,,,,,,,,,,,,,
3.5,37,14.5,,,,,,,,,,,,,,,,,,,,,
3.6,36.5,15,,,,,,,,,,,,,,,,,,,,,
3.7,36,12,,,,,,,,,,,,,,,,,,,,,
3.8,36,12,,,,,,,,,,,,,,,,,,,,,
3.9,37,12.5,,,,,,,,,,,,,,,,,,,,,
4,36,13,,,,,,,,,,,,,,,,,,,,,
4.1,36,12,,,,,,,,,,,,,,,,,,,,,
4.2,36,12.5,,,,,,,,,,,,,,,,,,,,,
4.3,36,13,,,,,,,,,,,,,,,,,,,,,
4.4,36,14,,,,,,,,,,,,,,,,,,,,,
4.5,35,14,,,,,,,,,,,,,,,,,,,,,
4.6,35,14,,,,,,,,,,,,,,,,,,,,,
4.7,36.5,14.5,,,,,,,,,,,,,,,,,,,,,
4.8,35,14.5,,,,,,,,,,,,,,,,,,,,,
4.9,36,13,,,,,,,,,,,,,,,,,,,,,
5,36,13,,,,,,,,,,,,,,,,,,,,,
5.1,36,13,,,,,,,,,,,,,,,,,,,,,
5.2,36,13,,,,,,,,,,,,,,,,,,,,,
5.3,36,11,,,,,,,,,,,,,,,,,,,,,
5.4,36,11,,,,,,,,,,,,,,,,,,,,,
5.5,35,11,,,,,,,,,,,,,,,,,,,,,
5.6,36,11,,,,,,,,,,,,,,,,,,,,,
5.7,36,11,,,,,,,,,,,,,,,,,,,,,
5.8,35,12,,,,,,,,,,,,,,,,,,,,,
5.9,35,12,,,,,,,,,,,,,,,,,,,,,
6,36,12.5,,,,,,,,,,,,,,,,,,,,,
6.7,36,10,,,,,,,,,,,,,,,,,,,,,
6.8,34,10.5,,,,,,,,,,,,,,,,,,,,,
6.9,35.5,10.5,,,,,,,,,,,,,,,,,,,,,
7,35.5,11,,,,,,,,,,,,,,,,,,,,,
7.1,36,12,,,,,,,,,,,,,,,,,,,,,
7.2,36,9,,,,,,,,,,,,,,,,,,,,,
7.4,36,9.5,,,,,,,,,,,,,,,,,,,,,
7.5,36,9.5,,,,,,,,,,,,,,,,,,,,,
7.6,36,10,,,,,,,,,,,,,,,,,,,,,
7.7,36,10.5,,,,,,,,,,,,,,,,,,,,,
7.8,34.5,10.5,,,,,,,,,,,,,,,,,,,,,
7.9,34.5,11,,,,,,,,,,,,,,,,,,,,,
8,34,12,,,,,,,,,,,,,,,,,,,,,
8.1,34,14,,,,,,,,,,,,,,,,,,,,,
8.2,34,14,,,,,,,,,,,,,,,,,,,,,
8.3,34,13.5,,,,,,,,,,,,,,,,,,,,,
8.4,34,13.5,,,,,,,,,,,,,,,,,,,,,
8.6,34,13.5,,,,,,,,,,,,,,,,,,,,,
8.7,34,13.5,,,,,,,,,,,,,,,,,,,,,
8.8,34,13.5,,,,,,,,,,,,,,,,,,,,,
8.9,33,9,,,,,,,,,,,,,,,,,,,,,
