,20140715-001-equilibrium,500
x (m),WS (m),BED (m)
2,37,14
2.1,37,13
2.2,36.5,13
2.3,37,12.5
2.5,37,14
2.6,36.5,13.5
2.7,37,14
2.8,37,13.5
2.9,37,14
3,37,14
3.1,36.5,14
3.2,36,14.5
3.3,36.5,14.5
3.4,36,14.5
3.5,36,14.5
3.6,36,14
3.7,36,14.5
3.8,36,15
3.9,36.5,15.5
4,36,15.5
4.1,36,15
4.2,35.5,15.5
4.3,36,15
4.4,36,14
4.5,35.5,14.5
4.6,36,14.5
4.7,36,13
4.8,35,12.5
4.9,36,12.5
5,36,12.5
5.1,35.5,12
5.2,36,12
5.3,36.5,12
5.4,36,10.5
5.5,35.5,10
5.6,35,10.5
5.7,36,10.5
5.8,36,12
5.9,36,12
6,36,12
6.1,35.5,12
6.2,35.5,12.5
6.3,35.5,13
6.4,36,13
6.5,35.5,13
6.6,35.5,13
6.7,35.5,12
6.8,35,13
6.9,36,13.5
7,35,13
7.1,35,14
7.2,35,14
7.4,34.5,14
7.5,34.5,14
7.6,34,14.5
7.7,35,14
7.8,34.5,14
7.9,34,14
8,34.5,14
8.1,34.5,13
8.2,35,9
8.3,34,8.5
8.4,35,8.5
8.45,34.5,8.5
8.55,34.5,7.5
8.6,34,7.5
8.7,34,7.5
8.8,34,7
8.9,35,6
