,20140715-002-equilibrium,500
x (m),WS (m),BED (m)
2,38.5,14.5
2.1,38,14.5
2.2,38,13
2.3,38,13
2.5,38,13.5
2.6,37.5,14
2.7,38,14
2.8,38,14.5
2.9,37.5,14
3,37.5,15
3.1,37,15
3.2,37,15
3.3,37,15
3.4,37,15
3.5,37,15
3.6,37,15
3.7,36.5,12.5
3.8,36,12.5
3.9,37,12.5
4,37,12.5
4.1,37,12.5
4.2,36.5,13
4.3,37,13.5
4.4,36.5,14
4.5,36.5,14
4.6,37,14
4.7,37,14
4.8,34,14
4.9,37,15
5,37,15
5.1,36,15
5.2,35.5,14.5
5.3,36,15
5.4,37,15
5.5,37,10
5.6,37,10
5.7,37,10
5.8,36,10.5
5.9,37,10
6,37,13
6.1,36,13
6.2,37,13
6.3,36.5,13
6.4,36,14
6.5,36,14.5
6.6,35.5,14.5
6.7,35.5,14.5
6.8,35,14
6.9,36,10
7,36,10
7.1,36,10
7.2,36,10
7.4,36,10.5
7.5,36,11
7.6,35.5,12
7.7,36,12
7.8,35,12
7.9,36,13
8,36,14
8.1,35,14
8.2,35.5,12
8.3,35,8.5
8.4,35,8.5
8.45,35.5,9
8.55,36,9
8.6,36,9
8.7,36,9
8.8,34.5,9
8.9,36,9
