,20140715-003-eq,500
x (m),WS (m),BED (m)
2,38,15
2.1,37.5,14
2.2,37,13.5
2.3,37,13.5
2.5,37.5,13.5
2.6,37,14
2.7,38,14
2.8,38,14.5
2.9,37,15
3,36.5,15
3.1,36.5,14.5
3.2,36.5,14
3.3,37,14
3.4,37,14
3.5,37,14
3.6,36.5,13.5
3.7,36,13
3.8,35.5,13
3.9,36.5,13.5
4,37,14
4.1,37,13
4.2,36.5,12
4.3,36.5,12.5
4.4,36.5,12.5
4.5,36.5,13
4.6,37,13
4.7,37,13
4.8,35,13
4.9,37,13.5
5,36.5,13
5.1,36,11
5.2,37,11.5
5.3,36,11.5
5.4,36.5,12
5.5,36,12.5
5.6,36,13
5.7,35.5,13
5.8,35,13
5.9,35,15
6,36.5,12
6.1,36,12.5
6.2,36.5,13
6.3,36,13
6.4,36,13
6.5,36.5,13.5
6.6,36.5,13.5
6.7,36.5,13.5
6.8,34.5,14
6.9,35,14.5
7,36,14
7.1,35,15
7.2,35,15
7.4,34.5,10
7.5,34.5,10
7.6,35,10
7.7,36,10.5
7.8,35.5,10.5
7.9,34.5,11
8,35.5,11
8.1,35,12
8.2,35,13
8.3,35,13.5
8.4,35.5,13.5
8.45,35.5,14
8.55,36,14
8.6,35,13.5
8.7,34,9
8.8,34,8
8.9,35,8
