Run,20140715-004-eq,500
x (m),WS (m),BED (m)
2,38.5,15
2.1,38,14.5
2.2,38,14.5
2.3,37,14
2.35,37,14.5
2.5,37.5,15
2.6,38,15
2.7,37.5,15.5
2.8,37,15
2.9,37,14.5
3,38,14.5
3.1,38,15
3.2,38,14.5
3.3,37.5,14
3.4,37,15
3.5,37,15.5
3.6,37,15.5
3.7,36.5,15
3.8,36,15
3.9,37,14
4,37.5,13
4.1,37.5,13.5
4.2,36.5,13.5
4.3,37,13.5
4.4,36.5,14
4.5,36,13.5
4.6,37,13
4.7,37,13
4.8,37,11.5
4.9,37.5,12.5
5,36.5,13.5
5.1,37,12.5
5.2,37.5,13
5.3,37.5,13
5.4,36.5,13.5
5.5,36.5,14
5.6,37,14
5.7,37,14.5
5.8,35.5,14.5
5.9,35,15
6,37,11
6.1,37,11
6.2,37.5,11.5
6.3,36.5,12
6.4,36.5,11.5
6.5,36.5,12
6.6,37,12
6.7,36,12.5
6.8,35.5,12.5
6.9,36,12
7,35,14
7.1,35,14.5
7.2,35,14.5
7.4,35,15
7.5,35.5,12
7.6,36,10.5
7.7,36,10.5
7.8,36,11
7.9,36.5,11
8,36,11
8.1,36,11.5
8.2,36,12.5
8.3,36,14
8.4,36,10
8.45,36,10
8.55,35.5,10.5
8.6,36.5,10
8.7,35.5,10.5
8.8,36,10
8.9,35.5,10
