Run,20140716-006-eq,500
x (m),WS (m),BED (m)
2,39,16.5
2.1,39,16
2.2,39,14.5
2.3,39,14.5
2.35,39,15
2.4,39,15
2.6,39,16.5
2.7,39,16
2.8,39,16
2.9,39,14.5
3,39,14.5
3.1,39,15
3.2,39,15
3.3,39,15.5
3.4,38.5,14.5
3.5,38.5,14.5
3.6,39,14.5
3.7,38,14.5
3.8,37.5,14.5
3.9,39,14.5
4,38,14.5
4.1,38.5,14.5
4.2,38.5,15.5
4.3,38,16
4.4,38,17
4.5,38,17
4.6,38,17
4.7,38,12
4.8,36,11.5
4.9,38,12.5
5,38,13
5.1,38,13
5.2,38,13
5.3,38,13.5
5.4,38,14
5.5,38,15.5
5.6,38,15
5.7,37.5,11.5
5.8,37.5,12
5.9,38,13
6,38,13
6.1,38,14.5
6.2,38,14.5
6.3,38,14.5
6.4,38,14.5
6.5,38,13
6.6,38,13
6.7,38,13
6.8,37.5,13.5
6.9,37,13.5
7,37,14.5
7.1,37,14
7.25,37.5,13.5
7.35,37,13
7.4,37,13
7.5,37,13.5
7.6,37,13.5
7.7,37,11.5
7.8,38,12.5
7.9,37,13.5
8,36.5,13
8.1,36.5,13
8.2,36.5,15
8.3,36,15.5
8.4,36,15.5
8.45,36,15
8.55,36.5,11.5
8.6,36.5,11.5
8.7,36.5,11.5
8.8,37,11
8.9,37,9
