Run,20141017-002-eq,
x (m),WS (cm),Bed (cm)
2,42,25.5
2.1,41.5,25
2.2,41,25
2.3,40,24
2.35,40,24.5
2.45,39.5,25
2.5,40,24.5
2.6,40,26
2.7,40,25.5
2.8,38.5,25
2.9,38,24.5
3,38,24.5
3.1,38.5,24.5
3.2,38.5,25
3.3,39,24.5
3.4,39,24
3.5,39,24.5
3.6,38.5,24.5
3.7,38,23
3.8,38,23
3.9,37.5,23
4,37,22.5
4.1,38,23.5
4.2,38.5,24
4.3,38,24
4.4,37.5,24
4.5,37,23.5
4.6,36.5,23
4.7,37,23
4.8,36.5,23
4.9,36.5,23
5,36.5,23.5
5.1,37,23
5.2,37.5,23.5
5.3,37,23
5.4,36,22.5
5.5,35,22
5.6,35,21.5
5.7,35.5,21
5.8,35,21
5.9,35,21.5
6,35,23
6.1,37,23
6.2,36,22.5
6.3,36,22
6.4,36,21.5
6.5,35,22
6.6,34.5,21.5
6.7,34,21.5
6.8,34,20.5
6.9,35,19.5
7,35,21
7.1,34.5,21.5
7.2,35,22
7.35,35,20
7.4,35,22
7.5,34,21.5
7.6,34.5,21.5
7.7,37,21.5
7.8,35,18
7.9,35,20
8,35,20
8.1,33,19.5
8.2,32,20
8.3,32,18
8.4,34,20.5
8.45,35,18
8.55,35,19.5
8.6,33,20
8.7,33,18.5
8.8,31,16
8.9,35,10.5
