Run,20141029-002-ag,
x (m),WS (cm),Bed (cm)
2,42.5,26
2.1,42.5,25.5
2.2,41.5,25
2.3,41,24
2.35,40.5,25.5
2.45,40.5,26
2.5,41,25
2.6,41.5,25.5
2.7,42,26.5
2.8,41,25.5
2.9,39.5,25
3,39,24.5
3.1,40,25.5
3.2,40,26
3.3,40,26
3.4,40,25.5
3.5,39.5,25.5
3.6,39,24
3.7,39,23
3.8,39,23.5
3.9,38.5,23.5
4,39,24
4.1,40,24.5
4.2,39.5,25
4.3,39,25
4.4,38,24.5
4.5,38,24
4.6,38.5,24
4.7,38,23.5
4.8,38,23
4.9,39,23.5
5,39.5,25
5.1,39.5,23.5
5.2,40,23.5
5.3,39,24
5.4,38,24
5.5,39,22.5
5.6,39,21
5.7,37,22
5.8,35.5,20
5.9,37,21.5
6,37,23
6.1,36.5,21.5
6.2,38,24
6.3,38.5,22
6.4,37,25
6.5,38.5,24.5
6.6,37,19.5
6.7,37.5,19
6.8,40,19
6.9,38.5,20.5
7,38,23.5
7.1,39,23.5
7.2,39,24
7.35,38,23
7.4,37,22.5
7.5,38,21
7.6,38,19.5
7.7,37,22
7.8,39,23
7.9,38,22
8,36.5,22
8.1,38,22
8.2,38.5,22
8.3,37.5,21.5
8.4,36.5,20
8.45,37,19
8.55,37,20
8.6,36,18
8.7,34.5,18
8.8,34,16.5
8.9,35,10
