Run,20140711-001-eq,500,,,,,,,,,,,,,,,,,,,,,
x (m),WS (m),BED (m),,,,,,,,,,,,,,,,,,,,,
2,38,15,,,,,,,,,,,,,,,,,,,,,
2.1,38,14.5,,,,,,,,,,,,,,,,,,,,,
2.2,38,14.5,,,,,,,,,,,,,,,,,,,,,
2.3,38,14,,,,,,,,,,,,,,,,,,,,,
2.5,38,14.5,,,,,,,,,,,,,,,,,,,,,
2.6,37.5,15,,,,,,,,,,,,,,,,,,,,,
2.7,38,15,,,,,,,,,,,,,,,,,,,,,
2.8,38.5,15,,,,,,,,,,,,,,,,,,,,,
2.9,38,15,,,,,,,,,,,,,,,,,,,,,
3,38,15,,,,,,,,,,,,,,,,,,,,,
3.1,37.5,14.5,,,,,,,,,,,,,,,,,,,,,
3.2,37.5,15,,,,,,,,,,,,,,,,,,,,,
3.3,37.5,14,,,,,,,,,,,,,,,,,,,,,
3.4,37.5,13,,,,,,,,,,,,,,,,,,,,,
3.5,37,13,,,,,,,,,,,,,,,,,,,,,
3.6,37,12.5,,,,,,,,,,,,,,,,,,,,,
3.7,37,12,,,,,,,,,,,,,,,,,,,,,
3.8,35,12,,,,,,,,,,,,,,,,,,,,,
3.9,37,12.5,,,,,,,,,,,,,,,,,,,,,
4,37,12.5,,,,,,,,,,,,,,,,,,,,,
4.1,37,13,,,,,,,,,,,,,,,,,,,,,
4.2,37,13.5,,,,,,,,,,,,,,,,,,,,,
4.3,37,14,,,,,,,,,,,,,,,,,,,,,
4.4,37,15,,,,,,,,,,,,,,,,,,,,,
4.5,36.5,15,,,,,,,,,,,,,,,,,,,,,
4.6,37,15,,,,,,,,,,,,,,,,,,,,,
4.7,37,15,,,,,,,,,,,,,,,,,,,,,
4.8,36,10.5,,,,,,,,,,,,,,,,,,,,,
4.9,36,11,,,,,,,,,,,,,,,,,,,,,
5,37,11,,,,,,,,,,,,,,,,,,,,,
5.1,37,11,,,,,,,,,,,,,,,,,,,,,
5.2,37,11.5,,,,,,,,,,,,,,,,,,,,,
5.3,36,11.5,,,,,,,,,,,,,,,,,,,,,
5.4,36,12.5,,,,,,,,,,,,,,,,,,,,,
5.5,37,14,,,,,,,,,,,,,,,,,,,,,
5.6,36,14,,,,,,,,,,,,,,,,,,,,,
5.7,37,14,,,,,,,,,,,,,,,,,,,,,
5.8,35,14,,,,,,,,,,,,,,,,,,,,,
5.9,37,14.5,,,,,,,,,,,,,,,,,,,,,
6,37,15,,,,,,,,,,,,,,,,,,,,,
6.7,36.5,13,,,,,,,,,,,,,,,,,,,,,
6.8,35,13.5,,,,,,,,,,,,,,,,,,,,,
6.9,35,15,,,,,,,,,,,,,,,,,,,,,
7,35,15.5,,,,,,,,,,,,,,,,,,,,,
7.1,35,15.5,,,,,,,,,,,,,,,,,,,,,
7.2,34.5,15.5,,,,,,,,,,,,,,,,,,,,,
7.4,34,15,,,,,,,,,,,,,,,,,,,,,
7.5,34.5,15,,,,,,,,,,,,,,,,,,,,,
7.6,33.5,15,,,,,,,,,,,,,,,,,,,,,
7.7,34,15,,,,,,,,,,,,,,,,,,,,,
7.8,34,15,,,,,,,,,,,,,,,,,,,,,
7.9,32.5,15,,,,,,,,,,,,,,,,,,,,,
8,34,15.5,,,,,,,,,,,,,,,,,,,,,
8.1,34,15.5,,,,,,,,,,,,,,,,,,,,,
8.2,33.5,15.5,,,,,,,,,,,,,,,,,,,,,
8.3,33,15,,,,,,,,,,,,,,,,,,,,,
8.4,32,11.5,,,,,,,,,,,,,,,,,,,,,
8.6,35,9.5,,,,,,,,,,,,,,,,,,,,,
8.7,35,9.5,,,,,,,,,,,,,,,,,,,,,
8.8,34,9,,,,,,,,,,,,,,,,,,,,,
8.9,35,8,,,,,,,,,,,,,,,,,,,,,
