Run,20140716-002-eq,500,,,,,,,,,,,,,,,,,,,,,
x (m),WS (m),BED (m),,,,,,,,,,,,,,,,,,,,,
2,38.5,14.5,,,,,,,,,,,,,,,,,,,,,
2.1,38.5,14,,,,,,,,,,,,,,,,,,,,,
2.2,38,13,,,,,,,,,,,,,,,,,,,,,
2.3,38,13,,,,,,,,,,,,,,,,,,,,,
2.35,38,13,,,,,,,,,,,,,,,,,,,,,
2.5,38,13,,,,,,,,,,,,,,,,,,,,,
2.6,38,13,,,,,,,,,,,,,,,,,,,,,
2.7,38,13.5,,,,,,,,,,,,,,,,,,,,,
2.8,38,14,,,,,,,,,,,,,,,,,,,,,
2.9,38,14,,,,,,,,,,,,,,,,,,,,,
3,38,14.5,,,,,,,,,,,,,,,,,,,,,
3.1,38,15,,,,,,,,,,,,,,,,,,,,,
3.2,38,16,,,,,,,,,,,,,,,,,,,,,
3.3,38,13.5,,,,,,,,,,,,,,,,,,,,,
3.4,37.5,13.5,,,,,,,,,,,,,,,,,,,,,
3.5,37.5,13.5,,,,,,,,,,,,,,,,,,,,,
3.6,37.5,13,,,,,,,,,,,,,,,,,,,,,
3.7,38,13,,,,,,,,,,,,,,,,,,,,,
3.8,37,13,,,,,,,,,,,,,,,,,,,,,
3.9,38,13,,,,,,,,,,,,,,,,,,,,,
4,37,13,,,,,,,,,,,,,,,,,,,,,
4.1,37,13,,,,,,,,,,,,,,,,,,,,,
4.2,37,12,,,,,,,,,,,,,,,,,,,,,
4.3,37,12,,,,,,,,,,,,,,,,,,,,,
4.4,37,12,,,,,,,,,,,,,,,,,,,,,
4.5,37,13,,,,,,,,,,,,,,,,,,,,,
4.6,37,13,,,,,,,,,,,,,,,,,,,,,
4.7,37,13,,,,,,,,,,,,,,,,,,,,,
4.8,37,13,,,,,,,,,,,,,,,,,,,,,
4.9,38,11,,,,,,,,,,,,,,,,,,,,,
5,38,11,,,,,,,,,,,,,,,,,,,,,
5.1,38,11,,,,,,,,,,,,,,,,,,,,,
5.2,38,11,,,,,,,,,,,,,,,,,,,,,
5.3,37,12,,,,,,,,,,,,,,,,,,,,,
5.4,37,13,,,,,,,,,,,,,,,,,,,,,
5.5,37,13,,,,,,,,,,,,,,,,,,,,,
5.6,37,13,,,,,,,,,,,,,,,,,,,,,
5.7,37,14,,,,,,,,,,,,,,,,,,,,,
5.8,36,14,,,,,,,,,,,,,,,,,,,,,
5.9,37,15,,,,,,,,,,,,,,,,,,,,,
6,36,15,,,,,,,,,,,,,,,,,,,,,
6.1,37,15,,,,,,,,,,,,,,,,,,,,,
6.2,37,15,,,,,,,,,,,,,,,,,,,,,
6.3,37,15,,,,,,,,,,,,,,,,,,,,,
6.4,37,12,,,,,,,,,,,,,,,,,,,,,
6.5,37,12,,,,,,,,,,,,,,,,,,,,,
6.6,37,13,,,,,,,,,,,,,,,,,,,,,
6.7,37,13,,,,,,,,,,,,,,,,,,,,,
6.8,35,13,,,,,,,,,,,,,,,,,,,,,
6.9,37,13,,,,,,,,,,,,,,,,,,,,,
7,37,12,,,,,,,,,,,,,,,,,,,,,
7.1,36,12,,,,,,,,,,,,,,,,,,,,,
7.2,36,12,,,,,,,,,,,,,,,,,,,,,
7.35,36,12.5,,,,,,,,,,,,,,,,,,,,,
7.4,36,12.5,,,,,,,,,,,,,,,,,,,,,
7.5,35,13,,,,,,,,,,,,,,,,,,,,,
7.6,36,12,,,,,,,,,,,,,,,,,,,,,
7.7,36,12,,,,,,,,,,,,,,,,,,,,,
7.8,34,12,,,,,,,,,,,,,,,,,,,,,
7.9,35,12,,,,,,,,,,,,,,,,,,,,,
8,35,10.5,,,,,,,,,,,,,,,,,,,,,0.355
8.1,35.5,12,,,,,,,,,,,,,,,,,,,,,0.36
8.2,36,12,,,,,,,,,,,,,,,,,,,,,0.35
8.3,35,12,,,,,,,,,,,,,,,,,,,,,0.35
8.4,35,12,,,,,,,,,,,,,,,,,,,,,0.36
8.45,36,12,,,,,,,,,,,,,,,,,,,,,0.36
8.55,36,12.5,,,,,,,,,,,,,,,,,,,,,0.36
8.6,36,13,,,,,,,,,,,,,,,,,,,,,0.36
8.7,36,13,,,,,,,,,,,,,,,,,,,,,0.35
8.8,35,13,,,,,,,,,,,,,,,,,,,,,0.36
8.9,36,11,,,,,,,,,,,,,,,,,,,,,
