Run,20140716-010-eq,500
x (m),WS (m),BED (m)
2,41,18.5
2.1,40.5,18.5
2.2,40.5,18
2.3,40,17.5
2.35,40,17
2.45,40,17
2.6,40.5,17
2.7,40,17.5
2.8,41,18
2.9,41,18.5
3,40.5,18.5
3.1,40.5,18.5
3.2,40.5,19
3.3,40.5,17
3.4,40,16.5
3.5,40,16
3.6,40,16
3.7,40,16
3.8,40,15
3.9,40.5,15
4,40,15.5
4.1,40.5,16
4.2,40,16.5
4.3,40,17.5
4.4,39.5,18
4.5,39.5,18
4.6,39,18.5
4.7,39,18
4.8,38.5,14
4.9,40,14.5
5,40,15
5.1,40,14.5
5.2,40,15
5.3,40,15.5
5.4,39.5,15.5
5.5,39,16
5.6,39,16
5.7,39,16
5.8,40,14.5
5.9,40,15
6,40,15
6.1,40,16
6.2,40,16.5
6.3,40,17
6.4,39,16.5
6.5,39.5,17
6.6,39.5,17.5
6.7,39.5,18
6.8,38,18
6.9,40,15
7,40,15
7.1,39.5,15
7.2,39.5,15
7.35,39,15
7.4,39,15
7.5,40,12
7.6,39.5,12
7.7,39,12
7.8,39,12.5
7.9,39,13
8,39,14
8.1,39,15
8.2,39,15
8.3,39,16
8.4,39,16
8.45,39,11
8.55,39,11
8.6,39,11
8.7,39,11
8.8,39,11
8.9,39,10
