NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
15:05:10,6/22/15,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20150622-1000-eq\10000-20150622-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,24.1,,,,,,,,
Water Height,260,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,768,0,199,0,,,,,
Transducer 2,668,0,223,0,,,,,
Transducer 3,868,0,199,0,,,,,
Transducer 4,568,0,226,0,,,,,
Transducer 5,468,0,245,0,,,,,
Transducer 6,368,0,264,0,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,2.2,2.2,119.9,137.5,116.8,142.7,166.8,180.4
2, 0:00:08,7.8,7.8,120.4,142.6,111.1,141.9,164,179.3
3, 0:00:12,12,12,116.5,138.2,103.8,145.2,167.1,176.6
4, 0:00:17,16.7,16.7,112.7,138.6,109.9,142.5,167.4,180
5, 0:00:22,21.8,21.8,121.5,135.4,118.6,141.2,163.7,179.5
6, 0:00:27,27.4,27.4,118.7,142.1,104.1,144.8,164.1,179
7, 0:00:32,32.5,32.5,117.2,138.7,112.1,146.7,168.9,175.3
8, 0:00:38,37.6,37.6,119.3,137.7,113.7,142.5,166,179.3
9, 0:00:42,41.7,41.7,120.2,138.9,108.6,141.8,164.1,178.1
10, 0:00:47,46.8,46.8,119.2,140.9,107.8,145.7,162.9,179.4
11, 0:00:52,51.9,51.9,111.4,138.9,110.7,145.8,164.3,179.3
12, 0:00:57,56.9,56.9,123.6,139.4,118,139.3,163.5,182.1
13, 0:01:02,62.5,62.5,120.1,140.6,112.6,140.9,167.7,183
14, 0:01:08,67.6,67.6,118.1,140.5,97.4,141.1,165.1,178.5
15, 0:01:12,71.7,71.7,118.6,139.9,117.7,140.9,164.7,178.1
16, 0:01:17,76.8,76.8,120.7,140.5,112,145.5,165.5,182.9
17, 0:01:22,82.4,82.4,123.7,137.6,105.7,144.2,162.7,180.9
18, 0:01:27,87.5,87.5,121.6,136.8,110.1,143.7,165.9,180.6
19, 0:01:33,92.6,92.6,122.2,138.6,113.4,143.5,165.4,180.9
20, 0:01:37,96.7,96.7,116.9,141.1,115.9,143,164.8,178.8
21, 0:01:42,101.8,101.8,115.5,142.1,118.4,146.4,164.5,179.7
22, 0:01:47,107.4,107.4,116.6,135.6,116.2,147.5,167,183.1
23, 0:01:52,112.1,112.1,125.2,136.4,109.2,142.8,162.8,181.4
24, 0:01:57,116.8,116.8,122.5,141.6,107.5,144.8,167.2,177.3
25, 0:02:02,122.3,122.3,114.4,140.6,108.8,142.2,169.2,181.3
26, 0:02:07,127,127,116,139.9,122.5,140.1,165.3,179.3
27, 0:02:13,132.5,132.5,120.2,143.9,122.7,147.8,168.6,181.2
28, 0:02:17,136.7,136.7,117.5,136.5,100.4,144.5,163.8,181.1
29, 0:02:22,142.2,142.2,124.1,139.2,111.6,144.3,166.5,179.7
30, 0:02:27,146.8,146.8,125.8,140.7,106.8,147.7,167.5,181.5
31, 0:02:32,152.5,152.5,115.5,139.8,105.8,142.2,162.5,181.6
32, 0:02:37,156.6,156.6,119.3,138.5,122,147.5,168.5,179.6
33, 0:02:42,161.9,161.9,119.4,141.2,119.4,142.7,166.5,180.8
34, 0:02:47,166.9,166.9,116.1,140.5,103.4,142.6,167.1,181.2
35, 0:02:52,172.5,172.5,121.5,139.7,112.4,143.4,168.3,183.4
36, 0:02:58,177.6,177.6,117.6,141.5,108.9,145.2,162.3,178.9
37, 0:03:02,182.2,182.2,121.7,137.8,114.1,144.4,167.4,181.3
38, 0:03:08,187.5,187.5,122,140.3,111.9,145.4,169.9,185
39, 0:03:12,191.6,191.6,119.2,140.9,109,142.5,163.8,177.2
40, 0:03:17,197.2,197.2,118.2,143.4,114.3,146.3,168.5,182.9
41, 0:03:22,201.8,201.8,116.7,138.9,116.8,144,165.2,177.5
42, 0:03:27,207.4,207.4,121.8,140.3,108.4,141.1,168.3,184.5
43, 0:03:32,212,212,122.5,145.3,105.4,141.6,166.2,179.9
44, 0:03:37,216.7,216.7,116.6,136.2,106.9,145.4,166.5,180.9
45, 0:03:42,221.7,221.7,120.7,138.9,118.3,144.6,167.1,178.8
46, 0:03:47,227.3,227.3,122.6,137.4,115.6,143.3,167.1,179.6
47, 0:03:52,231.9,231.9,120.6,139.7,100.7,146.3,170.2,179.7
48, 0:03:57,237,237,115.6,137.4,115.7,144.2,166.7,182.8
49, 0:04:02,242,242,120.5,139,112.8,146,165.1,177
50, 0:04:08,247.6,247.6,121.5,142.9,113.3,147.1,166.9,184.9
51, 0:04:12,251.7,251.7,116.8,142.9,106.6,141.9,165.9,178.3
