NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
15:20:42,8/6/15,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20150806-16000-20lps-eq\16000-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,21.2,,,,,,,,
Water Height,290,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,Moved,This file is to computed the 20lps-16kg run fluctuations because the sonars moved and the distance is not recorded.,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,768,0,264,0,,,,,
Transducer 2,668,0,286,0,,,,,
Transducer 3,868,0,243,0,,yes,,,
Transducer 4,568,0,293,0,,,,,
Transducer 5,468,0,314,0,,yes,,,
Transducer 6,368,0,337,0,,yes,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
213, 0:19:37,1177.3,1189.3,203.7,226.6,186.6,236.5,259.5,285.2
214, 0:19:40,1179.9,1191.9,204.4,226,183.9,235.9,261.3,288.8
215, 0:19:45,1184.9,1196.9,204.2,226.5,184.6,241.7,259.6,285.1
216, 0:19:50,1189.8,1201.8,201.4,229.2,182.7,235.6,259.4,286.5
217, 0:19:55,1194.8,1206.9,203.1,227.4,185,239,261.1,287.2
218, 0:20:00,1199.7,1211.8,202.8,228,187,238.2,264.4,286.3
219, 0:20:05,1204.6,1216.6,203.9,229,186.6,238,259,285.6
220, 0:20:10,1210,1222,204,229.7,184.7,238.8,260.5,286.9
221, 0:20:15,1215,1227,203.7,226.5,185.7,236.8,260.2,287.7
222, 0:20:20,1219.6,1231.6,204,227.4,183.9,236.9,261.2,286.4
223, 0:20:25,1224.6,1236.6,203.1,228.3,185.6,236.8,260.6,286
224, 0:20:30,1229.7,1241.8,202.1,227.4,184.1,236.2,261.2,286.8
225, 0:20:35,1234.8,1246.8,203,228.7,184.6,238.6,260.6,288.3
226, 0:20:40,1239.8,1251.8,202.4,228.9,185.3,236.2,261.4,288
227, 0:20:45,1244.7,1256.8,202.9,231.1,187.8,235.9,259.5,287
228, 0:20:50,1249.7,1261.7,203.3,227.9,186.2,238.9,261.4,286.8
229, 0:20:55,1254.7,1266.7,206.6,224.3,184.1,239.6,258.9,286.6
230, 0:21:00,1259.7,1271.7,207.3,226.6,183,237.1,261.5,285.9
231, 0:21:05,1264.6,1276.7,205.2,226.3,183.8,239.8,261.8,287.4
232, 0:21:10,1269.6,1281.6,202,228.8,185.5,238.8,260,286.9
233, 0:21:15,1274.6,1286.6,204.2,229.7,186.5,238,260.5,285.4
234, 0:21:20,1280,1292.1,203,230.7,187.8,238.9,259.8,289.5
235, 0:21:25,1285,1297,202.2,225.5,186,235.9,260.5,288.5
236, 0:21:30,1290,1302,203.4,226.6,185.1,237.6,262.2,286.9
237, 0:21:35,1295,1307,202.1,227.7,186.7,237.7,261.3,286.6
238, 0:21:40,1300,1312,203.1,228.7,186.1,238.5,263.6,288.9
239, 0:21:45,1304.9,1316.9,203.5,227.4,184.7,237.6,261.2,288.8
240, 0:21:50,1309.9,1321.9,203.5,226.6,183.5,236.3,260.7,288
241, 0:21:55,1314.8,1326.9,202,,185.4,236.7,260.2,290
242, 0:22:00,1319.9,1331.9,205,227.1,187,237.1,261.5,288.3
243, 0:22:05,1324.8,1336.9,204.2,230.3,186.2,234.7,259.2,288.1
244, 0:22:10,1329.8,1341.8,204.3,228.3,183.6,236.8,259.4,288.9
245, 0:22:15,1334.9,1347,202,231.6,184.5,238.7,259.2,289.1
246, 0:22:20,1339.9,1351.9,202,225.9,185,236.3,260.1,289.7
247, 0:22:25,1344.9,1356.9,203.6,227.1,188.9,237.3,262,288.5
248, 0:22:30,1349.9,1361.9,202.8,,185.2,236.4,261.9,289.2
249, 0:22:35,1354.8,1366.9,203.8,226,186.7,238.3,260.9,287.5
250, 0:22:40,1359.9,1371.9,201.4,231.6,188,239.6,261.2,286.8
251, 0:22:45,1364.9,1376.9,200.8,228.8,187,236.9,260.9,288.3
252, 0:22:50,1369.9,1381.9,203.7,227.6,185.5,237.6,262.4,286.7
253, 0:22:55,1374.9,1386.9,203.3,230.9,185.3,236.5,262.7,287.6
254, 0:23:00,1379.8,1391.8,203.6,228.2,183.6,235.7,260.2,285.9
255, 0:23:05,1384.9,1396.9,205.3,,188.5,237.6,262,286.9
256, 0:23:10,1389.9,1401.9,205.1,229.1,185.3,235.7,264.8,287.5
257, 0:23:15,1394.8,1406.8,204.8,225.5,184.5,236.1,260.3,287.4
258, 0:23:20,1399.8,1411.8,209.3,227.6,185.5,238.7,259.9,287.3
