NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,,,,
11:48:53,8/21/15,,,,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20150821-1500-eq-2-20lps\1500-eq,,,,,,,,,,,
Sample Interval (sec),5,,,,,,,,,,,
Samples Per Probe,1,,,,,,,,,,,
Water Temp in C,21,,,,,,,,,,,
Water Height,28,,,,,,,,,,,
,,,,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,,,,
Transducer #,X,Y,Z,dB,,,,,,,,
Transducer 1,768,0,221,0,,,,,,,,
Transducer 2,668,0,246,0,,,,,,,,
Transducer 3,868,0,214,0,,,,,,,,
Transducer 4,568,0,244,0,,,,,,,,
Transducer 5,468,0,253,0,,,,,,,,
Transducer 6,368,0,265,0,,,,,,,,
,,,,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,,,,
,,,,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6,,,
1, 0:00:02,1.5,1.5,139,161,130.4,143.8,154.4,171.6,,,
2, 0:00:07,7,7,134.4,151.3,146.7,141.9,150.9,164.1,,,
3, 0:00:12,12,12,137.2,153,139.7,146.3,150.8,158.9,,,
4, 0:00:17,16.6,16.6,143.9,150.8,141.1,144.3,162,157.5,,,
5, 0:00:22,22,22,144,153.1,141,139.4,158.3,169.5,,,
6, 0:00:27,26.6,26.6,142.8,159.8,139.6,136.3,151.8,163,,,
7, 0:00:32,31.8,31.8,140.8,156.8,141.7,137.6,146.7,158.5,,,
8, 0:00:37,36.7,36.7,140,148.7,148.3,143.7,146.9,170.7,,,
9, 0:00:42,41.7,41.7,144.1,153.4,149.3,142.4,151.5,170.7,,,
10, 0:00:47,46.7,46.7,142.6,155.5,148,142.2,158.3,169.9,,,
11, 0:00:52,51.6,51.6,139.1,160.3,144.4,139.5,151.6,165.4,,,
12, 0:00:57,56.6,56.6,136.5,156.9,141.9,142.6,150.4,160.3,,,
13, 0:01:02,61.6,61.6,128.4,154.8,140.2,158.5,156.5,158.8,,,
14, 0:01:07,66.6,66.6,124.1,152.5,136,157.9,163.6,156,,,
15, 0:01:12,71.8,71.8,120.8,149.7,134.5,155.8,163.7,153.1,,,
16, 0:01:17,76.7,76.7,138.3,146.8,132.2,154.9,159.8,159.6,,,
