NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
12:24:11,7/30/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20140730-eq-ag\run1,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,21,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,295,10,,,,,
Transducer 2,6680,0,300,11,,,,,
Transducer 3,8680,0,330,12,,,,,
Transducer 4,5680,0,293,13,,,,,
Transducer 5,4680,0,300,14,,,,,
Transducer 6,3680,0,310,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1795, 2:31:01,9061.2,9087,163.2,159.3,199.9,162.5,183.8,216.1
1796, 2:31:06,9066.2,9092,162.5,160.8,199.4,160.3,181,219.5
1797, 2:31:11,9071.2,9097,160.8,160.4,197.3,156.9,190.1,216.9
1798, 2:31:16,9076.1,9102,160.5,161.6,195.1,156.9,189.3,213.6
1799, 2:31:21,9081.1,9107,161.5,196.5,191.8,156.7,185.4,214.1
1800, 2:31:26,9086.2,9112,161,197.6,189,152.4,183.6,215
1801, 2:31:31,9091.1,9117,164.9,189.2,187.5,151.7,182.6,211.5
1802, 2:31:36,9096.2,9122,172,180.9,185.6,151.1,179.8,207.4
1803, 2:31:41,9101.2,9127,196.7,183.8,184.2,150.8,177.4,205.1
1804, 2:31:46,9106.1,9131.9,198.2,185.7,183.1,158,176.7,206.5
1805, 2:31:51,9111.2,9137,195,193.7,181.1,162.8,177.4,205.1
1806, 2:31:56,9116.1,9141.9,192.8,196.2,178.3,159.3,177.6,203.2
1807, 2:32:01,9121.2,9147,190.3,196.3,178.8,160.4,176.3,197.8
1808, 2:32:06,9126.2,9152,184.5,194.3,175.6,156.6,174.3,190.9
1809, 2:32:11,9131.2,9157,189.3,184.9,177.3,154.7,172.3,187.2
1810, 2:32:16,9136.2,9162,192.1,177.4,182,155.6,172,187.1
1811, 2:32:21,9141.2,9167,185.2,173.9,195.7,154.9,178.5,189.1
1812, 2:32:26,9146.1,9171.9,178.3,172.2,196.2,155.8,199.4,199.6
1813, 2:32:31,9151.1,9176.9,175.4,173.6,195.6,159.3,194.2,194.7
1814, 2:32:36,9156.3,9182.1,172.9,178.7,193.2,192.3,188.1,189.4
1815, 2:32:41,9161.2,9187,171.6,195.3,189.5,193.4,188.1,188.3
1816, 2:32:46,9166.2,9192,169.1,192.2,190.4,190.3,191.5,188.3
1817, 2:32:51,9171.2,9197,169,196.1,188.9,185,204.5,187.3
1818, 2:32:56,9176.2,9202,170.7,192.3,192.2,176.9,206.8,187.4
1819, 2:33:01,9181.1,9206.9,173.1,190.7,197.1,171.3,209.4,187.2
1820, 2:33:06,9186.1,9211.9,171,193,197.3,173,208.9,184.3
1821, 2:33:11,9191.1,9216.9,171.5,191.9,194.7,194.3,202.2,185.3
1822, 2:33:16,9196,9221.8,168.4,187.7,189.2,191.7,204.6,183.8
1823, 2:33:21,9201,9226.8,166.4,188.6,189.3,187.1,203,179.7
1824, 2:33:26,9206,9231.9,163.5,185.9,183.4,186.3,196.3,184
1825, 2:33:31,9211.1,9236.9,162.8,184.1,183.2,184.7,186.3,188
1826, 2:33:36,9216,9241.9,163.6,187.6,181.6,178.6,181.3,207.6
1827, 2:33:41,9221.1,9246.9,166.9,191,181.5,178.2,177.3,206.2
1828, 2:33:46,9226,9251.8,181,190.5,184.9,176.8,177.2,216
1829, 2:33:51,9231,9256.8,182.1,188.2,196.3,172.4,179.4,224.6
1830, 2:33:56,9236,9261.8,180.8,186.9,212.9,170.6,186.6,221.8
1831, 2:34:01,9241,9266.8,178.4,186.6,210.6,168.3,180.9,213.9
1832, 2:34:06,9245.9,9271.7,175.6,182.4,208,166.5,182.2,205.9
1833, 2:34:11,9250.9,9276.8,172.7,180.3,206.2,165.8,195.6,217.5
1834, 2:34:16,9255.9,9281.7,171.1,180.1,204.3,161,196.7,221.8
1835, 2:34:21,9261.4,9287.2,170.5,178.9,201,162.9,194,219.1
1836, 2:34:26,9266,9291.8,167.5,176.4,196.2,161.5,190.4,219.8
1837, 2:34:31,9270.9,9296.8,167.2,175.2,190.9,169,193.3,217.1
1838, 2:34:36,9275.9,9301.7,169.6,174.8,188.1,199.9,194.3,212.1
1839, 2:34:41,9280.9,9306.7,186.3,171.3,186.3,199.3,189.3,210
1840, 2:34:46,9285.9,9311.7,186.1,170.2,183.5,198.1,187.4,207.6
1841, 2:34:51,9290.9,9316.7,182.6,167.7,183.4,198.2,181.4,203.9
1842, 2:34:56,9295.9,9321.7,179.3,166.3,185.7,195.3,180.1,206.8
1843, 2:35:01,9300.9,9326.7,179.4,165.6,201.6,193.9,176.9,203.9
1844, 2:35:06,9305.8,9331.6,176.8,167.8,212.9,190.9,176.8,203.8
1845, 2:35:11,9310.8,9336.6,174.4,165,210.8,194.3,177.7,201.9
1846, 2:35:16,9315.8,9341.7,177.9,164.3,206.9,190.1,176,199.6
1847, 2:35:21,9320.9,9346.7,179.4,162.7,203.1,184.9,174.4,197.3
1848, 2:35:26,9325.8,9351.6,179.3,160.5,203.1,177.9,173,194.1
1849, 2:35:31,9330.8,9356.6,178.5,159.4,200.8,176.8,172.2,190.3
1850, 2:35:36,9336.3,9362.1,199.2,158.1,197.3,173.7,169.6,189.8
1851, 2:35:41,9340.9,9366.7,198.2,155.6,193.4,172.2,168.2,189.8
1852, 2:35:46,9345.8,9371.6,196.1,153.6,191,172.2,166.7,185.7
1853, 2:35:51,9350.8,9376.6,202.8,154.2,187.6,167.1,165.4,181.7
1854, 2:35:56,9356.2,9382.1,198.6,153.6,184.1,167.9,166.3,179
1855, 2:36:01,9361.3,9387.1,184,153.9,178.9,167,166.4,180.5
1856, 2:36:06,9365.9,9391.7,194.2,153.1,179.8,174.8,167.9,179.4
1857, 2:36:11,9370.9,9396.7,194.5,155.5,190.6,183,171,177.9
1858, 2:36:16,9375.9,9401.7,182.8,156.4,195,183.5,173.1,176.2
1859, 2:36:21,9380.8,9406.6,179.6,157.3,194.5,193.8,201.9,177.4
1860, 2:36:26,9386.3,9412.1,196.4,158.8,194.4,200.3,199.8,177.2
1861, 2:36:31,9390.9,9416.7,191.7,197.2,191.9,197.9,205.1,177.7
1862, 2:36:36,9395.9,9421.7,187.8,189.6,189,198.2,204.8,181.1
1863, 2:36:41,9400.9,9426.7,183.4,195.1,186.9,190.4,204.6,189.5
1864, 2:36:46,9405.8,9431.7,183.4,200.2,187.6,193.9,197.2,190.8
1865, 2:36:51,9410.8,9436.7,183.9,201.4,187.6,195.5,190.8,196.8
1866, 2:36:56,9416,9441.8,197.6,193.1,185.3,195.2,200.5,198.1
1867, 2:37:01,9421,9446.8,191.8,193.6,184.8,189.3,202,212.3
1868, 2:37:06,9426.4,9452.2,190.3,193.7,185,187.2,200.5,211.5
1869, 2:37:11,9431,9456.8,191,190.4,183.2,180.7,198.5,201.9
1870, 2:37:16,9436.1,9461.9,194.5,184.3,182.6,181.7,200.8,206.2
1871, 2:37:21,9441.1,9466.9,189.2,180,181.8,181.1,197.4,214.9
1872, 2:37:26,9446.1,9471.9,187.4,178.8,179.9,182.1,196.6,211.7
1873, 2:37:31,9451,9476.8,183.7,177.2,179,182.4,195.7,204.8
1874, 2:37:36,9456.1,9481.9,184.7,178.2,178.6,179.8,197.2,201.8
1875, 2:37:41,9461.1,9486.9,184,174,178.7,178,198,197.9
1876, 2:37:46,9466,9491.8,183.7,172.2,176.3,177.7,196.1,195.5
1877, 2:37:51,9471,9496.8,182.5,171,175.2,179,195.2,201.1
1878, 2:37:56,9476,9501.8,180.4,169.1,177.2,178.5,193.4,200.6
1879, 2:38:01,9481,9506.8,178.5,169.1,180.4,176,194.9,206.8
1880, 2:38:06,9486,9511.8,173.8,164,180.5,174.2,189.8,218.4
1881, 2:38:11,9490.9,9516.8,169.5,164.7,182,171.9,189.8,214.5
1882, 2:38:16,9495.9,9521.7,168.5,162.7,191.8,170.3,181.9,209.4
1883, 2:38:21,9500.9,9526.7,167.9,162.6,216.7,166.5,178.9,202.6
1884, 2:38:26,9505.9,9531.7,167.1,164,215.3,167.5,183.5,198.8
1885, 2:38:31,9510.9,9536.7,164.2,168.7,216.4,165.9,182.9,210.9
1886, 2:38:36,9516.3,9542.2,164.3,187,217.6,161.5,185.2,208.8
1887, 2:38:41,9521.4,9547.2,163.2,198.1,214.4,164.1,183.9,204.8
1888, 2:38:46,9526,9551.8,163.2,191.2,207.5,162.8,181.1,203.1
1889, 2:38:51,9531,9556.8,158.3,189,201,160.9,181.7,200.1
1890, 2:38:56,9535.9,9561.7,159.9,186,196.8,158.9,178.8,208.8
1891, 2:39:01,9541,9566.8,159.5,194,196.8,160.2,178,205.9
1892, 2:39:06,9545.9,9571.8,158,188.1,203.1,159.5,176.9,222.9
1893, 2:39:11,9550.9,9576.7,157.5,184.3,216.2,162.3,176.2,227.4
1894, 2:39:16,9555.9,9581.7,158.4,180.4,207.3,187.8,175.7,219.9
1895, 2:39:21,9560.9,9586.7,158.6,180.7,209.1,176.5,173.5,214.1
1896, 2:39:26,9565.9,9591.7,166.4,195.6,211.2,196.4,173,208.5
1897, 2:39:31,9571.3,9597.1,180.9,193.6,207.2,192.8,172.7,210.7
1898, 2:39:36,9576.4,9602.2,179.7,190.6,201.8,190,172.5,210
1899, 2:39:41,9581,9606.8,175.4,185,210.9,184.4,171.5,202.5
