NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
12:49:58,9/12/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20140912-ag\Run1,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,22.9,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,295,10,,,,,
Transducer 2,6680,0,300,11,,,,,
Transducer 3,8680,0,302,12,,,,,
Transducer 4,5680,0,293,13,,,,,
Transducer 5,4680,0,300,14,,,,,
Transducer 6,3680,0,305,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,1.6,1.6,164.2,165.8,162.9,175.4,202.4,195.4
2, 0:00:07,6.9,6.9,164.1,163.6,154.8,175.3,196.6,188.3
3, 0:00:12,12.4,12.4,177.7,171.9,154.6,172.9,190.2,187.1
4, 0:00:17,17,17,170.9,192.9,181.5,168.6,182.7,191.3
5, 0:00:22,22,22,180.4,190.1,180.8,163.6,173.9,197.6
6, 0:00:27,26.9,26.9,181.5,179.5,176.2,165,185,192
7, 0:00:32,32.4,32.4,177.7,178.6,175.6,159.6,180,186.6
8, 0:00:37,36.9,36.9,178.2,201.2,165.3,160.3,175.9,192.3
9, 0:00:42,41.9,41.9,179.5,202,160.6,157.3,172.3,202.1
10, 0:00:47,46.9,46.9,178.7,192.3,153.9,158.7,175,197.1
11, 0:00:52,51.9,51.9,175.2,182.9,151.5,154.9,187,190.3
12, 0:00:57,56.8,56.8,168,173.7,149.1,152.5,200.8,186.4
13, 0:01:02,62.3,62.3,159.8,171.8,171.9,152.2,189.4,188.8
14, 0:01:07,66.9,66.9,154.3,187.9,180.2,151.5,182.1,201.2
15, 0:01:12,72.3,72.3,153.8,187.5,182.4,150,179.4,203.7
16, 0:01:17,76.9,76.9,150.8,187.9,177.5,153.1,191.1,195
17, 0:01:22,81.9,81.9,149.2,187.4,168.4,167.5,183.9,187.4
18, 0:01:27,87.3,87.3,146.9,187.7,164.2,164.8,182.7,201.5
19, 0:01:32,91.9,91.9,150.8,192.3,178.8,157.7,175.9,191.8
20, 0:01:37,96.8,96.8,164.4,183.3,186.7,158.9,174.3,203
21, 0:01:42,101.8,101.8,161.4,197,176.4,171.8,191.2,192.8
22, 0:01:47,107.3,107.3,160.8,190.7,169.2,167.4,190.6,204.6
23, 0:01:52,111.9,111.9,159.2,189.1,177.6,163.8,188.5,200.7
24, 0:01:57,116.9,116.9,159.3,190.6,180,166.6,181.8,195.4
25, 0:02:02,122.3,122.3,163.9,182.7,179.8,179.5,180.2,190.1
26, 0:02:07,126.9,126.9,163,177.7,178.6,177.9,174.2,202.1
27, 0:02:12,131.8,131.8,162.3,177.3,174.6,173.9,173,192.9
28, 0:02:17,136.8,136.8,159.6,176.5,169.8,168.6,174.7,189.7
29, 0:02:22,141.8,141.8,158.7,174.9,173.8,167.2,189.9,188.7
30, 0:02:27,147.2,147.2,173.3,170.7,173.4,180.3,179.6,206.8
31, 0:02:32,151.8,151.8,165.3,170.1,171.5,179.3,189.4,201.3
32, 0:02:37,157.3,157.3,174.6,170.1,165.3,185.4,206.8,193.8
33, 0:02:42,161.9,161.9,192.8,188.8,167.8,181.9,199.1,186.2
34, 0:02:47,166.8,166.8,186.8,191.4,175.2,177.7,193.2,185.1
35, 0:02:52,171.8,171.8,176.7,185.9,175.1,171.9,183.8,195.7
36, 0:02:57,177.3,177.3,172.6,180.9,168.8,172.7,180,195.8
37, 0:03:02,181.9,181.9,177.4,177.4,165.7,164.5,180.6,195.3
38, 0:03:07,186.8,186.8,182.8,175.4,159,163,187.8,200.5
39, 0:03:12,191.8,191.8,180.3,171.7,158.5,169.9,185.6,212.3
40, 0:03:17,196.8,196.8,179.4,172.2,153,187.1,203.7,206.3
41, 0:03:22,202,202,184.1,171.8,152.1,186.5,196.9,199.7
42, 0:03:27,207,207,181.2,171.7,153.1,178.5,188.8,199.9
43, 0:03:32,211.9,211.9,176.2,171.8,156.6,173.2,180.7,203.9
44, 0:03:37,216.9,216.9,171.9,169.7,150.1,165.3,170.9,197.2
45, 0:03:42,221.9,221.9,164.2,167.6,144.4,162.8,168.9,206.9
46, 0:03:47,227.4,227.4,155.6,160.7,142.3,160.9,177.1,204.7
47, 0:03:52,232.5,232.5,155.3,158.2,141.6,170.1,176.2,202.9
48, 0:03:57,237.1,237.1,162.1,155.9,144.8,171.9,179.4,192
49, 0:04:03,242.5,242.5,177.1,154.9,151.9,189.3,187.1,184.5
50, 0:04:07,246.6,246.6,180.7,153.4,181.7,189.1,187.3,191.7
51, 0:04:12,251.6,251.6,178.2,154.8,175.8,182.3,204.6,195.6
52, 0:04:17,256.6,256.6,177,164,165.5,191.1,189.9,190.2
53, 0:04:22,261.6,261.6,174,163.9,158,193.9,195.8,189.2
54, 0:04:27,267.1,267.1,170.5,158.1,177.6,191.2,201.3,206.9
55, 0:04:32,272,272,165.1,164.2,175,188.2,203.1,201.9
56, 0:04:37,277,277,163.6,162.7,168.7,178.6,199.4,191.7
57, 0:04:42,282,282,159,167.2,167.8,169.6,198.4,191.6
58, 0:04:47,287,287,158.2,163,169.2,164.2,187.9,205.7
59, 0:04:52,291.9,291.9,158,158.9,167.7,161.4,186.8,213.7
60, 0:04:57,296.9,296.9,162.4,158,173.2,158.8,202.7,209.7
61, 0:05:02,301.9,301.9,188.6,165,174.9,157.8,198.8,205.9
62, 0:05:07,306.8,306.8,184.7,179.7,166.8,158.7,192.7,198.5
63, 0:05:12,311.9,311.9,182.7,173.6,173.4,163.6,184.9,193.5
64, 0:05:17,316.9,316.9,178.2,174.4,168.5,165,177.7,185.3
65, 0:05:22,321.9,321.9,173.3,165.1,160.8,190,174.9,188.6
66, 0:05:27,326.8,326.8,167.8,177.6,153.8,200.8,170.1,195.9
67, 0:05:32,331.8,331.8,165.1,187.3,149,193.2,178,191.8
68, 0:05:37,337.3,337.3,160.2,178.4,147.5,178.3,181.1,188.6
69, 0:05:42,341.8,341.8,170,179.4,148.4,188.7,173.8,184.9
70, 0:05:47,346.8,346.8,168.5,182.6,172.2,182.3,178.8,183.8
71, 0:05:52,351.8,351.8,167,180.6,166.2,190.6,194.2,188.2
72, 0:05:57,356.7,356.7,161.9,177.2,173.2,196.9,201.2,190.7
73, 0:06:02,362.3,362.3,164.8,181.8,168,194.3,201.4,188.2
74, 0:06:07,366.8,366.8,166.7,180,160.8,191.3,197.9,197.7
75, 0:06:12,372.3,372.3,163.3,176.3,153.8,189.2,186.5,192
76, 0:06:17,376.8,376.8,165,174.4,155,184.4,180.3,186.9
77, 0:06:22,381.8,381.8,165.2,168.3,176.3,175.1,186.6,204.1
78, 0:06:27,387.3,387.3,162.3,169,171.6,170.1,198.2,192.7
79, 0:06:32,391.9,391.9,161.2,173.8,161.2,167.5,196.4,192.7
80, 0:06:37,396.9,396.9,160,184.7,155,172.3,192.7,191.7
81, 0:06:42,401.8,401.8,156.2,187.7,153.9,179.2,194.1,187
82, 0:06:47,407.3,407.3,155.6,186.2,165,173.5,189.8,183.1
83, 0:06:52,411.8,411.8,157.1,189.5,164.8,169,186,182.4
84, 0:06:57,416.9,416.9,155.2,183.5,157.7,164.5,182.4,205.8
85, 0:07:02,422.3,422.3,156.3,176.7,153.3,162.4,179.5,191.6
86, 0:07:07,426.9,426.9,151.3,170,153.6,163.9,175.2,199.4
87, 0:07:12,431.9,431.9,150.8,174,175.7,176.9,177.7,204.3
88, 0:07:17,436.8,436.8,149.2,190.9,177.9,179.9,176.2,207.9
89, 0:07:22,441.7,441.7,149.2,187.1,174.4,187.3,175,205
90, 0:07:27,446.8,446.8,145.1,185.9,164.4,180,179.1,194.5
91, 0:07:32,451.8,451.8,146.9,181.8,165.1,188.7,177.3,187.5
92, 0:07:37,456.7,456.7,147.2,181.7,169.4,187.9,176.6,189.1
93, 0:07:42,461.6,461.6,151.5,193.9,170.7,193.5,173.9,201.4
94, 0:07:47,466.6,466.6,171,189.9,172,196,175.4,194.9
95, 0:07:52,471.7,471.7,165.4,184,169.4,192.9,174.2,187
96, 0:07:57,476.6,476.6,183.4,182.7,164.3,191.4,174.9,187.2
97, 0:08:02,481.6,481.6,179.8,180.4,155.5,185.2,193.8,193.5
98, 0:08:07,486.7,486.7,166,174.5,160.6,180.1,196.6,193.4
99, 0:08:12,491.6,491.6,159.2,173.6,159.6,173.2,202.3,199.6
100, 0:08:17,496.6,496.6,163.3,172.3,158.3,168.4,202.3,198.8
101, 0:08:22,502.1,502.1,178.5,172.7,160.8,182.4,188.6,190.6
102, 0:08:27,506.6,506.6,165.5,166.5,155,182.7,196.1,194.9
103, 0:08:32,511.6,511.6,176.1,167.7,146.5,180,192.3,197.1
104, 0:08:37,517.1,517.1,176.2,186.3,144.5,171.6,182.5,191.4
105, 0:08:42,521.6,521.6,174.7,169.7,160.9,163.7,191.1,184.1
106, 0:08:47,526.6,526.6,176.7,175.3,160,159.6,183.5,180.3
107, 0:08:52,531.6,531.6,180.3,197,156.3,156.6,180.1,182.7
108, 0:08:57,536.6,536.6,180.1,191.6,157.9,170.4,192,190.3
109, 0:09:02,541.6,541.6,173.5,189.6,158.7,166.5,186.2,188.9
110, 0:09:07,547,547,170.9,177.4,156.9,166.2,181.3,194.9
111, 0:09:12,552.1,552.1,161.7,173.3,146.3,174.2,194.5,193.8
