NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
15:39:25,6/26/14,,,,,,,,
RunName,C:\Documents and Settings\Cart Operator\Desktop\Ricardo-sonar\20140626\Run-001\001,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,22.8,,,,,,,,
Water Height,310,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,250,10,,,,,
Transducer 2,6680,0,250,11,,,,,
Transducer 3,8680,0,250,12,,,,,
Transducer 4,5680,0,250,13,,,,,
Transducer 5,4680,0,250,14,,,,,
Transducer 6,3680,0,250,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,2,2,109.9,115.8,81.3,97.8,133.8,113.7
2, 0:00:07,6.6,6.6,108.3,131.9,79.3,96.7,131.5,121.6
3, 0:00:12,11.9,11.9,105.7,149.2,79.3,96.6,129.5,122.2
4, 0:00:17,16.9,16.9,105.5,149.7,80,99.4,125.5,121.3
5, 0:00:22,22.3,22.3,106.5,149,79.5,121.8,120.6,119.3
6, 0:00:27,26.9,26.9,108.8,145.6,82,123.8,119.6,118.2
7, 0:00:32,31.9,31.9,116.2,143.3,81.4,125.1,118.1,122.4
8, 0:00:37,36.9,36.9,135.6,143.3,84.1,126,115.4,135.4
9, 0:00:42,42.3,42.3,135.1,140.6,82.7,122.7,118.1,130.6
10, 0:00:47,46.9,46.9,135,133.5,83.2,123.7,118.9,127
11, 0:00:52,51.9,51.9,132.8,131,84.7,125.6,120.2,125.7
12, 0:00:57,56.9,56.9,128.6,126.6,85.3,122.3,131.5,127.9
13, 0:01:02,61.8,61.8,128.3,121.6,86.6,122.5,133,143.5
14, 0:01:07,66.8,66.8,123.2,118.8,86,117,138.9,142
15, 0:01:12,71.8,71.8,120.9,116.8,88,116.4,135.4,142.6
16, 0:01:17,76.8,76.8,121,114.9,103.1,112.5,140.6,141.7
17, 0:01:22,81.7,81.7,118.2,116.4,115.2,110,142.1,138
18, 0:01:27,86.7,86.7,120.4,122.8,130.9,106.7,140.6,136.9
19, 0:01:32,91.8,91.8,116.1,136.5,131.1,105.5,141.6,135.5
20, 0:01:37,97,97,116.6,132.8,132.6,104.3,141.5,135.2
21, 0:01:42,102,102,118.1,133,132.3,102.5,140.5,135.1
22, 0:01:47,107,107,114,130.5,133.3,101.4,142.7,130.8
23, 0:01:52,112,112,113.1,131,135.5,98.4,143.3,127.8
24, 0:01:57,117.4,117.4,111.7,129.7,134.1,99,141.2,124.6
25, 0:02:02,122,122,111.7,128.3,133.1,99,141.1,123.2
26, 0:02:07,127,127,109.6,129.1,129.5,100,137.6,121.3
27, 0:02:12,132,132,111.2,127.3,126,118.4,134.6,120.6
28, 0:02:17,136.9,136.9,108.2,125.4,124.8,120.4,134.3,119.9
29, 0:02:22,141.9,141.9,107.7,122.3,124.8,119.3,130.4,118.7
30, 0:02:27,146.9,146.9,108,121.3,121,120.4,132.6,118.2
31, 0:02:32,151.9,151.9,111,117.6,119.7,117.9,129.9,122.5
32, 0:02:37,156.9,156.9,133,115.8,116.9,115.8,127.4,122.8
33, 0:02:42,161.8,161.8,137.8,116.6,114.4,116.4,121.8,125.3
34, 0:02:47,166.9,166.9,136.5,113.4,111.4,113.6,120.6,144
35, 0:02:52,172.3,172.3,134.8,113,107.7,112.8,120.4,136.1
36, 0:02:57,177.3,177.3,134.5,111.1,105.5,109.3,116.7,127.7
37, 0:03:02,181.9,181.9,131.4,111.5,101.4,108.3,116.4,124.3
38, 0:03:07,186.9,186.9,130.3,110.5,101,105.1,114.5,137.4
39, 0:03:12,191.9,191.9,126.7,110.6,101.1,104.5,113.4,141.8
40, 0:03:17,197.4,197.4,122.2,114.8,97.3,98.6,112.3,137.5
41, 0:03:22,202,202,120.7,137.4,97,98.9,109.9,136.7
42, 0:03:27,206.9,206.9,119.8,144.8,98.4,97.9,112.3,133.3
43, 0:03:32,211.9,211.9,116.8,140.5,102.6,95.9,112.2,130.7
44, 0:03:37,216.9,216.9,113.1,136,114.7,95.3,112.1,126.3
45, 0:03:42,221.9,221.9,113.7,137.1,118.3,93.5,108.1,123.1
46, 0:03:47,226.9,226.9,112.5,133.4,117.8,95.6,109.2,119.3
47, 0:03:52,231.9,231.9,111.7,128.6,116.7,96.2,116.5,120.5
48, 0:03:57,237.3,237.3,112.3,125,114,96,114,124.2
49, 0:04:02,241.8,241.8,113.4,123,112.2,97.2,119.7,133.6
50, 0:04:07,247.3,247.3,137.5,121.9,109.9,115.3,123.7,132.2
51, 0:04:12,251.9,251.9,140.3,118.7,108.4,135.2,128.6,126.3
52, 0:04:17,256.9,256.9,137.7,115.9,107.2,135.6,129.6,127.2
53, 0:04:22,261.9,261.9,136.9,116.5,105,134.5,129.7,126.4
54, 0:04:27,266.8,266.8,134,112,104.1,136.4,125.9,122.2
55, 0:04:32,271.8,271.8,131.8,112,103.1,131.3,126.3,127.8
56, 0:04:37,277.3,277.3,129.1,112.1,102,131.9,123.1,135.7
57, 0:04:42,281.9,281.9,129,111.1,103.2,134.9,120.2,131.7
58, 0:04:47,286.9,286.9,128.1,111.4,106.1,133.5,118.9,125.4
59, 0:04:52,291.8,291.8,125.8,112.6,117.2,134.1,116.8,125.7
60, 0:04:57,296.8,296.8,122.6,130.3,130.9,131.3,115.3,136.3
61, 0:05:02,301.8,301.8,121.6,134.1,129.5,132.8,113.9,133.8
62, 0:05:07,306.8,306.8,118.7,133.3,129,130,115.6,126.3
63, 0:05:12,312.3,312.3,119.3,133.2,129.2,129.2,118.9,126.5
64, 0:05:17,316.9,316.9,115.6,129.6,125.9,129.2,131.7,129.7
65, 0:05:22,321.8,321.8,114.7,127.9,125.5,128.9,130.7,145.3
66, 0:05:27,326.8,326.8,112.8,127.1,121.9,127.5,132.3,156.9
67, 0:05:32,331.9,331.9,113.3,127.7,118,129.9,129.2,151.1
68, 0:05:37,336.8,336.8,109.6,124.2,117.2,127.6,125,143.9
69, 0:05:42,341.8,341.8,110.8,123.4,114.6,125.8,124.5,136.5
70, 0:05:47,346.8,346.8,107.9,122.5,112,126.7,120.4,131.6
71, 0:05:52,352.2,352.2,109.4,121,109.9,127.7,117.4,134.6
72, 0:05:57,356.9,356.9,133,118.4,104.6,126,115.5,149.7
73, 0:06:02,361.9,361.9,135.5,118.6,107.3,125.7,116.1,145
74, 0:06:07,366.9,366.9,137,115.7,103.5,121.5,116.6,138.3
75, 0:06:12,371.9,371.9,141.2,114.7,103.2,121,121.3,129.3
76, 0:06:17,377.3,377.3,138.8,114.8,103.1,119.9,127.5,126.6
77, 0:06:22,381.9,381.9,137.7,115.8,103.5,117.2,129.8,127.1
78, 0:06:27,387.3,387.3,132.6,113.4,103,115.1,128.4,145
79, 0:06:32,391.9,391.9,131.6,112.6,104.4,112.5,126.4,140.4
80, 0:06:37,396.6,396.6,130.4,112,118.1,109.3,127.5,138.8
81, 0:06:42,401.6,401.6,131.1,107.7,140.1,104.9,125.6,133.9
82, 0:06:47,407.1,407.1,129.8,110.6,135.4,104.2,121.9,128.3
83, 0:06:52,412.1,412.1,129.7,111.8,134.8,100.3,123.1,124.5
