NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
14:24:59,6/16/15,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20150616-16000-eq\20150616-16000-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,24.6,,,,,,,,
Water Height,280,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,223,10,,,,,
Transducer 2,6680,0,223,11,,,,,
Transducer 3,8680,0,258,12,,,,,
Transducer 4,5680,0,276,13,,,,,
Transducer 5,4680,0,288,14,,,,,
Transducer 6,3680,0,302,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,1.6,1.6,154,139.1,176.1,176.4,196.9,210
2, 0:00:07,7.1,7.1,152,138.4,174.7,176.6,194.1,209
3, 0:00:12,11.6,11.6,146.6,139.3,175.2,181.8,193.3,211.8
4, 0:00:17,16.6,16.6,149.6,133.9,176.8,182.8,193.1,214.5
5, 0:00:22,21.6,21.6,148.5,139.7,170.9,178.9,197.9,215
6, 0:00:27,26.6,26.6,148.7,135.8,178.7,181.3,197.3,214.7
7, 0:00:33,32.5,32.5,145.7,136.1,173.7,178.5,197,210.1
8, 0:00:37,36.6,36.6,148,136.5,172.7,176.2,194.2,211.5
9, 0:00:42,41.6,41.6,152.1,136.3,172.7,179,195.8,211.3
10, 0:00:47,46.5,46.5,149.3,137.8,173,178.3,193.5,213.4
11, 0:00:52,52,52,146.2,139.5,178.7,180.2,194.7,210
12, 0:00:57,57.5,57.5,147.5,136.4,176.9,178.8,191.9,214.7
13, 0:01:02,62,62,152.1,138.3,173.3,180.9,196.1,210.5
14, 0:01:07,67,67,148.4,136.9,169.2,177.4,194.7,212.3
15, 0:01:12,72,72,149.8,135,173.3,179.2,192.6,211.3
16, 0:01:17,77,77,147.9,135.6,176.9,178.3,196.9,212.8
17, 0:01:22,82,82,148.5,131.6,173.3,179.1,195.9,213.1
18, 0:01:27,86.9,86.9,151.2,137.8,173.4,179.3,192.7,209.7
19, 0:01:32,91.9,91.9,148.3,136.3,174.7,178.6,194.1,213.9
20, 0:01:37,96.9,96.9,146,139.5,175.2,174.3,192.6,210.4
21, 0:01:42,101.9,101.9,146.7,140.9,173.5,179.1,195.3,212.8
22, 0:01:47,106.9,106.9,153.8,135,172.1,180.9,193.6,212.4
23, 0:01:52,111.9,111.9,153.9,138,170.9,179,194,212.2
24, 0:01:57,116.8,116.8,148,140.9,174.3,177,199.9,212.5
25, 0:02:02,121.8,121.8,146.6,140.8,176.9,176.7,193.2,212.7
26, 0:02:07,126.7,126.7,150.4,138.3,172.8,177.5,194.1,210.3
27, 0:02:12,131.7,131.7,153.4,136.8,170.3,178,196.6,211
28, 0:02:17,136.7,136.7,151.6,136.2,174,175.8,192.6,213.5
29, 0:02:22,141.7,141.7,150.1,137.4,176.5,178.3,197.5,210.1
30, 0:02:27,146.6,146.6,154.8,138.6,174.6,178.5,191.9,209
31, 0:02:32,151.6,151.6,151.9,138.9,174.3,179.1,194.5,209.8
32, 0:02:37,156.5,156.5,148.6,133.8,174.9,179.5,193.8,209.3
33, 0:02:42,162,162,151.9,134.3,175,178.8,194.7,210.7
34, 0:02:47,167,167,148.1,135.7,174.4,182.7,196.9,211.9
35, 0:02:52,172,172,147.4,138.5,179.2,179.5,196,211.8
36, 0:02:57,176.9,176.9,149.8,141.1,171.4,177.9,193.7,211
37, 0:03:02,181.9,181.9,147.5,137.7,174.1,180.7,196.2,213
38, 0:03:07,186.9,186.9,149.2,136,173.8,179.4,191.2,214.3
39, 0:03:12,191.8,191.8,152.5,137.2,175.4,178.2,194.9,210.6
40, 0:03:17,196.9,196.9,151.3,137.7,174.8,180,194.9,211.8
41, 0:03:22,201.9,201.9,148.1,134.7,176,186.2,192.3,210
42, 0:03:27,206.8,206.8,147.5,134.9,173.9,181.8,197.2,210.3
43, 0:03:32,211.7,211.7,151.4,136.8,171,177,197,211.6
44, 0:03:37,216.8,216.8,148.4,134.1,172.4,184.4,194,211.6
45, 0:03:42,221.7,221.7,152.1,135.5,174.2,177.6,193.8,208.2
46, 0:03:47,227.2,227.2,150.7,137.4,173,181.2,196.1,211.1
47, 0:03:52,231.7,231.7,148,135.6,174.4,180.5,193.5,209.6
48, 0:03:57,236.7,236.7,149.5,133.3,174.7,,191.5,210.2
49, 0:04:02,242.2,242.2,148.3,135.5,174,177.3,191,210.6
50, 0:04:07,246.8,246.8,145.5,137.1,175,176.7,195.5,212.2
51, 0:04:12,251.7,251.7,147.3,136.7,174.1,176.6,196.8,211.2
52, 0:04:17,256.7,256.7,151.3,135.5,172.4,178.8,191.4,213
53, 0:04:22,261.6,261.6,149.2,134.2,171.5,178.5,195.4,211.1
54, 0:04:27,266.7,266.7,147.5,137.1,174.7,182.7,194.4,214.7
55, 0:04:32,271.6,271.6,147.7,141,172,177.6,197.1,209.8
56, 0:04:37,276.5,276.5,149.2,135.5,174.8,183,194.7,211.1
57, 0:04:42,282.1,282.1,148.4,136.8,174.3,179.4,191.7,209.8
58, 0:04:47,287,287,145.8,140,174.5,176.5,195.4,210.9
59, 0:04:52,292,292,147.1,133.5,172.7,177.3,196,212.6
60, 0:04:57,297,297,149.2,139,172.1,175.6,194.2,211.4
61, 0:05:02,301.9,301.9,146,138,173.9,180.2,195.7,211.4
62, 0:05:07,307,307,146,135.9,175.1,179.7,194.4,209.5
63, 0:05:12,311.9,311.9,147,134.4,175.9,180.1,198.8,210.8
64, 0:05:17,316.8,316.8,147.9,136.2,175.8,175.4,192.1,211.9
65, 0:05:22,322,322,148,137.1,175,175.5,193.9,209.5
66, 0:05:27,327,327,147.9,135.5,173.2,178.2,195.8,211
67, 0:05:32,332,332,147.9,135.6,172.5,177.1,193.5,212
68, 0:05:37,337,337,146.7,138.6,176.1,176.4,192.5,212
69, 0:05:42,342,342,150.1,136.2,173.2,176.4,192,208.1
70, 0:05:47,346.9,346.9,148.6,133.7,170.1,180.1,193.4,212.2
71, 0:05:52,351.9,351.9,151.4,134.1,176,177.5,193.6,208.9
72, 0:05:57,356.9,356.9,147.5,135.3,174,182.4,194.7,208.9
73, 0:06:02,361.9,361.9,148,135,175,178.1,193.2,212.4
74, 0:06:07,366.8,366.8,149,139.7,171.8,177.4,196.7,211.8
75, 0:06:12,371.8,371.8,149.7,137.3,173.9,179.4,191.2,208.4
76, 0:06:17,376.6,376.6,149.1,135.9,173.7,179.2,194.3,211.6
77, 0:06:22,382,382,148.7,134.5,174.7,182.1,191.5,212.5
78, 0:06:27,387.1,387.1,149.5,134.1,174.5,179,193.6,212.1
79, 0:06:32,392.1,392.1,147.3,135,173.3,175.5,191.9,208.5
80, 0:06:37,397,397,147.4,137,172.9,177.8,193.1,210.7
81, 0:06:42,401.8,401.8,147.3,135.2,171.8,174.9,193.5,210.5
82, 0:06:47,406.7,406.7,148,135.9,167.8,176.4,193.4,211.4
83, 0:06:52,411.7,411.7,145.9,137.8,174.5,179.8,191.7,209.3
84, 0:06:57,416.7,416.7,146.5,136.9,169.1,177.3,194.7,211.1
85, 0:07:02,421.7,421.7,148.4,135.6,169.5,180.2,194.9,213.9
86, 0:07:07,426.7,426.7,146.8,131.5,173.1,176.7,193.8,209.4
87, 0:07:12,432.1,432.1,147.7,133.2,173.9,178.3,193.5,211.3
88, 0:07:17,436.7,436.7,150.1,132.6,174.4,178,188.1,212.4
89, 0:07:22,441.6,441.6,146.8,136.8,176.3,177.3,192.6,207.1
90, 0:07:27,446.7,446.7,145.4,135.3,170,177.2,190.2,212.5
91, 0:07:32,451.6,451.6,148.3,135,172.2,177.6,193.5,207.5
92, 0:07:37,457.1,457.1,143.6,135.9,172.7,179.4,193.7,207.2
93, 0:07:42,461.8,461.8,149.5,132.1,168.3,176.7,192,209.5
94, 0:07:47,467.2,467.2,149.3,138.3,170.9,176.8,192.2,209.4
95, 0:07:52,471.8,471.8,148,134,175.2,176.6,189.3,207.8
96, 0:07:57,476.9,476.9,149,134.1,173.3,178.1,194.5,209.1
