NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
12:24:11,7/30/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20140730-eq-ag\run1,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,21,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,295,10,,,,,
Transducer 2,6680,0,300,11,,,,,
Transducer 3,8680,0,330,12,,,,,
Transducer 4,5680,0,293,13,,,,,
Transducer 5,4680,0,300,14,,,,,
Transducer 6,3680,0,310,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,1.6,1.6,175.3,140.8,160.7,138.4,164.9,181.7
2, 0:00:07,7,7,176.5,142.6,157.9,138.4,163.1,178.7
3, 0:00:12,12,12,181.6,152.2,158.1,135.2,159.5,173.6
4, 0:00:17,17.5,17.5,177.7,180,170,135.8,166.2,172.4
5, 0:00:22,22.1,22.1,176.2,181.3,170.1,134.7,182.1,170.1
6, 0:00:27,27,27,180.8,181.1,166.5,134.1,177.5,168.5
7, 0:00:32,32.5,32.5,176.4,177.4,166.9,135.3,170.2,166.4
8, 0:00:37,37.1,37.1,171.9,173.9,164.7,135.8,166.5,163.5
9, 0:00:42,41.7,41.7,169.6,170.7,163.6,176.2,165.1,160.6
10, 0:00:47,46.7,46.7,171.4,170.9,162.7,140.7,162.1,159.5
11, 0:00:52,51.7,51.7,170.6,171.2,159.8,166.2,162.2,158
12, 0:00:57,56.6,56.6,163.2,169.4,160.1,156.9,166.4,158.7
13, 0:01:02,61.7,61.7,162.3,167.1,160,151.4,187.8,160.4
14, 0:01:07,66.7,66.7,163.3,163.1,159.4,148.2,187.5,165.8
15, 0:01:12,71.6,71.6,160.8,159,156.2,149.4,185,166.1
16, 0:01:17,76.6,76.6,162.8,157.3,158.9,154.1,176.2,166.3
17, 0:01:22,81.6,81.6,160.5,152.9,162.5,170.2,168.5,193.1
18, 0:01:27,87.1,87.1,154.9,146.6,171,166.2,162.4,199.6
19, 0:01:32,92.1,92.1,149.7,146.2,178.6,160.8,162.7,204.5
20, 0:01:37,97,97,153.6,145.2,196.5,154.2,178.8,195.7
21, 0:01:42,102,102,151.1,144,201.4,151.7,185.8,182.2
22, 0:01:47,107,107,149.1,143.9,200.1,147.3,187.4,179.4
23, 0:01:52,112.4,112.4,150,141.7,197.3,145.5,183.5,176.8
24, 0:01:57,117.5,117.5,148.7,141.5,200.2,143,180.3,178.3
25, 0:02:03,122.5,122.5,147.6,141.5,196.2,155.2,178.4,192.1
26, 0:02:07,126.6,126.6,146.8,140.4,192.3,153.5,172.7,189.9
27, 0:02:12,131.6,131.6,144.2,140.5,187.7,155.7,171.3,188.3
28, 0:02:17,137.1,137.1,143.1,145.4,181.5,151.5,173.1,185.1
29, 0:02:22,142.1,142.1,138.5,162.3,174.8,145.8,174.3,184
30, 0:02:27,147,147,139.1,160.8,173.1,150.4,176,178.3
31, 0:02:32,152,152,137,161.4,173.9,162.7,175.4,172.3
32, 0:02:37,157.1,157.1,138.4,162.1,191.9,170,173.5,170.3
33, 0:02:42,161.6,161.6,138,160.7,193.2,165.6,167.6,170.2
34, 0:02:47,166.6,166.6,139.1,157.8,194.8,161.2,166.1,173.7
35, 0:02:52,171.6,171.6,139.8,156.4,194.8,155.9,162.7,181.4
36, 0:02:57,177.1,177.1,140.9,156.5,195.4,153.9,165.8,177.9
37, 0:03:03,182.5,182.5,141.3,158.4,187.8,153.3,160.8,174.9
38, 0:03:07,186.6,186.6,166.4,155.3,191.9,164.5,161.1,175.3
39, 0:03:12,191.5,191.5,176.1,155.5,187.7,162.9,158.1,178.5
40, 0:03:18,197.5,197.5,175.4,152.8,192.4,160.2,154.3,201
41, 0:03:22,201.6,201.6,174.9,150.9,191.4,158.3,152.4,201.6
42, 0:03:27,206.6,206.6,176.5,151.2,191.7,160.3,154.1,198.4
43, 0:03:32,212.1,212.1,176.4,150.1,191.6,177.4,152,190.2
44, 0:03:37,217,217,174.6,148.4,194.1,183.7,150.7,183.9
45, 0:03:42,222,222,173.2,145.1,194.4,173.3,151.8,182.4
46, 0:03:47,227,227,170.4,144.4,192,175.9,155.2,180.6
47, 0:03:52,232.5,232.5,165.8,141.4,185.2,170.7,161.7,194.8
48, 0:03:57,237.1,237.1,164.1,139.3,181.5,165.5,158.2,193.4
49, 0:04:02,242.1,242.1,161.6,135,178.9,167.3,162.5,190
50, 0:04:07,247,247,160,135.9,179.2,181.7,168.7,185.4
51, 0:04:12,252,252,157.5,137.1,174.9,185.4,174.8,177.2
52, 0:04:17,257,257,156.3,136.9,180.8,187,169.4,170.3
53, 0:04:22,262,262,154.8,135.7,177.1,184.1,166.5,178.5
54, 0:04:27,267.4,267.4,154.4,136.2,178.9,182.2,163.2,180.8
55, 0:04:32,272.4,272.4,151.3,134.4,176.7,177.1,161.8,179.9
56, 0:04:37,277.5,277.5,150.9,130.4,171.1,175.9,159.9,176.2
57, 0:04:42,282.1,282.1,147.9,133.7,170.9,176.2,156.7,172.8
58, 0:04:47,287.1,287.1,147.9,137.6,166.6,180.6,154.4,169.8
59, 0:04:52,292,292,144.3,140.6,165,177.9,155.7,164.1
60, 0:04:57,296.7,296.7,141.5,143.7,162.5,174.2,152.3,164.6
61, 0:05:02,301.7,301.7,141.1,142.4,160.8,169.8,152.5,175.3
62, 0:05:07,306.6,306.6,138.2,142.2,156.5,164.4,153.9,175.9
63, 0:05:12,311.7,311.7,138.1,142.2,156.4,164.1,156.7,174.5
64, 0:05:17,316.6,316.6,136,139.5,155,161.7,180.6,170.6
65, 0:05:22,321.6,321.6,136.9,138,155.5,165.8,179,166.3
66, 0:05:27,327.1,327.1,158.1,138.8,157.7,166,175.1,164.6
67, 0:05:32,332,332,149.4,137.2,159.4,163.7,166.9,163.9
68, 0:05:37,337.1,337.1,166.1,179.4,160.7,157.6,161.2,164.3
69, 0:05:42,342,342,162.9,144.4,184.4,155.7,158.3,165.5
70, 0:05:47,347,347,157.9,177.2,184.4,151.7,157.2,175.3
71, 0:05:52,352,352,159.2,180.1,191,150.5,158.8,196.4
72, 0:05:57,357,357,156.1,180.3,186.7,148.8,164.2,194
73, 0:06:02,361.9,361.9,161.7,179.6,191.3,145.4,182,190.3
74, 0:06:07,367.4,367.4,159.2,177.4,189.4,144,180.8,188.4
75, 0:06:12,371.9,371.9,162.9,177.1,185.6,144.7,175.5,183.2
76, 0:06:17,376.9,376.9,158.6,172.2,183.2,166.6,177.2,181.7
77, 0:06:22,381.9,381.9,155.4,167.3,182.8,165.2,173.1,182
78, 0:06:27,386.9,386.9,167.1,163.6,191.9,165.5,173.1,177.7
79, 0:06:32,392.1,392.1,165.1,162.4,190.6,165.4,177.7,174.5
80, 0:06:37,397.1,397.1,161.4,172.2,187.5,162.8,178.6,171.2
81, 0:06:42,402.1,402.1,160.2,182.6,184.6,159.5,179.4,167.1
82, 0:06:47,407.1,407.1,154.5,177.9,185.4,157.2,172,166.9
83, 0:06:52,412.5,412.5,156,186.1,188.7,152.3,173.1,172.5
84, 0:06:57,417.1,417.1,154.8,182.4,188,150,169.6,180.5
85, 0:07:02,422.1,422.1,154.3,182.5,184.7,144.8,165.3,179.7
86, 0:07:07,427,427,152.9,183.9,183.4,148.1,162.4,173.9
87, 0:07:12,432.5,432.5,155.4,178.9,182.1,151.8,162.4,175.6
88, 0:07:17,437.1,437.1,154,172.7,178.8,150.2,158.6,174.7
89, 0:07:22,442.1,442.1,149.1,170.9,176.8,148.5,157.5,173.6
90, 0:07:27,447,447,149.1,170.1,175.4,147.2,156.7,172.9
91, 0:07:32,452,452,149.4,176,175.9,148.1,153.1,181.1
92, 0:07:37,457.5,457.5,148.2,176.7,173.7,145.6,152.7,185.4
93, 0:07:42,462.1,462.1,150.6,172,172.4,142.7,147.7,200.7
94, 0:07:47,467,467,146.8,167.3,169.8,142.4,148.8,204.1
95, 0:07:52,472,472,143,165.7,167.1,143.6,146.3,203.7
96, 0:07:57,477,477,140.4,158.7,165.3,143.3,146.8,204
97, 0:08:02,482,482,140.4,158.4,163.6,145.4,168.4,194.8
98, 0:08:07,487,487,139,152,159.3,151.4,165.7,189.7
99, 0:08:12,492,492,133.5,149.5,155.5,173.1,173.7,192.7
100, 0:08:17,497.4,497.4,132.6,149.7,154.6,166.3,164.6,191.9
101, 0:08:22,502,502,132.3,149.4,152.4,166.9,168.3,189.7
102, 0:08:27,507.4,507.4,134.5,164.2,148,183.2,169.5,182.8
103, 0:08:32,512.5,512.5,135.3,168.7,148.3,176.8,163.2,177.9
104, 0:08:37,517.1,517.1,138.5,159.3,149.7,171.6,164.1,179.5
105, 0:08:42,522.1,522.1,161.8,154.5,150.9,173.2,161,184.3
106, 0:08:47,527,527,176.9,153.9,154.4,178.2,157.2,204.9
107, 0:08:52,532.4,532.4,171.2,170.1,175.7,180.5,155.2,205.6
108, 0:08:57,537,537,170.6,170.9,184.6,176.2,152,198.7
109, 0:09:02,542,542,176.2,169.6,174.4,174.2,158.3,190.9
110, 0:09:07,547,547,176.5,165.7,170.3,170.8,152.4,185.7
111, 0:09:12,552,552,174.3,163.4,163.2,164.7,151.8,181.4
112, 0:09:17,557.4,557.4,177.1,162.4,177.1,159.8,154.3,182.8
113, 0:09:22,562,562,176.2,157,183.3,161.9,155,181.4
114, 0:09:27,567,567,174.1,158.4,181.1,159.4,176.6,182
