NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
13:56:10,9/9/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20140909-eq\Run1,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,20.3,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,295,10,,,,,
Transducer 2,6680,0,300,11,,,,,
Transducer 3,8680,0,302,12,,,,,
Transducer 4,5680,0,293,13,,,,,
Transducer 5,4680,0,300,14,,,,,
Transducer 6,3680,0,305,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,1.6,1.6,147.8,163.2,150.7,155.6,191.4,164.5
2, 0:00:08,7.5,7.5,145.8,162.6,167.8,154,180.8,186.3
3, 0:00:12,11.6,11.6,148.5,158.3,167.5,150.9,187.6,195.4
4, 0:00:17,17.1,17.1,148.1,155.6,165.6,147.4,194.8,194.1
5, 0:00:22,22,22,145.6,154.2,166.2,147,198,189.1
6, 0:00:27,27,27,147,154.3,175,147.3,195.9,181.6
7, 0:00:32,31.8,31.8,146.3,153.6,173.1,147.8,192.2,185.9
8, 0:00:37,36.8,36.8,145.4,155.5,168.1,151.1,186.2,199.5
9, 0:00:42,41.7,41.7,143,185.9,162.3,164.5,176.6,196.8
10, 0:00:47,46.7,46.7,141,184.4,159.7,159.4,173.4,197.6
11, 0:00:52,52.1,52.1,140,177.1,158.1,158.4,170.7,198.1
12, 0:00:57,57.2,57.2,138.8,175,150.7,156.8,178.2,197.2
13, 0:01:02,62.2,62.2,138.1,190.7,150.2,154.7,191.3,192.9
14, 0:01:07,66.8,66.8,135.5,185.7,148.4,152.4,185.3,191.5
15, 0:01:12,71.7,71.7,133.9,183.9,166.8,151,179.9,188.7
16, 0:01:17,77.2,77.2,134.7,180.4,162.5,171.1,177.7,189.5
17, 0:01:22,81.8,81.8,133.6,172.4,157.4,178.5,174,187.9
18, 0:01:27,86.7,86.7,133,172.7,149.2,178.3,171,183.3
19, 0:01:32,91.7,91.7,129.9,182.1,145.5,184.5,169.6,178.9
20, 0:01:37,96.8,96.8,129.2,187.3,143.9,187.8,168,173.8
21, 0:01:42,101.7,101.7,129.1,185.3,146.4,180.1,165.2,172.3
22, 0:01:47,106.7,106.7,168.8,180.8,163,170,163.9,169.2
23, 0:01:52,112.2,112.2,133.2,181.8,167.7,163.7,160.3,169.2
24, 0:01:57,116.8,116.8,149.3,174.4,162,167.2,158.3,169.1
25, 0:02:02,121.7,121.7,149.3,168,162.9,175.7,159.9,169.1
26, 0:02:07,126.7,126.7,147.6,168.4,164.7,179.3,154.1,168
27, 0:02:12,131.7,131.7,145.3,162.1,162.7,189.7,155.5,173.6
28, 0:02:17,136.7,136.7,144,162.7,156.3,186.5,159.5,178.8
29, 0:02:22,141.6,141.6,143.5,162.3,149.5,187.8,162.7,178
30, 0:02:27,146.7,146.7,142,168,144.8,183.2,181.6,173.4
31, 0:02:32,151.6,151.6,139,171.6,143.8,184,175.9,176.3
32, 0:02:37,156.6,156.6,138.6,170.6,155,188,177.1,185.4
33, 0:02:42,161.6,161.6,142.9,165.7,156.6,184,193.3,179.5
34, 0:02:47,166.6,166.6,166.9,162.9,155.3,179.2,190.4,178.1
35, 0:02:52,172.1,172.1,175.2,158.7,149.2,180.7,183.9,195.8
36, 0:02:57,177,177,181,156.5,142.7,183.7,177,196.6
37, 0:03:02,182,182,180.2,156,156.9,183.6,175,191.2
38, 0:03:07,187,187,177.9,154.5,162.9,176.2,188.6,188.6
39, 0:03:12,192,192,173.4,146.7,161.8,172.8,192.4,189.8
40, 0:03:17,197,197,172,150.3,160,173.7,190.5,186
41, 0:03:22,201.9,201.9,175.7,149,158.5,174.9,188.5,180.8
42, 0:03:27,206.9,206.9,174.9,146,155.9,180.5,190.3,179.7
43, 0:03:32,211.9,211.9,170.3,146.7,152.2,179.5,186.7,176.7
44, 0:03:37,216.9,216.9,162.3,147.3,149.8,176.1,180.6,183
45, 0:03:42,221.9,221.9,155.1,150.6,147.7,171.1,179.1,195.2
46, 0:03:47,227.4,227.4,152.9,169.6,142.5,169.4,174.3,186.9
47, 0:03:52,231.9,231.9,150.4,173,141.4,164.4,172.4,196.3
48, 0:03:57,237.4,237.4,148.7,192.5,141.1,161.9,171.3,197.6
49, 0:04:02,241.9,241.9,150.7,191.9,141.4,159.6,171.9,190.3
50, 0:04:07,247.4,247.4,175.9,182.2,138.7,158.4,168.2,187.1
51, 0:04:12,252,252,169.4,172.5,139,152.8,172,180.5
52, 0:04:17,257,257,164.5,178,144.5,150,167.4,178.2
53, 0:04:22,262,262,159.1,180.9,143.1,149.4,162.9,203.9
54, 0:04:27,267.4,267.4,151.2,173.2,138.5,147,161.2,192
55, 0:04:32,272.4,272.4,146,179.6,137.6,145.7,161.2,180.7
56, 0:04:37,277.5,277.5,146.9,183.6,137.2,181.2,159.6,198.7
57, 0:04:42,282.1,282.1,147.8,189.9,132.2,173.1,157.9,201.5
58, 0:04:47,287,287,169.8,189.8,166.1,169.3,154.3,195.8
59, 0:04:52,292,292,164.5,183.9,160.5,163.8,158.3,188.3
60, 0:04:57,297,297,157.9,183.6,158.3,171.1,156.5,183.4
61, 0:05:02,302,302,150.9,179.4,148.4,173.4,158.6,201.5
62, 0:05:07,307,307,156.8,167.5,146.3,168.4,156.9,192.7
63, 0:05:12,312.1,312.1,155.2,169.8,152.9,180.2,204.9,183.7
64, 0:05:17,317.5,317.5,150.9,178.2,146.9,179.9,177.1,178.7
65, 0:05:22,322.1,322.1,150.2,179.3,146.8,178.3,167.8,176.5
66, 0:05:27,327.1,327.1,145.8,182.5,147.3,178.3,163.4,191.7
67, 0:05:32,332,332,144.1,180.4,168.5,168.9,202.1,190.7
68, 0:05:37,337,337,146.3,181.9,167.2,172.7,192.6,179.7
69, 0:05:42,342,342,146.6,175.4,159.3,187.2,183.3,186.6
70, 0:05:47,346.9,346.9,158.3,178,150.6,184.9,176.2,180.5
71, 0:05:52,351.9,351.9,171.7,174.2,145.4,179.2,173.7,177.5
72, 0:05:57,356.9,356.9,173.7,173.7,153.7,175.3,175.3,195.1
73, 0:06:02,362.4,362.4,172,172.4,157.7,164.7,194,193.5
74, 0:06:07,367,367,175.4,166.2,148.8,158.5,199.1,184.5
75, 0:06:12,371.9,371.9,175.2,162.9,147.5,156.8,196.2,183.4
76, 0:06:17,377.4,377.4,170.5,160.9,162,174.2,192.5,179.8
77, 0:06:22,381.9,381.9,163.4,157.7,160.1,171.6,182.7,194.3
78, 0:06:27,386.9,386.9,158,155.9,157.5,172.3,175.9,200.4
79, 0:06:32,391.9,391.9,152.7,160,153.1,169.3,171,198.4
80, 0:06:37,397.4,397.4,151.8,155.5,148,162.6,165.9,195.1
81, 0:06:42,402,402,153.3,154,144.4,158.5,167.6,195.5
82, 0:06:47,407,407,168.9,150.9,144.2,158.6,183.4,189
83, 0:06:52,412,412,162.2,150.3,158,158,179.2,186
84, 0:06:57,417,417,175,152.6,155.5,158,172.8,185.4
85, 0:07:02,422,422,177.2,179.8,151.3,157.1,167.8,184.3
86, 0:07:07,427,427,176.6,172.4,148.4,152.5,178.8,179.8
87, 0:07:12,432.4,432.4,180.6,167.8,162.6,150.7,179.5,174.8
88, 0:07:17,437,437,181.6,163.1,159.2,148.7,172.3,173
89, 0:07:22,442,442,173.1,159.3,159,156.4,167.5,173.1
90, 0:07:27,447.4,447.4,164.5,158.8,157.7,160,166.1,178.6
91, 0:07:32,452.5,452.5,157.5,158.9,150.8,178.9,168.2,199.3
92, 0:07:37,457.1,457.1,154.9,177.5,144.1,172.8,173.6,189
93, 0:07:42,462,462,152.5,187.6,141.8,163.1,197.4,184.9
94, 0:07:47,467,467,158.7,187.1,143.1,162.4,197.7,183
95, 0:07:52,472.1,472.1,178,186.2,159.2,170.5,190.2,196.2
96, 0:07:57,477.5,477.5,177.4,181.7,154.8,189.1,180.8,198
97, 0:08:02,482.1,482.1,177.1,178.5,150.1,185.8,174.4,190.7
98, 0:08:07,487.1,487.1,175.4,169,149.6,178.1,176.1,184.6
99, 0:08:12,492.1,492.1,179,163.2,164,175.5,192.5,181.9
100, 0:08:17,497.5,497.5,172,164.1,173.5,172.6,189.9,178.3
101, 0:08:22,502.1,502.1,168.2,173.2,165.5,168.4,186.9,187.9
102, 0:08:27,507.1,507.1,165.7,170.6,161.8,158.4,185.3,184.6
103, 0:08:32,512,512,162.1,169.2,157.9,163.7,177,182.4
104, 0:08:37,517,517,161.9,169.2,166.5,165.2,173.7,176.8
105, 0:08:42,522,522,157.5,165.8,173.8,162.6,173.7,179.3
106, 0:08:47,526.9,526.9,151.3,168.4,176.7,160.1,169.2,182.9
107, 0:08:52,532.4,532.4,145.1,170,169.5,156.3,171.2,208.4
108, 0:08:57,536.9,536.9,143.9,171,163.9,156.8,173.2,204.2
109, 0:09:02,542,542,147.7,168,159.9,155.6,192.3,194.6
110, 0:09:07,546.9,546.9,153.6,165.1,154.3,154.3,188.6,194.1
111, 0:09:12,552,552,154.6,161.5,164.3,168.5,178.7,192.4
112, 0:09:17,556.9,556.9,153.6,157.9,161.3,168.6,172.4,186.4
113, 0:09:22,561.9,561.9,149.7,155.7,156.4,160.2,169.5,187.6
114, 0:09:27,567.4,567.4,148.2,154.1,163.5,166,175.4,187.7
115, 0:09:32,572,572,145.6,158.9,173.3,185.6,194,185.2
