"NCED Sonar Capture - Text Output File (Tab and Comma delineated)"
"13:53:43","07-14-2014"
"RunName","E:\DATA\Ricardo-sonar\20140714-eq\Run1"
"Sample Interval (sec)",5
"Samples Per Probe",1
"Water Temp in C",22.5
"Water Height",360

"Transducer Locations",,,,"VariGains Not Used"
"Transducer #","X","Y","Z","dB"
"Transducer 1",7680,0,300,10
"Transducer 2",6680,0,300,11
"Transducer 3",8680,0,300,12
"Transducer 4",5680,0,300,13
"Transducer 5",4680,0,310,14
"Transducer 6",3680,0,310,15

"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)"

"Pass","RunTime","RunSeconds","ContinuousSec","Probe_1","Probe_2","Probe_3","Probe_4","Probe_5","Probe_6",
1," 0:00:02",1.6,1.6,109,107.3,101.5,114.8,146.6,128.8,
2," 0:00:07",7.1,7.1,106.2,110,102,113,150.1,128.3,
3," 0:00:12",12.1,12.1,106.5,109.4,100.1,112.7,149.9,127.9,
4," 0:00:17",17,17,106.2,108.2,100.1,108.9,150.4,125.9,
5," 0:00:22",21.6,21.6,104.8,108.6,99.9,108.7,149.2,127.3,
6," 0:00:27",27.1,27.1,101.5,108.5,99.8,108.9,150.1,126,
7," 0:00:32",31.7,31.7,104.2,109.7,99.1,106.5,151.3,126,
8," 0:00:37",36.6,36.6,102.3,109.8,99.2,104.5,151.5,125,
9," 0:00:42",41.6,41.6,101,110.9,97.9,103.1,149.9,123.2,
10," 0:00:47",47.1,47.1,98.3,127.6,98.3,102.6,148.6,123.4,
11," 0:00:52",51.7,51.7,99.1,132.8,95.2,102.4,148.7,123.5,
12," 0:00:57",56.6,56.6,101.2,133.3,92.8,103.4,146.2,122.9,
13," 0:01:02",62.1,62.1,100.3,131.8,94.9,102.5,146.4,132.7,
14," 0:01:07",66.7,66.7,96.5,131.9,95.8,99.5,144.5,129.4,
15," 0:01:12",71.6,71.6,98.4,132.3,95,98.6,143.1,127.6,
16," 0:01:17",77.1,77.1,95.8,132,95.4,99.8,142.5,124.9,
17," 0:01:22",81.7,81.7,93.8,133.2,96.8,98.3,138.2,125.3,
18," 0:01:27",86.7,86.7,94.4,130.2,96.3,99.6,136.8,127.3,
19," 0:01:32",92.1,92.1,94,131,96.5,98.6,134.1,129.1,
20," 0:01:37",96.6,96.6,94.5,128.4,96.6,100.7,133.7,128.5,
21," 0:01:42",101.7,101.7,95.3,130,97.9,102.5,134.1,130.1,
22," 0:01:47",106.6,106.6,95.3,128.3,110.2,103.3,134.3,130.4,
23," 0:01:52",111.6,111.6,93.9,127.5,121.1,114.4,135.9,131.8,
24," 0:01:57",116.6,116.6,94.5,125.8,130.4,121.2,133.3,131.6,
25," 0:02:02",122.1,122.1,94.8,126.1,131.8,124,130.7,129.4,
26," 0:02:07",127.1,127.1,94.3,126.3,130.8,122,130.4,127,
27," 0:02:12",132,132,95.1,124.8,129,122.4,128.3,125,
28," 0:02:17",137,137,95.3,125.8,128.2,122.3,128.8,124,
29," 0:02:22",142,142,96.3,122,126,122.4,127.7,125.3,
30," 0:02:27",147,147,96.4,120.5,125.5,123.6,125.1,124.2,
31," 0:02:32",152,152,96.5,118.5,121.9,119.3,123.3,122.8,
32," 0:02:37",156.9,156.9,98.8,116,121.5,118.7,121.2,121.6,
33," 0:02:42",161.9,161.9,97.8,119.1,123.3,118.4,119.2,121.9,
34," 0:02:47",166.8,166.8,98.6,118.2,118.9,116.4,119.2,122.5,
35," 0:02:52",171.8,171.8,97.2,116.1,117.9,116.1,117,122.3,
36," 0:02:57",177.3,177.3,101.3,114.7,116,115.9,117.9,121.4,
37," 0:03:02",181.8,181.8,118.7,113,115.5,116.4,115.7,121.5,
38," 0:03:07",186.8,186.8,125.5,113.7,112.3,113.8,116,120.3,
39," 0:03:12",191.8,191.8,134.7,112.7,110.2,112.3,113,120.9,
40," 0:03:17",196.7,196.7,139.3,113.1,110.3,110.2,113.4,120.7,
41," 0:03:22",201.7,201.7,141.4,111.5,110.6,109.4,111.9,121.2,
42," 0:03:27",206.7,206.7,137.6,111,109.9,111.2,112.4,121.2,
43," 0:03:32",211.7,211.7,139.1,109.3,105.6,109.7,113.5,123.7,
44," 0:03:37",216.6,216.6,138.1,109.6,104.8,108.9,112.2,123.8,
45," 0:03:42",221.7,221.7,136.6,107.1,103.7,110.1,114.5,126.1,
46," 0:03:47",226.6,226.6,136.3,106.3,103.1,108.2,113.6,138,
47," 0:03:52",232.1,232.1,134.7,105.9,102.3,107.4,113.8,147.5,
48," 0:03:57",236.7,236.7,131.9,107.4,103,105.9,113,149.3,
49," 0:04:02",241.7,241.7,131.4,108.7,102.9,105.2,115.6,146.6,
50," 0:04:07",246.6,246.6,131.3,107,102.3,104.2,124.7,148,
51," 0:04:12",251.7,251.7,130.4,108.8,101.1,102.7,127.6,145,
52," 0:04:17",256.8,256.8,128.4,106.3,101.6,103.3,128,146.8,
53," 0:04:22",261.8,261.8,127.4,108.4,103.9,101,126,143.7,
54," 0:04:27",266.7,266.7,123.8,108.8,104,101.7,123.5,142.8,
55," 0:04:32",271.8,271.8,123.7,109,104.7,99.7,122,141.9,
56," 0:04:37",276.7,276.7,122,108.2,108.3,100.4,123.5,140.2,
57," 0:04:42",281.7,281.7,117.9,108,122.2,99.9,121.1,138.4,
58," 0:04:47",286.7,286.7,118.5,111.8,123.7,99.5,120.2,138,
59," 0:04:52",291.7,291.7,114.8,126.8,129,99.8,117.4,138.1,
60," 0:04:57",296.7,296.7,113.4,134.7,128,99.6,116.2,136.9,
61," 0:05:02",302.1,302.1,110.6,140.7,131,98,114.9,133.7,
62," 0:05:07",306.7,306.7,109.9,138.3,130.2,97.7,114.8,132.4,
63," 0:05:12",311.7,311.7,108,139.5,127.8,98.2,112,130.4,
64," 0:05:17",317.1,317.1,106.2,135.5,127.3,99.2,111.5,130.8,
65," 0:05:22",321.7,321.7,105.8,138.5,127.2,98.9,110.6,129.6,
66," 0:05:27",326.7,326.7,104.5,134.8,129.5,98.7,110.6,129.1,
67," 0:05:32",331.7,331.7,104.1,136.6,127.3,97,111.2,127.1,
68," 0:05:37",337.1,337.1,102.4,136.5,126.4,100.2,110.7,126.1,
69," 0:05:42",342.2,342.2,101.4,135.8,127.3,100.2,109.2,125.3,
70," 0:05:47",346.7,346.7,102.1,133.7,126.6,100.7,108.8,124,
71," 0:05:52",351.7,351.7,101.8,133.1,126.3,99.2,108.6,123.1,
72," 0:05:57",356.8,356.8,102.2,133.1,126.2,100.7,109.4,122,
73," 0:06:02",361.8,361.8,102.5,132.8,125.6,102.4,110.7,120.1,
74," 0:06:07",366.7,366.7,100.7,130.6,124,101.4,110.7,121.5,
75," 0:06:12",371.7,371.7,101.3,129.5,123.9,101.3,110.4,120.3,
76," 0:06:17",376.7,376.7,101.8,128.5,123.4,101.2,110.1,121.5,
77," 0:06:22",381.7,381.7,101.8,127.1,120.2,102.4,136.8,122.3,
78," 0:06:27",386.7,386.7,99.5,124.7,120.6,103.2,126.7,134.6,
79," 0:06:32",391.6,391.6,100.7,123.9,119.2,111.7,133.4,133.7,
80," 0:06:37",397.1,397.1,101.1,121.8,117.4,127.5,135.3,132.8,
81," 0:06:42",401.6,401.6,99.9,123.1,117.2,132.3,138.6,128.9,
82," 0:06:47",407.1,407.1,101.9,121.7,115,128.6,135.8,127,
83," 0:06:52",411.7,411.7,103.2,119.3,111.8,126.1,135.5,126.8,
84," 0:06:57",416.6,416.6,112.3,118.8,110.6,123.8,136.5,130.2,
85," 0:07:02",421.7,421.7,121.4,117.4,109.4,123.1,137.1,130.5,
86," 0:07:07",426.7,426.7,129.9,117.4,110.5,119.6,136.9,130,
87," 0:07:12",431.6,431.6,127.4,116,110,116.1,135.7,133.2,
88," 0:07:17",437.1,437.1,130,113.2,108.6,113.2,134.6,134.1,
89," 0:07:22",442.2,442.2,131,111.8,109.7,110.9,132.8,134.3,
90," 0:07:27",447.2,447.2,130.3,112.5,106.6,108.9,131.2,130.8,
91," 0:07:32",451.8,451.8,131.9,112,107.5,107.1,129.4,131.3,
92," 0:07:37",456.8,456.8,130,112,105,108,128.2,132.8,
93," 0:07:42",461.8,461.8,131.5,110.2,104.8,106.5,128.8,130.2,
94," 0:07:47",466.8,466.8,128.2,108.7,103.2,107.1,127.2,129.3,
95," 0:07:52",471.7,471.7,129.2,107.1,104.4,109,125,127,
96," 0:07:57",476.7,476.7,128.1,107.7,103.3,110.1,125.1,127.6,
97," 0:08:02",481.7,481.7,124.1,108.3,103.7,110.2,121.8,126.5,
98," 0:08:07",486.7,486.7,126.7,108.3,102.7,122.6,121.2,125,
99," 0:08:12",491.6,491.6,124.4,106.5,101.5,133.1,121.5,124.9,
100," 0:08:17",496.6,496.6,124.3,106.6,99.5,136.9,119.9,124.6,
101," 0:08:22",501.6,501.6,123.1,105.6,99.6,137.9,119.4,124.6,
102," 0:08:27",506.6,506.6,120.5,105.9,99.8,137.7,118.8,123.7,
103," 0:08:32",511.6,511.6,119,104.2,99.9,140.7,116.7,123.3,
104," 0:08:37",517.1,517.1,118.6,104.6,97.8,139.6,114.8,124.7,
105," 0:08:42",522.1,522.1,116.4,104.5,100.1,138.6,114,125.5,
106," 0:08:47",527.5,527.5,117.3,104.3,100.3,137.5,113,125.6,
107," 0:08:52",532.1,532.1,114.7,105.1,100.8,138.9,111.6,134.7,
108," 0:08:57",536.7,536.7,113.3,107.1,101.8,138.6,110.7,147.8,
109," 0:09:02",541.7,541.7,111.2,105.6,102.1,137.2,110.3,148.7,
110," 0:09:07",546.7,546.7,111.9,107.9,103.4,137.6,108.3,145.4,
111," 0:09:12",551.7,551.7,110.6,108.4,106.8,135.4,109.5,144,
112," 0:09:17",556.6,556.6,107.9,117.9,124.3,134.7,108,138.6,
113," 0:09:22",562.1,562.1,107.4,124.2,131.2,133,109.9,136.1,
114," 0:09:27",566.7,566.7,108.2,131.7,130.7,132.3,110,134.6,
115," 0:09:32",572.1,572.1,106.5,132.7,133,133.4,109.4,133.3,
116," 0:09:37",576.6,576.6,107.8,129,131.9,130.2,109.5,132.4,
117," 0:09:42",582.2,582.2,105.3,130.4,130.2,126.8,110.4,133.4,
118," 0:09:47",586.7,586.7,105.5,129.6,130.2,128.3,111.2,132.9,
119," 0:09:52",592.2,592.2,102.4,127.9,129.2,127.9,110.4,130.8,
120," 0:09:57",596.7,596.7,103.5,126.2,127.5,125.2,110.6,131.6,
121," 0:10:02",601.7,601.7,102.9,127.2,128.1,124.8,112.1,140.9,
