NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
14:00:05,10/31/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20141031-8000-eq\8000-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,19.2,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,295,10,,,,,
Transducer 2,6680,0,300,11,,,,,
Transducer 3,8680,0,302,12,,,,,
Transducer 4,5680,0,290,13,,,,,
Transducer 5,4680,0,300,14,,,,,
Transducer 6,3680,0,305,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,1.6,1.6,187.9,199.5,204.8,217.4,230.7,245.9
2, 0:00:07,7,7,225.6,,201.8,212.2,233.6,247.4
3, 0:00:12,11.9,11.9,226.5,211.1,191.5,211.4,227.9,250
4, 0:00:17,16.9,16.9,208,230.3,169.2,212.8,227.9,249.8
5, 0:00:22,21.9,21.9,194.1,222,164.8,222.7,230.2,248.8
6, 0:00:27,26.8,26.8,184.7,214.6,194.5,218.7,230.5,247.2
7, 0:00:32,31.8,31.8,196.1,204.1,208,214.7,231.2,248.2
8, 0:00:37,36.8,36.8,230.2,224.9,202.7,213.6,229.3,247.5
9, 0:00:42,41.8,41.8,219.2,225.1,196.9,211.4,231.4,250.5
10, 0:00:47,46.7,46.7,214.1,230.3,181.3,213.3,231.1,251.1
11, 0:00:52,51.7,51.7,187.1,215.9,168,218.9,225.2,248.8
12, 0:00:57,56.7,56.7,207.5,209.7,204.3,217.2,232.1,249.2
13, 0:01:02,61.7,61.7,226.8,210.1,196.5,219.4,233.1,248.8
14, 0:01:07,66.7,66.7,220.8,215.5,186.5,208.9,226.7,249.3
15, 0:01:12,71.6,71.6,207.4,216.6,168.4,213.1,227.9,246.8
16, 0:01:17,76.6,76.6,196.1,229.9,194.9,216.1,233.7,250.5
17, 0:01:53,113.1,113.1,212.9,222.6,209.1,225.8,232.8,248.4
18, 0:01:57,116.6,116.6,201,215.5,196,219,228.9,251.7
19, 0:02:02,121.5,121.5,184,199.7,182.6,203.9,230.1,251.1
20, 0:02:08,127.5,127.5,215.2,229.2,195.1,217,229,248.7
21, 0:02:12,131.6,131.6,211.9,236.7,204.7,222.7,234.6,248.8
22, 0:02:17,136.6,136.6,199,213.9,188.3,219.3,232.2,251.5
23, 0:02:22,141.6,141.6,185.2,206.5,172.7,206.8,231.1,251.1
24, 0:02:27,147.1,147.1,184.1,237.7,204.8,223.1,230.2,249.6
25, 0:02:32,152.1,152.1,216.5,232.1,207.9,222.4,228.2,249.7
26, 0:02:37,157,157,205.9,215.3,193,215.9,234.4,251.3
27, 0:02:42,162.5,162.5,188.4,200.1,173.3,217.2,232.7,250.6
28, 0:02:47,167,167,189.1,200.3,169.8,210.8,228.6,249.4
29, 0:02:53,172.5,172.5,210,226.7,203.1,218.5,230.2,246.6
30, 0:02:57,176.6,176.6,229.8,223.1,199,222.4,228.6,250.5
31, 0:03:02,182.2,182.2,189.4,206.5,185.8,213.7,236.5,252.8
32, 0:03:07,186.7,186.7,187.8,200.5,180.2,212.8,230.2,248.2
33, 0:03:12,191.7,191.7,211.9,229.8,204.4,209.1,226.5,252.3
34, 0:03:17,197.1,197.1,207.3,227.9,194,224.8,233.2,248.7
35, 0:03:22,202.2,202.2,194.2,216.2,177,222.7,229.1,249.6
36, 0:03:27,206.8,206.8,186.6,199.9,167.9,211.5,232.3,252
37, 0:03:32,211.7,211.7,211.5,207.2,196.7,217.3,228.4,252.6
38, 0:03:37,216.7,216.7,226,228.6,200,216.5,230.8,249.8
39, 0:03:42,221.7,221.7,197.1,220.8,182.9,224.4,228.2,251.9
40, 0:03:47,226.7,226.7,187.3,212.3,170.5,211.2,234.7,250.6
41, 0:03:52,231.6,231.6,180.6,202.6,197.1,217.6,229.1,250.2
42, 0:03:57,236.6,236.6,218.5,224.7,209.6,211.7,229.7,254.4
43, 0:04:02,242.1,242.1,207.6,227,204.2,219.6,230.4,249.4
44, 0:04:07,246.7,246.7,190.6,214.5,187.1,217.6,229,248.5
45, 0:04:12,251.6,251.6,187.1,205.4,173.3,216.9,234.4,251.7
46, 0:04:17,256.6,256.6,197.3,221.6,193.5,215.9,233,249.3
47, 0:04:22,262.1,262.1,211.9,213.4,200.9,205.8,228.7,253.7
48, 0:04:27,267,267,206.2,230,189.7,222.3,227.9,250.3
49, 0:04:32,272.5,272.5,192.7,217.3,170.9,222.1,230.4,250.5
50, 0:04:38,277.5,277.5,186.5,202,183.5,217.6,231.3,251.1
51, 0:04:42,281.5,281.5,220.4,199.6,199.5,211.3,231.9,253.6
52, 0:04:47,286.6,286.6,221.6,227,194,215.2,229.8,251.7
53, 0:04:53,292.5,292.5,207.3,232.4,181.3,218.7,232.9,251.5
54, 0:04:57,296.6,296.6,189.2,218.2,166.7,215.5,230.1,247.9
55, 0:05:02,302.1,302.1,183.7,205.7,199.7,211.5,231.2,251.2
56, 0:05:07,306.6,306.6,196.3,213.9,211.5,216.3,233.8,251.2
57, 0:05:12,311.6,311.6,218.4,222.8,204.1,214,226.4,249.6
58, 0:05:17,316.6,316.6,207.1,210.8,185.2,219.8,230.2,250.4
59, 0:05:22,322.1,322.1,200.6,221.9,172.4,222.7,232.7,253.6
60, 0:05:27,326.6,326.6,204.5,198.6,161.7,212.1,232.4,252.5
61, 0:05:32,331.6,331.6,213.1,220.9,164,215.1,229,250.9
62, 0:05:37,336.5,336.5,213.3,225.3,189.3,225,234.1,252.5
63, 0:05:42,342.1,342.1,179.1,211,179.7,215.5,232.1,249.8
64, 0:05:48,347.5,347.5,221.4,202.5,,207.3,231.7,251.5
65, 0:05:52,351.5,351.5,226.1,232.1,213.4,220.2,236.7,253.6
66, 0:05:57,357.1,357.1,213,,193.4,214.6,227.3,248
67, 0:06:02,362,362,202.3,216.9,169.3,218.6,230,251.4
68, 0:06:08,367.5,367.5,186.7,206,172.8,224.9,232.1,252.6
69, 0:06:12,371.5,371.5,203,219.7,198.6,215.1,231.4,250.5
70, 0:06:17,377.1,377.1,216.7,207.5,205,214.7,228,252.5
71, 0:06:23,382.5,382.5,211.5,221.4,193.3,216.3,232,253.2
72, 0:06:27,386.6,386.6,203,212.6,179.1,219.4,228.4,250
73, 0:06:32,391.6,391.6,192.5,207.2,165.7,213.9,236.1,253.8
74, 0:06:37,396.6,396.6,209.6,221.5,186.8,216.2,232.3,249.2
75, 0:06:42,402.1,402.1,212.3,215.4,192.3,209.8,229.7,252.8
76, 0:06:47,407.1,407.1,192,223.9,183.8,222.4,232.6,251.1
77, 0:06:53,412.5,412.5,185.8,221.4,177.6,211.6,229,251.3
78, 0:06:57,416.6,416.6,208.8,200.3,202.8,216.3,230.7,254.2
79, 0:07:02,422.1,422.1,216.5,223.5,196.2,219.5,229.5,251.6
80, 0:07:08,427.5,427.5,211.3,209,187.2,217.6,230.3,248.5
81, 0:07:12,431.6,431.6,199.7,210.4,177,218.3,229.7,253.6
82, 0:07:17,437.1,437.1,189.8,214.7,169.4,208.8,229.5,254.2
83, 0:07:22,442,442,209.1,223,211.1,217.2,229.3,250
84, 0:07:27,447,447,200.4,223,205.7,218.9,231.3,253.9
85, 0:07:32,452,452,195.4,205.5,188.1,214.5,234.8,252.2
86, 0:07:37,456.9,456.9,219.9,217.2,177.6,212.5,228,250.7
87, 0:07:42,462,462,218.7,225.1,192.2,214.2,227.9,253.1
88, 0:07:47,467,467,205.7,217.5,178,220.6,233.9,249.1
89, 0:07:52,471.9,471.9,191,210.2,173.4,211.9,232.6,252.3
90, 0:07:57,476.9,476.9,191.7,201.1,208.7,214.5,231.9,254.9
91, 0:08:02,481.9,481.9,217.1,230.8,208.8,216,227.3,250
92, 0:08:07,486.9,486.9,211.3,224,194.9,220.8,230.4,252.7
93, 0:08:12,491.9,491.9,197.3,213.6,173.4,221.6,231.6,253.2
94, 0:08:17,497.3,497.3,187.6,210.3,179.2,212.2,230.1,250.8
95, 0:08:22,501.9,501.9,211,222.6,207.4,211,234.3,251.4
96, 0:08:27,506.9,506.9,219.1,234.3,199.4,220.7,231.5,251.7
97, 0:08:32,511.9,511.9,197.1,224.8,186.8,210.2,231.3,252.5
98, 0:08:37,516.9,516.9,185.6,212.3,176.4,225.7,227,251.8
99, 0:08:42,521.9,521.9,179.8,210.5,204.1,217,234.7,249.8
100, 0:08:47,526.9,526.9,217.5,206.3,201.4,222.2,232.8,255
101, 0:08:52,531.8,531.8,216.3,220.8,187,209.5,236.3,253.9
102, 0:08:57,536.8,536.8,207.3,227,162.3,216,230.6,254.2
103, 0:09:02,541.8,541.8,197.4,227.3,186.8,218.9,233.2,253.5
104, 0:09:07,546.8,546.8,187.4,219.3,195.7,228.6,233.1,251.3
105, 0:09:12,551.8,551.8,211.9,204.7,214.1,212.2,237.2,252.5
106, 0:09:17,556.8,556.8,227,209.4,202.3,215,235.8,249.1
107, 0:09:22,561.7,561.7,225.6,232.2,193.2,208.4,230.8,255.6
108, 0:09:27,566.7,566.7,207.7,231.3,191.4,222.4,233,252.7
109, 0:09:32,571.7,571.7,191.1,225.2,169.5,217.7,228,253.9
110, 0:09:37,576.7,576.7,180.9,212.8,226.7,221.6,232.7,251.1
111, 0:09:42,581.6,581.6,213.8,204,210.5,224.1,233.3,252.8
112, 0:09:47,586.5,586.5,224.3,219.3,204,210.7,234.4,251.8
