NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
14:29:45,9/23/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20140923-3000-eq\3000-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,23,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,295,10,,,,,
Transducer 2,6680,0,300,11,,,,,
Transducer 3,8680,0,302,12,,,,,
Transducer 4,5680,0,293,13,,,,,
Transducer 5,4680,0,300,14,,,,,
Transducer 6,3680,0,305,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,1.6,1.6,166.7,176.6,152.6,193.7,214.8,208.7
2, 0:00:07,7,7,158.8,174.3,152.9,186,212.5,197.4
3, 0:00:12,11.6,11.6,160.9,177.3,167.3,180,201.9,199.4
4, 0:00:17,16.7,16.7,157.2,179.5,184,176.2,195.3,199
5, 0:00:22,22.1,22.1,160.2,206.3,184.4,174.5,203.7,197.9
6, 0:00:27,26.7,26.7,178.1,206.2,178.8,199.7,202.2,196
7, 0:00:32,31.6,31.6,176.8,192.2,180.8,197.1,204.2,194
8, 0:00:37,36.6,36.6,170.2,185.8,169,192.6,204.8,188.5
9, 0:00:42,42.1,42.1,174.8,196.6,166.3,197.8,203.5,188.9
10, 0:00:47,46.7,46.7,173.3,190.2,156.5,190.4,194.9,192.8
11, 0:00:52,51.7,51.7,167.7,180.9,154.2,180.8,188.5,202.5
12, 0:00:57,56.7,56.7,160.5,189.1,168.1,186,182.4,208.4
13, 0:01:02,62.1,62.1,158.8,201.9,176.6,207.2,186.1,206.8
14, 0:01:07,66.7,66.7,184,200.4,180.2,199.3,189.2,204.4
15, 0:01:12,71.6,71.6,183.4,194.6,177.9,201.1,189.1,200.9
16, 0:01:17,76.6,76.6,181.7,191.3,176.5,200.4,189.8,194
17, 0:01:22,81.6,81.6,172.1,186.4,179.3,201.9,196.6,187.9
18, 0:01:27,87.1,87.1,168.5,179.4,178.4,202.4,192,195.1
19, 0:01:32,91.6,91.6,162.1,175.8,178.4,202.8,188.9,200.3
20, 0:01:37,96.6,96.6,161.9,171.5,177.2,204.9,192.2,204
21, 0:01:42,101.6,101.6,160.5,184.9,174.2,204.6,198.5,197.5
22, 0:01:47,107.1,107.1,160.3,190.6,172.5,203.5,196.3,200
23, 0:01:53,112.5,112.5,164,188,168.5,199.1,191.1,213.9
24, 0:01:57,116.6,116.6,162.3,184,167.3,205.5,188.2,206
25, 0:02:03,122.5,122.5,183.2,177,164.8,199.9,186,196.2
26, 0:02:07,127.1,127.1,181,185.8,160.7,197.2,185.6,209.9
27, 0:02:12,131.7,131.7,183.4,183.7,156,191.7,194.7,218
28, 0:02:17,136.6,136.6,189.6,198.3,155.4,185.2,187.8,209.2
29, 0:02:22,141.6,141.6,186.1,197.5,172.3,180.5,197.6,200
30, 0:02:27,146.6,146.6,181.5,192.5,172.8,171.2,193.7,197.9
31, 0:02:32,151.6,151.6,176,200.8,167.5,183,186.4,200.7
32, 0:02:37,157.1,157.1,172.9,196.3,163.2,183.8,186.7,204.3
33, 0:02:42,162.1,162.1,172,200.3,161.6,180.9,198.1,204.6
34, 0:02:47,167,167,167.6,195.8,159.9,175.9,192.6,203.1
35, 0:02:52,172,172,165.8,199.4,159.7,172.9,186.3,209.9
36, 0:02:57,177,177,166,202.7,156.1,171.2,193.1,213.4
37, 0:03:02,182.5,182.5,165.5,204.9,157.4,180,206.9,203.1
38, 0:03:07,187.1,187.1,162.6,200.1,157.3,176.7,211.6,197.1
39, 0:03:12,192.5,192.5,165,196,156.1,176.5,196.6,201.8
40, 0:03:18,197.5,197.5,171.7,194.1,158.3,193.4,189.6,202.9
41, 0:03:22,201.6,201.6,185.5,195.5,184.3,187.3,188.1,196.8
42, 0:03:27,207.1,207.1,194.3,196,191.6,185.9,203.8,199.9
43, 0:03:32,211.7,211.7,189.1,190.2,188,182.2,194.4,205.7
44, 0:03:37,216.6,216.6,190.6,183.7,184.6,179.8,188,210.1
45, 0:03:42,221.6,221.6,192.3,178.4,180.1,176.4,188.5,199.9
46, 0:03:47,227.1,227.1,191.6,174.9,179.2,176.4,205.1,203.9
47, 0:03:52,231.7,231.7,192.7,175.2,168.7,176.4,206.1,214.8
48, 0:03:57,236.6,236.6,201.4,189.9,165.5,176.6,202.6,213.2
49, 0:04:02,242.1,242.1,193.9,188.3,162.7,195.4,193.9,204.4
50, 0:04:07,246.7,246.7,186.6,187.5,159.5,193.6,199.4,204.4
51, 0:04:12,251.7,251.7,194,192.8,158.1,188,194.9,202.1
52, 0:04:17,257.1,257.1,188.4,193.2,155.3,179.7,189.9,205.7
53, 0:04:22,261.7,261.7,188.5,191.5,155.5,175.3,200.8,197.3
54, 0:04:27,266.7,266.7,190.8,186.1,156.1,180.5,197.1,192.8
55, 0:04:32,272.1,272.1,191.6,183.3,157.9,199.3,191.2,206.9
56, 0:04:37,276.7,276.7,183.6,182.8,174.6,190.8,212.9,215.7
57, 0:04:42,281.7,281.7,173.5,179.9,168.7,182,210,202.7
58, 0:04:47,286.7,286.7,169.3,175.2,165.8,189.6,197.7,197.4
59, 0:04:52,291.7,291.7,170.3,178.8,177.8,189.1,187.6,197.2
60, 0:04:57,296.7,296.7,179.6,178.3,189,182.8,189.6,215.8
61, 0:05:02,301.6,301.6,179.7,176.2,185.4,185.7,215.5,218.6
62, 0:05:07,306.6,306.6,182.1,173.9,190.9,210.7,214,210.4
63, 0:05:12,312.1,312.1,179.6,173.5,189.3,210.6,209.9,199.8
64, 0:05:17,317,317,174.9,181.2,179.9,203,207.3,202.1
65, 0:05:22,322,322,170.1,190.5,172.5,194,198.4,201
66, 0:05:27,327.5,327.5,167.5,190.8,178.2,184.4,190.2,199.1
67, 0:05:32,332.1,332.1,165.8,183.6,185.7,178.5,188.7,214.8
68, 0:05:38,337.5,337.5,166.3,178.1,188.7,177,190.2,207.8
69, 0:05:42,341.6,341.6,168.9,175.6,191.9,176.1,205.6,212.4
70, 0:05:47,346.5,346.5,197.1,175.2,192,198.1,206.3,206.1
71, 0:05:52,352.1,352.1,194.6,182,192.5,201.9,199.4,217.8
72, 0:05:57,357,357,189.6,197,192.8,197.8,196,214.3
73, 0:06:02,362.5,362.5,184.7,195.4,192,190.1,194,218.4
74, 0:06:07,367.1,367.1,186.2,187.7,184.6,182.5,192.7,216.8
75, 0:06:12,372.1,372.1,184.6,177.5,180,181.4,199.5,212.1
76, 0:06:17,377,377,183.6,176.9,172.2,190.3,193.1,203.8
77, 0:06:22,382,382,179.7,179,165,207.8,190.9,197.8
78, 0:06:27,387.5,387.5,176.5,198.9,162.6,204.4,189.5,195
79, 0:06:32,392,392,172.9,197.2,160.5,198.1,189.5,198.8
80, 0:06:37,397,397,167.3,187.8,158.3,198.3,191.4,196.9
81, 0:06:42,401.6,401.6,174.5,183.3,157.3,187.3,185.8,194.7
82, 0:06:47,406.6,406.6,174.6,177.2,156.1,179.4,204,190.3
83, 0:06:52,412.1,412.1,170.5,174.6,183.5,199.8,203,190.2
84, 0:06:57,416.6,416.6,170.2,174.8,190.7,197.5,200.6,197.2
85, 0:07:02,422.1,422.1,169,187.2,185.1,194.3,209.7,213.7
86, 0:07:07,427.1,427.1,166.8,202.5,177.3,194,208,219.5
87, 0:07:12,432,432,178.8,192.3,168.1,195.7,215.7,220.4
88, 0:07:17,437,437,175.8,186.7,158.8,198.8,216.4,221
89, 0:07:22,442,442,165.6,181,158.2,194.3,212.4,217.1
90, 0:07:27,447,447,164.3,175,163.2,186.8,207.3,211
91, 0:07:32,452,452,163.7,174.3,176.6,183.2,197.6,199.8
92, 0:07:37,457.4,457.4,182.2,177.1,184.8,175.9,189.3,192
93, 0:07:42,462,462,194,183.2,191.2,175.3,183.6,203.6
94, 0:07:47,467,467,196.3,204,193.6,174.1,180,204.7
95, 0:07:52,472.5,472.5,195.7,201.7,192.2,173.4,179.4,208
96, 0:07:58,477.5,477.5,193.6,195,185.6,173.6,181,198.3
97, 0:08:02,481.6,481.6,189.6,189.4,179.5,183.6,184,199.3
98, 0:08:07,487,487,183.4,182.9,,202,183.8,198
99, 0:08:12,492.1,492.1,172.9,185.8,159.4,205.5,187.3,195.2
100, 0:08:17,497.1,497.1,169.4,209,151.7,208.7,210.2,191.1
101, 0:08:22,502,502,164.9,203.6,149.1,211.4,213.8,189.4
102, 0:08:27,507.1,507.1,169.1,197.1,150.1,208.2,208.1,199.5
103, 0:08:32,512.1,512.1,174,193.1,154.1,208.3,206.7,198.3
104, 0:08:37,517.5,517.5,173.8,188,171.4,201.1,205,194.9
105, 0:08:42,522.1,522.1,173.1,183.1,189,199.2,200.1,189.3
106, 0:08:48,527.5,527.5,171.9,177.3,184.7,192.8,191.2,185.8
107, 0:08:52,532.1,532.1,167.7,175.9,180.6,185,193.1,187.6
108, 0:08:57,537.1,537.1,189.4,173.8,171.2,184.5,208.7,189.5
109, 0:09:02,541.7,541.7,191.7,174.3,166.9,182.9,202.8,189.2
110, 0:09:07,546.7,546.7,177.9,175.8,162.6,179.2,204.8,200.2
111, 0:09:12,551.7,551.7,172.7,181.7,153.2,180.3,210.3,210.7
112, 0:09:17,556.6,556.6,168.2,202.7,151.1,191.8,206.8,204.2
113, 0:09:22,561.6,561.6,171.7,205.7,151.4,193,200.7,197.1
