NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
14:01:03,9/26/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20140926-3000-ag\3000-ag,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,22,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,295,10,,,,,
Transducer 2,6680,0,300,11,,,,,
Transducer 3,8680,0,302,12,,,,,
Transducer 4,5680,0,293,13,,,,,
Transducer 5,4680,0,300,14,,,,,
Transducer 6,3680,0,305,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,1.5,1.5,164.8,186.7,163.2,188.9,203.3,198.4
2, 0:00:07,7,7,153.9,177.4,157.8,182.6,205.9,192.5
3, 0:00:12,11.9,11.9,153.7,170.5,189.6,178.8,201.8,190.7
4, 0:00:17,16.9,16.9,186.1,167.3,176.9,174.7,205.8,187.6
5, 0:00:22,21.9,21.9,188.6,170.1,171.1,175.1,205.6,185.5
6, 0:00:27,26.9,26.9,186.3,186.2,157.2,171.4,204.7,184.4
7, 0:00:32,31.8,31.8,187.7,192.9,150.9,170.7,196.8,180.8
8, 0:00:37,36.8,36.8,187.3,189,145.1,171.7,207.3,209.9
9, 0:00:42,41.8,41.8,177.8,183.5,142.3,196,209.4,206
10, 0:00:47,46.8,46.8,166,181.1,139.9,189.3,206.1,196.2
11, 0:00:52,51.7,51.7,157.1,189.5,163.6,185.2,207,191.2
12, 0:00:57,57.2,57.2,154.6,185.3,177.6,185.4,196.2,204
13, 0:01:02,61.8,61.8,178.2,185.1,185.9,187.5,193.1,211.8
14, 0:01:07,66.8,66.8,176.4,186.4,185,199.3,203.9,198.9
15, 0:01:12,71.7,71.7,171.6,194.9,182.5,211.4,199.6,191.7
16, 0:01:17,76.7,76.7,180.3,189.8,177.5,206.5,196.5,200.6
17, 0:01:22,81.6,81.6,172.1,171.7,174.6,197.6,198.1,210.3
18, 0:01:27,86.7,86.7,169,163.7,168.3,186.7,196.9,207
19, 0:01:32,92.1,92.1,173.2,166.4,159.6,185.4,193.3,200
20, 0:01:37,96.7,96.7,191,192.7,152.4,194.2,194.8,194.5
21, 0:01:42,101.7,101.7,201.1,202.7,145.2,183.4,185.8,212.3
22, 0:01:47,106.7,106.7,169.4,187.6,141,185.3,186.7,214.7
23, 0:01:52,111.6,111.6,153.5,175.5,182.5,190.7,197.8,207.3
24, 0:01:57,117.1,117.1,155.8,176.2,169.7,199.1,189.7,202.2
25, 0:02:02,121.8,121.8,170.1,196.5,181.4,196.9,179.4,195.4
26, 0:02:07,127,127,178.2,191,181.3,186.9,180.8,197.9
27, 0:02:12,131.9,131.9,175.9,176.7,177.5,178.5,182.1,198.6
28, 0:02:17,136.9,136.9,168,171.5,173.9,202.3,192.8,200.2
29, 0:02:22,141.9,141.9,162.2,195.7,171.1,212.1,200.4,198.9
30, 0:02:27,146.9,146.9,180.5,197.1,158.9,201.1,193.2,193.5
31, 0:02:32,151.9,151.9,183.7,182.2,155.5,189,186.1,210.3
32, 0:02:37,156.8,156.8,178.4,165.8,153.9,177.3,188.4,202.8
33, 0:02:42,161.8,161.8,166.7,193.2,145,193.3,201.7,211.9
34, 0:02:47,167.3,167.3,185.7,202.4,143.6,198.4,200.2,211.1
35, 0:02:52,171.8,171.8,187.8,203.8,139.5,199,198.3,196.5
36, 0:02:57,176.8,176.8,167,192.3,153.8,195,192.5,208.1
37, 0:03:02,182.3,182.3,153.5,184.8,170.9,189.8,182.4,198.1
38, 0:03:07,186.9,186.9,143.6,179.3,170.1,185.5,187.3,208.9
39, 0:03:12,192.3,192.3,149.4,175.4,190.2,182.7,196.5,203.7
40, 0:03:17,197.3,197.3,179.2,171.9,191.1,185,192.6,196.3
41, 0:03:22,201.9,201.9,185.6,171.8,184.2,184,194.3,193.4
42, 0:03:27,207,207,184.8,169,177.7,180.5,191.8,213.5
43, 0:03:32,212,212,176.7,172.7,166.6,178.3,211.4,205.8
44, 0:03:37,216.9,216.9,172.5,178,157.6,172.6,205.9,194.4
45, 0:03:42,221.9,221.9,165.4,193.5,145.7,179.4,194,195.7
46, 0:03:47,226.9,226.9,158.8,197.1,142.1,180.8,186.4,205.4
47, 0:03:52,231.9,231.9,176.3,197.1,153.8,179,208.2,205.9
48, 0:03:57,236.8,236.8,180.6,200.3,174.7,201.2,205.6,192.6
49, 0:04:02,242.3,242.3,178.7,198.3,181.8,191.8,196.2,208
50, 0:04:07,246.9,246.9,175.5,186.1,179.1,185.7,185.2,202.6
51, 0:04:12,251.8,251.8,170.5,181.5,172.7,176.4,193.1,198
52, 0:04:17,256.8,256.8,163.4,174.2,162.1,174.3,204.4,194
53, 0:04:22,261.8,261.8,160.4,169.1,154,201.9,199.5,207.6
54, 0:04:27,267.3,267.3,157.8,192.4,151.2,202.5,190.9,206.8
55, 0:04:32,271.9,271.9,174.9,191.9,164.2,185.5,192.4,204.7
56, 0:04:37,276.8,276.8,168.9,180.3,159.4,174.8,204.3,195.8
57, 0:04:42,281.8,281.8,169.8,165.3,168.3,172.5,194.7,196.1
58, 0:04:47,286.8,286.8,181.9,166.8,163.6,191,186.3,204.2
59, 0:04:52,292.3,292.3,192.3,174.7,172.8,170.4,183.9,196.2
60, 0:04:57,296.9,296.9,194.6,197.6,174.1,177.2,197.6,202.1
61, 0:05:02,301.8,301.8,189,194.8,173.4,200.6,195.3,210.4
62, 0:05:07,307.3,307.3,183.7,196.2,162.9,199.4,194.2,207.2
63, 0:05:12,311.9,311.9,172.4,194.5,152.2,194.7,203.5,199.3
64, 0:05:17,316.8,316.8,160.7,177.9,175.6,183.3,194.5,192.8
65, 0:05:22,322.3,322.3,201,168.9,148,175.3,186.5,199.7
66, 0:05:27,326.8,326.8,154.6,165.4,178.3,172.1,187.6,204.5
67, 0:05:32,331.8,331.8,181.7,163.3,191.6,181.8,207.4,202.3
68, 0:05:37,337.3,337.3,176.7,171.3,183.8,199.5,200.4,193.7
69, 0:05:42,341.9,341.9,191.5,200.9,174.4,200.1,193.6,196.9
70, 0:05:47,346.8,346.8,191.2,205.3,157.4,199.9,188.4,209.9
71, 0:05:52,352.3,352.3,182.7,197.5,153.8,193.6,202.1,207.7
72, 0:05:57,356.9,356.9,174.1,194,160.5,186.6,206.1,202.1
73, 0:06:02,361.8,361.8,164.4,184,168.6,180.2,204.4,199.8
74, 0:06:07,367.3,367.3,160.6,178.9,172.6,191,195.4,205
75, 0:06:12,371.8,371.8,155.2,171.3,177.9,190.2,190.2,199.6
76, 0:06:17,376.8,376.8,151.7,167.8,179,183.1,187.1,202.4
77, 0:06:22,382.3,382.3,150.3,164.6,181.4,175.3,201.8,195.1
78, 0:06:27,386.9,386.9,156.4,168,187,177.9,198.2,203.1
79, 0:06:32,391.9,391.9,175.4,178.9,178.8,198.7,194.2,203.9
80, 0:06:37,396.9,396.9,177,176,171.7,194.7,190.6,197.8
81, 0:06:42,402.3,402.3,174,173.9,169.5,180.1,185.5,214
82, 0:06:47,406.8,406.8,160.9,172.4,158.4,175.6,193.9,200.5
83, 0:06:52,412.3,412.3,156.4,171.7,149.8,170.9,204.2,214.2
84, 0:06:57,416.9,416.9,177.3,197.2,145.2,192.3,193.1,204.6
85, 0:07:02,421.9,421.9,187.1,199.7,169.7,189.8,185.8,197.4
86, 0:07:07,426.7,426.7,185.4,198.9,172.7,183.5,182.1,205.8
87, 0:07:12,431.7,431.7,181.5,191.6,169.8,177.6,189.9,202.5
88, 0:07:17,436.6,436.6,175.7,188.3,173.1,197.3,218.5,205.6
89, 0:07:22,442.1,442.1,167.4,179.3,163.4,196.7,210,205.3
90, 0:07:27,446.7,446.7,159.1,175.1,157.8,186.6,199.4,204
91, 0:07:32,451.7,451.7,155.3,170.7,153.3,176.7,191.6,199.8
92, 0:07:37,456.6,456.6,174.9,166,153.5,167.8,189.8,192.5
93, 0:07:42,461.6,461.6,175.8,205.3,167.1,193,191.6,198.7
94, 0:07:47,466.6,466.6,174.8,203.2,162.2,193.8,208.8,203.5
95, 0:07:52,471.6,471.6,170.3,196.3,151.4,194.5,213.6,193.3
96, 0:07:57,476.6,476.6,161,182.6,147.1,193.9,204.9,207.5
97, 0:08:02,482.1,482.1,160.4,173.3,150.6,183.1,192.8,197.3
98, 0:08:07,486.7,486.7,175,165.5,175,175.1,189.1,194.2
99, 0:08:12,491.7,491.7,182.2,165,181.7,167.6,197.1,209.1
100, 0:08:17,496.7,496.7,188.9,188.6,178.8,166.3,208,203.8
101, 0:08:22,501.6,501.6,190.8,203,179.1,183.4,205.9,206.8
102, 0:08:27,507.1,507.1,190.7,197.8,177.3,201.3,204.1,199.8
103, 0:08:32,511.7,511.7,184.2,196.8,166.5,190.7,199.9,203.9
104, 0:08:37,516.7,516.7,175.7,188.4,153.2,187,192.8,196.3
105, 0:08:42,522.1,522.1,171.2,181.1,146.2,172.2,188,203.4
106, 0:08:47,526.7,526.7,160.2,174.3,142.6,166.4,183.1,210.5
107, 0:08:52,531.7,531.7,154.3,171.5,140.8,174.5,183.9,203.9
108, 0:08:57,536.6,536.6,149.9,175.5,177,182.3,200,199.1
109, 0:09:02,542.1,542.1,152.5,196.9,170.3,192,189.9,196.2
110, 0:09:07,546.7,546.7,179.9,186.9,169.3,186.9,183.5,195
111, 0:09:12,551.7,551.7,174,180,177.9,186.3,189.9,204.5
