NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
14:20:13,9/30/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20140930-4000-eq\4000-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,22.1,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,295,10,,,,,
Transducer 2,6680,0,300,11,,,,,
Transducer 3,8680,0,302,12,,,,,
Transducer 4,5680,0,293,13,,,,,
Transducer 5,4680,0,300,14,,,,,
Transducer 6,3680,0,305,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,1.5,1.5,159.4,179.9,178,184.4,200.3,210.8
2, 0:00:07,7.1,7.1,179.7,204.2,190,179.9,216.8,217.2
3, 0:00:12,12.1,12.1,198.4,217.1,183.3,203.5,204.6,213.4
4, 0:00:18,17.5,17.5,188.8,211.1,178.7,209.1,212.3,202.9
5, 0:00:22,21.6,21.6,179.8,205.7,168.5,205.2,212.8,203.8
6, 0:00:27,26.6,26.6,170.5,202.6,161.3,200.2,201.1,206.9
7, 0:00:32,32.1,32.1,159.9,196.9,148.5,191.9,218.3,218.7
8, 0:00:37,37,37,160.1,180,,185.6,216.6,219.8
9, 0:00:42,42.1,42.1,182.6,174.6,192.6,204.1,208.7,206.1
10, 0:00:47,47.1,47.1,195.1,174.1,192.4,191.7,207.5,221.9
11, 0:00:52,52,52,197.9,175,189.5,182.5,198.7,220.7
12, 0:00:57,57,57,192.8,178.8,188.7,181.2,215.5,211
13, 0:01:02,62.5,62.5,192.3,190.9,179.5,189.4,209.2,217.2
14, 0:01:07,67,67,192.3,212.8,167.9,205.8,199.2,208.4
15, 0:01:12,72,72,181.5,205.9,157.5,195,199.1,214.9
16, 0:01:17,77,77,169.7,191.5,150.4,186.6,202.9,214.7
17, 0:01:22,82.2,82.2,164.1,184.9,143.9,203.1,220.5,205.5
18, 0:01:27,86.8,86.8,155.1,179,146.5,204.6,206.2,209.3
19, 0:01:32,91.8,91.8,178.8,195.1,190.3,189.3,200.4,215
20, 0:01:37,96.7,96.7,190.6,197.6,180.8,181.1,223.3,204.5
21, 0:01:42,102.2,102.2,191.5,188.9,172.7,203,210.2,210.7
22, 0:01:47,107.2,107.2,191.7,210.7,171.4,199.1,202.9,216.5
23, 0:01:52,111.8,111.8,188.9,207.9,158.8,188.4,220.6,208.2
24, 0:01:57,117.2,117.2,180.4,197.3,146.9,191.9,212.2,220.1
25, 0:02:02,121.8,121.8,169.2,184.5,144,199.5,196.2,206.7
26, 0:02:07,126.8,126.8,160.9,186.6,172.8,188,209.7,212.8
27, 0:02:12,131.8,131.8,160.2,198.9,184,207.7,207.2,215.9
28, 0:02:17,136.8,136.8,161.2,190.6,188.9,206.3,202,210
29, 0:02:22,141.8,141.8,162.1,194.7,184,199.7,205.8,207.9
30, 0:02:27,146.8,146.8,173.3,183.7,176.1,189.4,210.9,218.1
31, 0:02:32,151.8,151.8,170.2,177,170.5,183.6,203.2,213.5
32, 0:02:37,156.8,156.8,197,183.1,162.1,185.9,210.2,214.5
33, 0:02:42,161.8,161.8,199.9,207.2,159.1,193.5,198.7,211.7
34, 0:02:47,166.8,166.8,189.1,211.4,169.3,190.2,217.2,217.3
35, 0:02:52,171.8,171.8,178.1,206.4,160.6,204.4,211.6,215.1
36, 0:02:57,176.8,176.8,168.8,198.8,151.7,195.8,202.1,215.4
37, 0:03:02,181.8,181.8,162.4,189.4,149.9,184.6,216.1,207.5
38, 0:03:07,186.8,186.8,154,183.8,165.5,184.6,206.9,211.2
39, 0:03:12,191.8,191.8,189.7,181.6,193.9,203.9,197.5,214.1
40, 0:03:17,197.2,197.2,186.2,205.8,193.2,201,220.1,214.8
41, 0:03:22,201.8,201.8,198.5,205.3,186.4,193.5,213.6,214.1
42, 0:03:27,206.8,206.8,193.5,195,184.6,202.6,205.5,216.1
43, 0:03:32,211.8,211.8,185.7,186,171.1,192.1,199.9,208.6
44, 0:03:37,216.8,216.8,174,177.8,162.4,183.6,212.3,218.4
45, 0:03:42,222.3,222.3,165.8,175.8,155.5,186.5,204,222.1
46, 0:03:47,226.8,226.8,165.4,200.4,151.9,209.5,218.9,210.5
47, 0:03:52,231.8,231.8,190.5,208.6,152.2,202.7,206.6,214.1
48, 0:03:57,236.8,236.8,176.3,194.7,175.6,188.8,197.8,208.3
49, 0:04:02,242.3,242.3,168.6,179.8,174.9,185.7,207.2,219.6
50, 0:04:07,246.9,246.9,161.8,179,166.4,212.8,216.8,216.4
51, 0:04:12,251.8,251.8,191.2,189.3,162.1,207.2,217.2,214.2
52, 0:04:17,256.8,256.8,194.5,197.7,184,192.7,206.7,211.5
53, 0:04:22,261.8,261.8,194.6,181.7,182.7,184.8,203.1,216
54, 0:04:27,266.8,266.8,190.6,179,179.1,179.9,212.7,213.9
55, 0:04:32,272.2,272.2,187.5,198.9,166.7,179,212.9,208.1
56, 0:04:37,276.8,276.8,180.5,213.9,157.2,191.1,215.9,214.5
57, 0:04:42,281.8,281.8,187.1,211.9,149.9,199.1,206,222.1
58, 0:04:47,287.2,287.2,175.7,205.2,146.9,193.1,219.6,212.2
59, 0:04:52,291.8,291.8,164.7,194.6,149.5,187.7,211.9,217.2
60, 0:04:57,296.8,296.8,158,185.4,174.6,194.4,201.4,212.2
61, 0:05:02,301.8,301.8,156.3,183.1,195.6,185.5,215.8,203.6
62, 0:05:07,306.7,306.7,161.5,179.6,183.5,206.8,208.9,217.2
63, 0:05:12,311.7,311.7,186.8,197.3,175.2,209.8,214.5,217.1
64, 0:05:17,316.8,316.8,194.3,200.8,177.3,199.5,215.2,211
65, 0:05:22,321.8,321.8,195.1,192.7,166.9,188,210.9,209.9
66, 0:05:27,326.7,326.7,187.1,186.3,159.3,192.4,201.1,221
67, 0:05:32,331.7,331.7,182.9,180,149.9,189.2,218.8,217.1
68, 0:05:37,336.7,336.7,168.3,205.6,156.5,212.8,215.1,215.7
69, 0:05:42,342.1,342.1,166.3,203.7,176.6,203.9,204.5,215.2
70, 0:05:47,347.2,347.2,185.4,191.4,180.7,189.5,201,206.4
71, 0:05:52,352.2,352.2,180.7,186.4,182.4,183.7,214,218.6
72, 0:05:57,356.8,356.8,166.7,179.3,181,211.6,203.7,207.3
73, 0:06:02,361.8,361.8,167.5,201.2,180.6,209.2,219,217.3
74, 0:06:07,366.8,366.8,191.9,197.1,179.4,196,206.9,209.3
75, 0:06:12,371.8,371.8,190.6,184.3,176.1,185.4,203.2,220.1
76, 0:06:17,376.8,376.8,177.5,179.6,183.3,177,214.8,207.9
77, 0:06:22,381.7,381.7,171.8,178.4,166,188.9,215.9,219.8
78, 0:06:27,386.8,386.8,186.1,205.1,158.3,206,208.4,207.5
79, 0:06:32,391.7,391.7,194.2,204.4,151.7,198.1,199.1,209.7
80, 0:06:37,396.8,396.8,183.3,192.7,154.7,185.1,203,213.7
81, 0:06:42,401.7,401.7,169,185.9,160.8,184.5,210.2,215.6
82, 0:06:47,407.2,407.2,164.6,182.8,154.6,204.3,210.9,213.9
83, 0:06:52,411.8,411.8,164.5,210,190.9,201.1,212.8,216.6
84, 0:06:57,417.2,417.2,189.9,202.9,195.4,191.2,202.5,206.3
85, 0:07:02,422.2,422.2,189.8,195.2,185.6,185.9,205.6,217.2
86, 0:07:07,426.8,426.8,184.8,186.4,175.6,183.8,219.8,212.5
87, 0:07:12,431.8,431.8,173.3,179.7,168.2,204.4,216.9,217.7
88, 0:07:17,437.2,437.2,168,204.9,157.1,200.5,204.9,210.6
89, 0:07:22,441.8,441.8,184.3,202.9,153.9,190.3,203.7,220.5
90, 0:07:27,446.8,446.8,191.6,195.3,174.3,186.6,212.5,212.8
91, 0:07:32,451.8,451.8,182.7,183.7,183.1,205.5,220.3,213.4
92, 0:07:37,456.8,456.8,173.3,194,174.9,195.3,206.4,205
93, 0:07:42,461.8,461.8,169.8,200.2,172.5,179.3,201.3,214
94, 0:07:47,467.2,467.2,168.3,192.4,158.1,182.5,217.4,212.2
95, 0:07:52,471.8,471.8,183,192.5,153.6,212.5,213.9,210.5
96, 0:07:57,476.8,476.8,184.8,212.7,173.6,204.9,201.2,218.1
97, 0:08:02,482.3,482.3,178.8,195,185.1,194.4,212.2,218.1
98, 0:08:07,486.8,486.8,174.5,185.2,181.6,182.7,208.8,209.6
99, 0:08:12,492.3,492.3,167.5,181.4,172.3,194.4,198.1,216.9
100, 0:08:17,496.9,496.9,178.2,187.4,165,193,219.1,216.3
101, 0:08:22,502.3,502.3,199.9,211.6,160,211,211.6,216.9
102, 0:08:27,506.8,506.8,181.3,200.2,174.5,198.2,204.6,217.3
103, 0:08:32,511.9,511.9,168.4,188.6,165.9,185.6,204.2,215.9
104, 0:08:37,517.3,517.3,164.9,180.5,162.1,183.1,219.3,206.2
105, 0:08:42,522.4,522.4,161.8,180.1,168,205.2,207.8,216
106, 0:08:47,527,527,189.4,189.8,197.2,201.4,211.7,207.2
107, 0:08:52,531.9,531.9,196.1,206.7,194.7,194.7,216.5,218.4
108, 0:08:57,537.4,537.4,193.7,202.9,188.3,190.3,204.7,217.1
109, 0:09:02,542,542,190.8,189.9,178.4,199.6,216.6,211.3
110, 0:09:07,547.4,547.4,182,187.8,163.1,192.5,213.1,217.4
111, 0:09:12,552,552,166.7,180.7,156.8,202.9,202.6,206.7
