NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
11:21:06,7/16/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20140716-eq\Run1,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,23.05,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,335,10,,,,,
Transducer 2,6680,0,340,11,,,,,
Transducer 3,8680,0,334,12,,,,,
Transducer 4,5680,0,340,13,,,,,
Transducer 5,4680,0,335,14,,,,,
Transducer 6,3680,0,337,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,2,2,108.2,136.8,99.9,107.3,142.2,132.1
2, 0:00:07,7.1,7.1,108.8,134.8,100.8,106.8,142.7,131.8
3, 0:00:12,12,12,108,135.1,100.1,106.7,140.8,130.4
4, 0:00:18,17.5,17.5,108,134.4,100.2,106.6,138.1,128
5, 0:00:22,21.6,21.6,105.2,133.8,100.4,104.9,139.8,130.4
6, 0:00:27,27,27,105.5,134.7,99.2,105.6,139.2,137.7
7, 0:00:32,31.7,31.7,105.4,132.6,98.8,103.9,137.6,135.3
8, 0:00:37,36.9,36.9,106.8,135.4,100.6,105.4,136.9,137.4
9, 0:00:42,41.9,41.9,105.5,133.5,100.2,104.7,138.1,136.7
10, 0:00:47,46.9,46.9,106.9,133.4,100.1,104.1,138.9,134.1
11, 0:00:52,51.9,51.9,105.3,131.9,100.7,105.5,133.7,132.7
12, 0:00:57,56.9,56.9,105.1,131.3,105.7,103.9,130.5,130.3
13, 0:01:02,61.9,61.9,107.3,133.5,119.8,104.9,128.5,131
14, 0:01:07,66.9,66.9,108.1,129,128.4,103.5,127.2,131.1
15, 0:01:12,71.9,71.9,114,131.8,138.7,103.2,126.4,132.2
16, 0:01:17,76.8,76.8,123.1,131.8,141.8,104.1,125.8,145.3
17, 0:01:22,81.8,81.8,130.8,129.9,142.5,105.3,125.8,144.1
18, 0:01:27,86.8,86.8,132.5,130.3,141.7,105.8,126,143.2
19, 0:01:32,92.3,92.3,131,129.6,140.5,106.9,123.3,139.2
20, 0:01:37,97.3,97.3,132.8,129.3,139.4,129.7,123.1,139.9
21, 0:01:42,101.9,101.9,129.1,126.9,139.1,133.2,121.3,137.5
22, 0:01:47,106.9,106.9,132.2,127,138,137.8,119.8,136
23, 0:01:52,111.9,111.9,132,126.5,137.3,136,119.9,133.9
24, 0:01:57,116.9,116.9,131.3,125.8,134.8,132.3,118.2,131.4
25, 0:02:02,121.8,121.8,127.7,124.8,131.9,131.5,117.4,129.8
26, 0:02:07,126.8,126.8,129,124.9,131.9,131.8,117.9,130.7
27, 0:02:12,131.8,131.8,129,122.4,129.1,131.2,116,130.3
28, 0:02:17,136.8,136.8,131.1,121.4,128.5,130.4,116.4,129.5
29, 0:02:22,141.8,141.8,130,121.2,127.7,129.4,114.9,129.2
30, 0:02:27,146.7,146.7,131.2,121,123.5,125.9,114.7,130.4
