NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
16:39:50,11/5/14,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20141105-8000-ag\8000-ag,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,18.1,,,,,,,,
Water Height,350,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,7680,0,290,10,,,,,
Transducer 2,6680,0,300,11,,,,,
Transducer 3,8680,0,302,12,,,,,
Transducer 4,5680,0,290,13,,,,,
Transducer 5,4680,0,300,14,,,,,
Transducer 6,3680,0,305,15,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,1.6,1.6,208.7,222.7,193.3,220.2,231.5,250.7
2, 0:00:07,6.6,6.6,196.4,212.2,168,213.1,233.4,248.6
3, 0:00:13,12.5,12.5,194,224.6,195.3,217.4,228.6,248.9
4, 0:00:17,16.6,16.6,207.8,,205.5,216.3,228.9,251
5, 0:00:22,21.6,21.6,198.8,212.6,195.6,219.7,230.2,249.1
6, 0:00:27,27,27,187,219.5,180.2,217.1,229.7,248.5
7, 0:00:33,32.5,32.5,206.5,222.9,207.9,214.6,233.8,249.7
8, 0:00:37,36.6,36.6,198.9,219,202.2,217.9,230.7,251
9, 0:00:42,41.5,41.5,203.5,226.4,186,216,230.2,251.1
10, 0:00:48,47.5,47.5,191.9,211.1,168.5,217.8,229.4,248.6
11, 0:00:52,51.6,51.6,202.4,224.3,194.7,220,230.2,247.9
12, 0:00:57,57,57,219.7,213.9,208,216.7,234,248.9
13, 0:01:02,62.1,62.1,196,219,185.7,213.9,234.7,249.5
14, 0:01:07,66.7,66.7,190.4,222.7,169.4,214.1,234.5,251.3
15, 0:01:12,71.7,71.7,210.3,226.7,212.3,215.2,228.8,249.9
16, 0:01:17,77.1,77.1,190.8,223,189.7,220,232.5,249.7
17, 0:01:22,81.7,81.7,182.3,210.7,177.5,222.7,229.4,249.9
18, 0:01:27,86.7,86.7,206.7,212.5,209.3,211.1,231.3,250.3
19, 0:01:32,91.7,91.7,216.4,220.3,196.5,219.8,232.7,248.9
20, 0:01:37,96.7,96.7,210.2,231.5,173.9,213.2,231.1,249.5
21, 0:01:42,102.1,102.1,200.5,219.5,,220,230.5,248.2
22, 0:01:47,106.7,106.7,178.8,213,203.5,218.4,235.2,249.9
23, 0:01:52,111.7,111.7,202.5,219.5,218,217.5,233.5,250.1
24, 0:01:57,117.1,117.1,212.1,220.2,200.7,216.9,230.1,251.8
25, 0:02:02,121.7,121.7,205.4,219.4,187.7,221.1,231.9,249.2
26, 0:02:07,126.6,126.6,196.8,223.9,165.9,218.1,232,250.4
27, 0:02:12,131.6,131.6,187.8,209.7,161.2,221.6,232.4,247.3
28, 0:02:17,136.6,136.6,203.7,223.1,218.7,212.5,230.3,250
29, 0:02:22,141.6,141.6,206.4,217.9,189.6,218.8,235.9,250.8
30, 0:02:27,146.6,146.6,191.4,227.2,178.4,218.2,232.8,250.8
31, 0:02:32,151.5,151.5,199.4,211.1,182.4,215.7,232.6,250.1
32, 0:02:37,157.1,157.1,198.6,224,202.1,217.6,231.7,252.2
33, 0:02:42,162.1,162.1,214.6,209.5,202.4,217,231.7,252.2
34, 0:02:47,166.7,166.7,202.8,218.3,181.6,213.9,230.1,250
35, 0:02:52,171.7,171.7,193.1,219,,219.3,234.8,249.1
36, 0:02:57,176.7,176.7,207.1,224.1,183.3,218,234.4,249.7
37, 0:03:02,181.6,181.6,191.5,210.8,205.7,210.7,230.7,247.9
38, 0:03:07,186.6,186.6,194,223.7,196,216.2,231.4,251.3
39, 0:03:12,191.6,191.6,210.5,226.9,189.4,219.6,235,248
40, 0:03:17,196.6,196.6,188.9,210,183.8,215.3,228.8,249.6
41, 0:03:22,201.6,201.6,183.9,214.6,197.8,215.2,229.7,250.7
42, 0:03:27,206.6,206.6,214.7,222.5,215.7,222.2,230.8,253
43, 0:03:32,211.5,211.5,216.4,217,189,217.2,231.3,251.8
44, 0:03:37,217.1,217.1,199.9,207.7,167.7,220,232.2,250.4
45, 0:03:43,222.5,222.5,190.6,228.9,188.6,216.3,234.1,251
46, 0:03:47,226.6,226.6,209.8,226.3,204,216.3,233.2,249.1
47, 0:03:52,231.6,231.6,189.7,219.8,195.3,213.1,233.1,251.4
48, 0:03:57,237.1,237.1,178.8,221.9,187.7,220,232.5,252.4
49, 0:04:02,241.7,241.7,211.7,220.3,207,216.2,229.3,250.5
50, 0:04:07,246.6,246.6,200.5,208.5,196.3,220.1,230.7,252.3
51, 0:04:12,251.6,251.6,211.8,222.9,192.7,219.8,232.2,252.4
52, 0:04:17,256.6,256.6,207.9,207.3,166.8,213.8,232.2,253.3
53, 0:04:22,261.6,261.6,193.1,221.5,192.6,218.5,233.8,251.6
54, 0:04:27,266.6,266.6,209.9,226.2,205.9,215.2,231.9,248
55, 0:04:32,271.6,271.6,195.8,214.6,200.6,213.8,234.1,253
56, 0:04:37,276.6,276.6,184.7,222,189.2,214.5,234,252.4
57, 0:04:42,281.6,281.6,206.8,219.2,186.8,214.9,229.8,247.9
58, 0:04:47,287.1,287.1,200.4,217.3,191.7,222.2,234.5,251.2
59, 0:04:52,292,292,189.8,219.7,175.6,215.9,231.8,250.7
60, 0:04:57,296.9,296.9,208.1,204.6,186.3,213.8,230.8,251.3
61, 0:05:02,302,302,198.6,230.5,199.3,221.2,231.4,251.4
62, 0:05:07,307,307,209.8,224.8,190.8,214.9,229.9,251.3
63, 0:05:12,312,312,188.1,205.5,184.2,219.8,234.4,250.7
64, 0:05:17,316.9,316.9,185.5,227.4,204.3,214.1,233.8,248.7
65, 0:05:22,322,322,216.4,217.6,211,214.2,235.7,249.9
66, 0:05:27,327,327,208.9,225.1,196.8,216,234.1,250.7
67, 0:05:32,332.4,332.4,197.3,222.2,173.2,216,231.5,249.8
68, 0:05:37,337,337,181.9,208.4,170.5,218.7,230.9,254.4
69, 0:05:42,342,342,211.4,220.8,206.4,216.9,232.1,250.2
70, 0:05:47,346.9,346.9,219.7,211.9,207.4,222.8,231.2,251.3
71, 0:05:52,352,352,210.7,224.2,194.7,216.8,232.5,248.5
72, 0:05:57,357.4,357.4,202.1,217.3,172.7,215.4,234.3,252.5
73, 0:06:02,362,362,198,230,164.7,214.8,235.1,251.1
74, 0:06:07,366.9,366.9,198.7,224.9,193.6,217,226.9,253
75, 0:06:12,372,372,180.3,220.8,205.4,223.7,233.6,252.4
76, 0:06:17,377,377,209.2,219.8,209.7,220.3,233.6,254.6
77, 0:06:22,382.5,382.5,217.2,207.4,204.6,211.2,236.4,249
78, 0:06:27,387,387,207.7,227.7,203.2,218.3,230.8,251.4
79, 0:06:32,392,392,215.2,232.1,162.6,214.3,234.8,250.4
80, 0:06:37,397,397,192.8,218.5,185.5,222.2,230.1,249.5
81, 0:06:42,402,402,178.6,221.6,221.7,216.8,234.7,251.9
82, 0:06:47,407,407,193.3,209.3,216.8,218.1,229.6,248.5
83, 0:06:52,412,412,218.7,224.9,209.1,215.7,234.1,252.7
84, 0:06:57,416.9,416.9,218.2,215.7,187.2,222.5,233.1,248.5
85, 0:07:02,421.9,421.9,206.5,225.2,173.1,212.3,232.1,250.2
86, 0:07:07,427,427,191.4,210.5,159.8,225.3,234.1,252.2
87, 0:07:12,431.9,431.9,197.1,230.7,195.9,218,230.2,254.4
88, 0:07:17,436.8,436.8,214.6,218.6,204.8,218,231,255.2
89, 0:07:22,441.8,441.8,196.5,210.5,195.2,225.6,233.3,253.8
90, 0:07:27,446.8,446.8,196.3,228.3,184.8,216.1,233.9,253
91, 0:07:32,451.8,451.8,211,213.4,204.6,216,237.2,251.4
92, 0:07:37,456.8,456.8,192,230.7,186.3,222.9,233.2,250.2
93, 0:07:42,461.7,461.7,206.4,247.3,176.7,212.6,235.7,250.9
94, 0:07:47,466.7,466.7,193.5,213.6,204.7,219.4,232.4,252.2
95, 0:07:52,471.7,471.7,189.2,224.7,198.1,219.6,234.8,250.9
96, 0:07:57,476.7,476.7,209.3,209,193.6,219.8,232.1,251.9
97, 0:08:02,481.7,481.7,209.8,215.7,195.3,221.2,233.7,251.1
98, 0:08:07,486.7,486.7,204.4,220.4,181.1,218.2,232.2,251
99, 0:08:12,491.7,491.7,208.6,215.7,167.1,216.2,236.2,254.2
100, 0:08:17,496.7,496.7,195,227.2,197.3,218.8,228.3,253
101, 0:08:22,501.7,501.7,201,224.8,207.8,219.9,230.2,251.6
102, 0:08:27,506.6,506.6,188.4,219.4,202.7,225.6,233.5,252.2
103, 0:08:32,511.6,511.6,194.3,213.1,205.1,216.5,236.7,255.4
104, 0:08:37,516.6,516.6,213.2,209.3,208.3,210.7,233.6,250.7
105, 0:08:42,521.8,521.8,210.5,237,189.1,219.4,233.6,252.9
106, 0:08:47,526.7,526.7,212.7,237.6,173,220.2,236.2,251.6
107, 0:08:52,531.7,531.7,187.5,223,201.5,217.7,231.3,255.1
108, 0:08:57,536.7,536.7,181.6,212.9,221.1,215.8,232.5,251.8
109, 0:09:02,541.7,541.7,228.3,207.9,224.7,225.9,232.2,251.3
110, 0:09:07,546.6,546.6,215.5,225.2,213.1,219,235.6,254.4
111, 0:09:12,551.6,551.6,216.4,223.9,185.2,223.1,235.6,251.6
112, 0:09:17,556.6,556.6,212.9,213.3,163.4,217.1,233.5,250.7
113, 0:09:22,561.6,561.6,203,226,155.5,223.6,237.4,254.4
114, 0:09:27,566.6,566.6,187.6,229.4,177.5,224.3,232.2,256.1
115, 0:09:32,572.1,572.1,188.4,208.4,201.8,214.1,231.7,252
116, 0:09:37,577,577,206.8,225.3,205,228.5,236,254.2
117, 0:09:42,582,582,220.8,237,199.3,224.1,235.6,251.3
118, 0:09:47,587.5,587.5,200,211.2,178.7,213.7,235.2,252.2
119, 0:09:52,592.1,592.1,187.2,208.4,180.9,223.5,236.4,255.2
120, 0:09:57,597.1,597.1,212.8,236.8,211.1,218,234.8,251.9
121, 0:10:02,602,602,211.2,227.5,207.9,219.9,232.6,252.5
122, 0:10:07,607,607,194.6,220,193.8,226.5,239.3,253
123, 0:10:12,612,612,184.9,224.9,181.8,223.5,235.5,251.6
124, 0:10:17,616.9,616.9,190.1,208.8,206.9,219.1,233.1,253.6
125, 0:10:22,621.9,621.9,212.3,231.7,213.3,223.9,236.1,254.4
126, 0:10:27,626.9,626.9,216.7,229.6,199.3,224.4,233.6,252.7
127, 0:10:32,631.8,631.8,198.2,213.5,181.8,223.3,235.9,251.8
128, 0:10:37,636.8,636.8,186.7,214.9,188.6,223.8,234,253.2
129, 0:10:42,641.8,641.8,186.4,225.3,210.3,220.5,238.4,249.1
130, 0:10:47,646.7,646.7,209.8,219.1,211.4,222,235.3,252.9
131, 0:10:52,652.2,652.2,199.3,229.8,196.7,220,237.3,249.8
132, 0:10:57,656.9,656.9,203.6,219,182.6,220.8,235,254.1
133, 0:11:02,661.9,661.9,188.1,221.1,171.9,222.6,236.4,251.9
134, 0:11:07,666.9,666.9,208.8,224.9,180.2,223.9,232.5,250.7
135, 0:11:12,671.8,671.8,211.9,214.1,201.9,218.8,237.3,252.6
136, 0:11:17,676.9,676.9,202.2,226.6,187.5,222.7,236.1,253.3
137, 0:11:22,681.8,681.8,213.3,230.9,172.2,219.1,234,252.7
138, 0:11:27,686.7,686.7,203.8,214.9,172.4,219.4,237.8,251.4
139, 0:11:32,691.8,691.8,185.6,223.1,189.2,226.4,232.8,254
140, 0:11:37,697.2,697.2,201,218.4,220.7,220.2,236.2,254.5
141, 0:11:42,701.8,701.8,209.2,222.6,217,223.7,231.9,252.4
142, 0:11:47,706.8,706.8,203.3,226.9,204.9,220.1,235,251.8
143, 0:11:52,711.8,711.8,216,216.2,185.1,220.2,236.5,258.1
144, 0:11:57,716.8,716.8,197.7,228.8,174.7,216.6,234.9,254.1
145, 0:12:02,721.7,721.7,196.4,227.3,189.1,218.5,231.6,253.7
146, 0:12:07,726.7,726.7,194.7,227.5,215.1,228.6,236.8,250.7
147, 0:12:12,731.7,731.7,209.9,221.8,206.5,221,237.6,253.3
148, 0:12:17,736.6,736.6,196.7,207.6,198.2,218.5,235.1,253.7
149, 0:12:22,742.1,742.1,220.4,233.1,193.9,220.9,234.2,252.4
150, 0:12:27,746.7,746.7,220.7,235,188.1,226,237.4,255
151, 0:12:32,751.7,751.7,200.3,220.6,177,224.7,235,256.2
152, 0:12:37,756.7,756.7,187.2,213.1,213.8,213.4,232.6,253.6
153, 0:12:42,761.7,761.7,189,239.9,221.9,227.4,234.6,254.5
154, 0:12:47,767.1,767.1,220.3,238.5,217,223.7,238,254.1
155, 0:12:52,771.7,771.7,216.8,234.2,203,223.1,237.2,253.3
156, 0:12:57,776.7,776.7,203.5,217.6,177.5,223.3,236.3,255.8
157, 0:13:02,781.7,781.7,190.7,214.5,169.2,222.5,239.3,251.9
158, 0:13:07,786.6,786.6,191.9,235.1,245.7,225.1,235.9,252.4
159, 0:13:12,791.6,791.6,211.1,229.3,210.7,221.5,238.3,256.6
160, 0:13:17,796.6,796.6,193.8,215.6,194.3,228.2,238.4,255.1
161, 0:13:22,801.6,801.6,184.2,225.7,178.5,226.7,236.6,250.7
162, 0:13:27,806.6,806.6,203.2,225.2,205.1,224.5,241.3,254.2
163, 0:13:32,811.6,811.6,212.6,219,212.5,225.3,240.4,257.5
164, 0:13:37,816.6,816.6,209.5,225.4,195.1,215.8,233.2,254
165, 0:13:42,821.6,821.6,209.8,230.8,183.3,228.2,236.3,253.4
166, 0:13:47,826.6,826.6,199.7,233.4,178.2,233.1,240.3,253
167, 0:13:52,832,832,188.7,210.8,206.6,221.1,234.5,255.5
168, 0:13:57,837.1,837.1,215.7,205.1,212.8,217.4,237.5,252.7
169, 0:14:02,842.1,842.1,232.4,231.6,204.1,225.6,238.1,254
170, 0:14:07,847,847,226.1,241.6,185.8,229.6,238.7,256.4
171, 0:14:13,852.5,852.5,209.7,231.8,194.6,222.4,237,255
172, 0:14:17,856.6,856.6,192,226.2,175.8,217.5,234.8,254.9
173, 0:14:22,862.1,862.1,181.7,214.7,208.4,230.4,238.2,253
174, 0:14:27,867.1,867.1,196.8,230.7,207.6,227.8,240.9,254
175, 0:14:32,872,872,205.9,213.9,216.1,225,239.3,253.5
176, 0:14:37,877,877,202,216.3,194.5,223.2,240.1,255.9
177, 0:14:42,881.9,881.9,217.4,238.4,187.1,228.7,239.3,255.8
178, 0:14:47,886.9,886.9,199.9,229.7,170.5,222.6,236.2,253.4
179, 0:14:52,891.9,891.9,188.7,213.7,205.7,227.5,237.1,253.4
180, 0:14:57,896.9,896.9,198.5,225.2,221.8,227,239.4,255.3
181, 0:15:02,901.8,901.8,218.3,223.4,213.8,224.4,239.1,255.8
182, 0:15:07,907.3,907.3,211.6,234.4,201.2,218.7,237.9,254.1
183, 0:15:12,911.9,911.9,208.7,228.1,178.6,227.2,238.1,255.3
184, 0:15:17,916.8,916.8,198,230,171.4,226,235.8,254.1
185, 0:15:22,921.8,921.8,188,214.8,196.6,221.8,236.2,254.4
186, 0:15:27,926.8,926.8,196.1,228.9,213.9,225.4,239.7,256.9
187, 0:15:32,932.3,932.3,223.8,233.9,208.4,223.6,234.7,255.8
188, 0:15:37,936.8,936.8,206.8,220.4,199,221,235.5,257.9
189, 0:15:42,941.8,941.8,198.8,232.8,184.5,229.9,237.4,257.8
190, 0:15:47,947,947,186.2,225.4,180.1,222.9,235.3,255
191, 0:15:52,952,952,197.7,216.3,212.9,224.3,239.5,256.1
192, 0:15:57,956.9,956.9,216.6,234.4,211.3,226.4,238.9,256.1
193, 0:16:02,962.4,962.4,215.3,222.2,199.8,219.9,241,256.1
194, 0:16:07,967,967,200.4,227.3,187.6,223.3,236.8,256.4
195, 0:16:12,972,972,190.1,235,180.6,221.6,236.7,256.5
196, 0:16:17,977,977,212,222.7,216.7,228.3,236.7,255.1
197, 0:16:22,981.9,981.9,194.1,227.8,205.2,223.4,238.2,256.9
198, 0:16:27,986.9,986.9,210.2,213.8,199.1,226.6,237.9,256.8
199, 0:16:32,992,992,219.8,233.3,191.2,223,239.8,255.5
200, 0:16:37,997,997,216.3,228.1,196.5,224.5,237.3,256.4
201, 0:16:42,1002,1002,196.6,236.4,175.6,227.6,241.3,256.2
202, 0:16:47,1006.9,1006.9,189.8,227.4,194.2,223.1,236.3,255
203, 0:16:52,1011.9,1011.9,187.7,218.4,219.5,223.6,237.5,257.7
204, 0:16:57,1016.9,1016.9,196.8,231.9,216.4,229,239.6,255.8
205, 0:17:02,1021.9,1021.9,220.4,232.6,208,224.3,239.3,256.2
206, 0:17:07,1026.9,1026.9,207,221.2,195,227,241.2,256.1
207, 0:17:12,1031.9,1031.9,193.8,234.2,181.3,222.2,238.9,258.1
208, 0:17:17,1036.9,1036.9,215.6,227.6,182,218.6,238.8,257.6
209, 0:17:22,1041.9,1041.9,197.4,238.6,190.7,231,240,258.2
210, 0:17:27,1046.9,1046.9,192.6,236.8,195,225.8,242.1,257.5
211, 0:17:32,1051.8,1051.8,192.6,217.2,203.9,226.2,238.1,259.7
212, 0:17:37,1056.8,1056.8,214.8,213.3,211,225.3,239.8,257.2
213, 0:17:42,1061.9,1061.9,224.3,236,208.8,230.4,236.8,254.6
214, 0:17:47,1066.8,1066.8,219.3,235.9,190.1,227.8,241,254.7
215, 0:17:52,1072.3,1072.3,211.6,225.2,175.3,232.2,241.2,257
216, 0:17:57,1077.3,1077.3,193.2,228.5,170.2,220.5,238.2,257.6
217, 0:18:02,1081.9,1081.9,187.4,227,212.8,227.8,238.2,261
218, 0:18:07,1086.9,1086.9,218.7,242.6,219.6,235.6,236.3,258.6
219, 0:18:12,1091.9,1091.9,202,230.2,215.2,230.2,237.7,256.4
