NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
13:31:59,7/29/15,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20150729-8000-20lps-eq\8000-20150729-20lps,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,20.7,,,,,,,,
Water Height,270,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,,,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,768,0,233,0,,,,,
Transducer 2,668,0,250,0,,,,,
Transducer 3,868,0,229,0,,,,,
Transducer 4,568,0,247,0,,,,,
Transducer 5,468,0,280,0,,,,,
Transducer 6,368,0,276,0,,,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
1, 0:00:02,1.5,1.5,163.7,181,142.3,187,207.8,212.5
2, 0:00:07,6.8,6.8,166.6,190.2,163.2,185.2,206.4,215.5
3, 0:00:12,12.2,12.2,170.9,185.1,169.8,188.4,211,216.1
4, 0:00:17,16.8,16.8,151.1,187.5,147.6,189.9,206.8,215.4
5, 0:00:22,21.8,21.8,164,178.7,137.8,187.3,205.1,216.3
6, 0:00:27,26.7,26.7,157.9,184.7,157.3,182.8,208.9,214.4
7, 0:00:32,31.7,31.7,176.1,183.6,173.3,189.1,206.4,213.1
8, 0:00:37,36.6,36.6,168,188.8,165.5,184.8,211.5,215.7
9, 0:00:42,41.7,41.7,164,177,164.4,190,206.3,216.3
10, 0:00:47,46.7,46.7,154.1,190.4,148.7,183.9,206.9,215.2
11, 0:00:52,51.7,51.7,176,180.3,139.9,184.2,207.4,215.5
12, 0:00:57,56.6,56.6,171.7,191.2,172,189.5,210.5,215
13, 0:01:02,61.6,61.6,161.4,192.7,170.6,189.8,209.7,212.4
14, 0:01:07,66.6,66.6,167.1,179,153.4,188.4,205.4,215.4
15, 0:01:12,72,72,151.3,182,141.9,184.5,207.6,216.8
16, 0:01:17,76.6,76.6,167.7,185.6,150.7,185.6,206.6,213.5
17, 0:01:22,81.5,81.5,182.7,191.1,178.2,184.6,207,215.7
18, 0:01:27,87.1,87.1,170.1,184.2,171.8,188.1,208.3,213.9
19, 0:01:32,92.1,92.1,157.1,187.9,159.7,186.4,207.3,214.5
20, 0:01:37,97,97,152.8,183.7,140.4,189,206.6,217.1
21, 0:01:42,102.5,102.5,174.1,191.7,148,190.7,209,213.7
22, 0:01:47,107.1,107.1,171.5,187.7,171.8,187.6,203.8,216.8
23, 0:01:52,112.1,112.1,166.5,183.8,164.6,185.8,207.3,214.5
24, 0:01:57,117,117,149.7,188,148.2,193.6,205.8,214.2
25, 0:02:02,122.5,122.5,181,193.8,144.7,184.9,205.8,215.8
26, 0:02:07,127,127,165.6,177.6,168.7,188.7,208.8,217.4
27, 0:02:12,132,132,153.3,189.3,148.6,188.1,207.8,213.3
28, 0:02:17,137.4,137.4,171.4,187.9,139.9,193.5,208.7,214.8
29, 0:02:22,142,142,173.2,185.2,177.2,185.3,209.5,214.9
30, 0:02:27,147,147,156,183.4,171.7,190.8,209.8,213.9
31, 0:02:32,152,152,170.5,192,148.5,187.4,208.5,214.8
32, 0:02:37,156.9,156.9,177.8,182.4,145.9,187.6,207.6,213.9
33, 0:02:42,161.8,161.8,150.5,178.1,166.4,186.5,207.1,214.7
34, 0:02:47,166.8,166.8,163.3,190.4,146.9,185.9,210.4,217.7
35, 0:02:52,171.8,171.8,182.7,187.6,161.8,191.3,209.9,215
36, 0:02:57,176.8,176.8,161.7,192.6,174.9,183.8,207.7,215.4
37, 0:03:02,181.8,181.8,161.4,172.3,150.8,188.8,205.3,220
38, 0:03:07,186.8,186.8,152,189.9,137.2,186.1,215.6,216.6
39, 0:03:12,191.7,191.7,179.1,193.4,143,193.5,208.9,217
40, 0:03:17,196.7,196.7,174.5,190.2,174.5,187.5,208.4,216.2
41, 0:03:22,202.1,202.1,150.1,175.9,165.5,187,208.1,217.4
42, 0:03:27,206.6,206.6,144.2,188.2,135.1,186.4,210.1,216.9
43, 0:03:32,211.7,211.7,145.8,186.9,132.1,187.4,207.9,215.9
44, 0:03:37,216.6,216.6,176.3,188.2,172.7,185.4,210.3,216.8
45, 0:03:42,221.6,221.6,154.3,186.7,173.8,190.3,205.9,218.6
46, 0:03:47,227.1,227.1,167.5,191,156.3,185.5,210.4,216.8
47, 0:03:52,231.6,231.6,158.4,182.6,142,190.1,207,215.3
48, 0:03:57,236.6,236.6,161.3,185.6,137,187.8,210.3,216.9
49, 0:04:02,241.6,241.6,166.2,184.9,164.3,194.6,212.7,215.7
50, 0:04:07,246.6,246.6,169.4,187.9,172.7,185.5,208.7,217.1
51, 0:04:12,252,252,162.4,176.1,154.4,186.2,209.1,215
52, 0:04:17,257.1,257.1,160.1,186.2,154.6,189.8,209.8,218.7
53, 0:04:22,261.7,261.7,179.9,189,156.5,191,210.2,212.6
54, 0:04:27,266.7,266.7,167.8,181.6,178,189.5,205.3,220.3
55, 0:04:32,272.1,272.1,151.9,182.4,160.2,186.6,210.4,215.3
56, 0:04:37,277.2,277.2,158.2,182.1,142,195,208.6,216.3
57, 0:04:42,281.7,281.7,175.9,192.5,159.7,185.7,209.9,217.3
58, 0:04:47,286.7,286.7,171.7,176.9,175.3,187.2,209.4,214.7
59, 0:04:52,292.2,292.2,153.6,191.3,160.4,186.7,206.4,214.8
60, 0:04:57,296.7,296.7,177.8,185.1,146.8,186.5,209.3,217.3
61, 0:05:02,301.7,301.7,179.8,187.6,171.1,189.8,213,218.5
62, 0:05:07,306.7,306.7,156.6,188.5,161.1,190.7,207.4,215.4
63, 0:05:12,311.7,311.7,165.7,184.5,134.1,184.1,208,219.4
64, 0:05:17,316.6,316.6,153.1,182.7,135.3,185.7,208.1,215.9
65, 0:05:22,321.6,321.6,175.2,192.1,167.8,186.3,208.5,216
66, 0:05:27,327.1,327.1,176.1,188.8,182.8,189.8,209.2,217.5
67, 0:05:32,331.6,331.6,159.5,187.4,161.1,188.6,210.2,217.5
68, 0:05:37,336.6,336.6,157.2,183.3,145.1,188.1,207.8,215.1
69, 0:05:42,341.6,341.6,162.7,181.8,136.1,189.2,207.6,216.5
70, 0:05:47,346.9,346.9,175,191,172,191.5,213,217.9
71, 0:05:52,351.9,351.9,180.6,185.9,175.3,193.9,206.9,215.4
72, 0:05:57,356.9,356.9,155.2,186.3,154.7,182.6,207,216.2
73, 0:06:02,362.5,362.5,163.2,177.3,143.2,187.8,207.3,217.3
74, 0:06:07,367,367,168.4,196.5,157.9,190.9,210.7,218.9
75, 0:06:12,372.5,372.5,185,196.7,180.2,191,211,216.9
76, 0:06:17,377.1,377.1,167.4,180.4,164,188.4,203.4,217.8
77, 0:06:23,382.5,382.5,151.2,186.9,149,182.9,213,216.7
78, 0:06:27,386.6,386.6,147.5,187.1,127.3,196.7,207.8,214.5
79, 0:06:32,391.6,391.6,179.2,200.3,141.2,188.7,208.6,218
80, 0:06:37,397,397,183.3,189.5,181.3,187.7,209.2,218.9
81, 0:06:42,402.1,402.1,159.4,174.3,163.5,190.2,211,216.3
82, 0:06:48,407.5,407.5,143.6,197,140.4,191.4,207.9,217.4
83, 0:06:52,411.6,411.6,147.9,185.6,136.4,190.7,212,220.4
84, 0:06:57,416.6,416.6,177.3,192.5,166.9,190,210.4,217.1
85, 0:07:02,422,422,153.4,186.8,174.3,191.4,211.3,217
86, 0:07:07,426.7,426.7,160.8,193,155.7,186.6,209,220
87, 0:07:12,431.6,431.6,165.7,178.4,143.8,194.6,215,215.9
88, 0:07:17,437.1,437.1,147.4,193.9,157.6,190.1,208,216.6
89, 0:07:22,442.2,442.2,173.5,173.8,148.3,185.2,212.1,216.2
90, 0:07:27,446.8,446.8,151.1,181.9,197.5,190,207.6,216.9
91, 0:07:32,451.7,451.7,175.2,190.6,163.4,188.2,212.7,219.1
92, 0:07:37,456.7,456.7,176.7,183.1,146.8,190.4,210.1,217.5
93, 0:07:42,461.7,461.7,156.9,185,166,189.2,208.3,215.9
94, 0:07:47,466.7,466.7,167.3,183.4,153.3,187.3,208.7,218.9
95, 0:07:52,471.7,471.7,169.1,185,152.2,187.1,209.4,216.7
96, 0:07:57,476.7,476.7,171.9,190.5,167.8,190,210.7,217.7
97, 0:08:02,481.8,481.8,167.6,184.7,155.1,187.2,207.4,218.9
98, 0:08:07,486.8,486.8,152.4,181.9,144.6,191.4,208.2,217.8
99, 0:08:12,492.2,492.2,168.3,187.4,152.1,187.1,209.9,219.9
100, 0:08:17,496.8,496.8,177.2,180.9,180.7,191.7,216.3,219.6
101, 0:08:22,501.6,501.6,161.3,189.1,177.3,187.4,209.7,218.5
102, 0:08:27,506.6,506.6,174.1,176.4,148.9,185.6,207.3,217.5
103, 0:08:33,512.5,512.5,153.6,188.5,139.6,188.7,209,217.7
104, 0:08:37,516.6,516.6,177.8,194.4,148.8,191.5,209.9,217.1
105, 0:08:42,521.7,521.7,172,189.4,174.5,189.6,208,217.4
106, 0:08:47,526.7,526.7,157.6,183,191.1,186.4,210.3,219.3
107, 0:08:52,531.7,531.7,150.5,184.1,143.5,189.5,208.8,217.8
108, 0:08:57,536.7,536.7,174.8,191.4,159.7,188.4,208.2,216.9
109, 0:09:02,541.7,541.7,182.2,185.7,180.2,191.5,209.3,219.1
110, 0:09:07,546.7,546.7,161.7,192.2,168.5,191.7,211.3,220.8
111, 0:09:12,551.7,551.7,170.5,184.9,143.6,185.9,207.6,215.9
112, 0:09:17,556.6,556.6,154.7,180.5,133.2,190.7,211.8,218.5
113, 0:09:22,561.6,561.6,167.4,195.1,150.6,189.2,211.2,215.1
114, 0:09:27,566.6,566.6,184.3,178.9,180.6,192.1,210.1,218.2
115, 0:09:32,571.6,571.6,164.3,188.6,170.6,187.3,213,220.2
116, 0:09:37,576.6,576.6,157.4,178.1,150.9,194.6,213.2,216.3
117, 0:09:42,581.6,581.6,161.8,197.2,134.3,188.1,206.1,217.1
118, 0:09:47,586.6,586.6,178,180.4,160.6,184.9,209.4,219.1
119, 0:09:52,591.5,591.5,155.8,178.1,169.2,192.5,209.5,216.5
120, 0:09:57,597,597,177.4,203.5,148.6,189.2,207.3,219.8
121, 0:10:03,602.5,602.5,180.9,184.7,162.8,190.2,211,219.7
122, 0:10:07,607.1,607.1,163.8,187.8,170.6,191.3,210.1,218.5
123, 0:10:12,611.6,611.6,147.9,192,147.3,187.9,210.4,218.3
124, 0:10:17,616.6,616.6,174.7,180.7,142.8,190.8,208.1,221.3
125, 0:10:22,621.6,621.6,172.4,192.4,170.8,187.9,211.9,217.7
126, 0:10:27,626.6,626.6,178.5,190.1,177.9,196.8,212.1,219.1
127, 0:10:32,631.5,631.5,156.9,187.9,154.5,187.1,208.7,218
128, 0:10:37,637.1,637.1,158.2,174.6,148.7,195.8,213.9,218.8
129, 0:10:42,641.7,641.7,165.1,192.6,140.6,187.8,210.7,218.2
130, 0:10:47,646.6,646.6,182.2,184.3,175.3,189.1,211,218
131, 0:10:52,651.7,651.7,169.3,182.1,170.4,189.4,211.9,219.2
132, 0:10:57,657.1,657.1,152.5,192,152.4,192.6,212.8,217.2
133, 0:11:02,662.1,662.1,183.4,187.3,134.7,189,208.1,216.8
134, 0:11:07,666.7,666.7,168.3,181.3,168.7,187.1,214,223.4
135, 0:11:12,671.7,671.7,156,186.3,159.7,192.7,212.3,216.2
136, 0:11:17,676.7,676.7,178.8,190.5,146.3,188.1,208.1,218.2
137, 0:11:22,681.7,681.7,170.7,181.2,166.9,186.5,207.7,218.2
138, 0:11:27,686.7,686.7,158.6,191.2,163.1,194.4,213.6,220.4
139, 0:11:32,691.6,691.6,177.7,197.1,145.4,193.6,209.7,220
140, 0:11:37,696.7,696.7,162.8,176,160,190.7,209.6,219.4
141, 0:11:42,701.6,701.6,149.2,180.9,146.4,188.1,208.3,218
142, 0:11:47,706.6,706.6,170.3,189.1,140.1,190.7,211.1,220.1
143, 0:11:52,712,712,188,197.1,181.9,194.6,209.2,219.8
144, 0:11:57,717.1,717.1,166.1,186.8,167.8,188.1,208.6,217.2
145, 0:12:02,722,722,155.1,183.2,154,191.4,208.7,222.4
146, 0:12:07,727,727,148.1,188.4,130.1,190.4,213.8,216
147, 0:12:12,732,732,171.2,189.4,150.2,195,208.4,221.1
148, 0:12:17,736.6,736.6,164.3,186.2,171.2,186.3,212.8,218.8
149, 0:12:22,741.6,741.6,158.4,183.2,163.3,193.8,210.3,217.7
150, 0:12:27,746.5,746.5,172.1,193.7,153.4,188.9,210.5,220.5
151, 0:12:32,751.7,751.7,170.3,177.2,161.5,190.2,212.7,218.6
152, 0:12:37,756.7,756.7,148.6,192.4,151.7,189.9,213,217.6
153, 0:12:42,762.1,762.1,180,190.8,140,192.3,208.7,218.5
154, 0:12:47,766.7,766.7,156.2,181.3,163.5,193,211.1,221.7
155, 0:12:52,771.7,771.7,149.6,184.7,160.4,192.8,214.6,218.8
156, 0:12:57,776.7,776.7,177.3,184.3,145.5,190,208.3,217.3
157, 0:13:02,781.6,781.6,164.2,180.4,167.2,188.8,211.2,220.5
158, 0:13:07,786.7,786.7,169.5,189.1,164.2,189.5,215,218.8
159, 0:13:12,791.7,791.7,175.3,187.9,152.9,191,209.5,218.6
160, 0:13:17,796.7,796.7,165.5,182.7,152.7,186.2,211,222.8
161, 0:13:22,802.1,802.1,160.6,185.6,141.6,191.4,212.5,218.9
162, 0:13:27,806.7,806.7,172.7,190.4,164.6,192.5,208.8,218.5
163, 0:13:32,811.7,811.7,166.6,186.5,175.2,185.7,211,218
164, 0:13:37,816.8,816.8,158.8,181.9,161.7,192.7,209.3,219.5
165, 0:13:42,821.7,821.7,176.2,194.5,149.2,193.2,212.6,219.2
166, 0:13:47,827.1,827.1,178.7,180.1,171.2,189.3,209.8,219.7
167, 0:13:52,831.7,831.7,155.4,178.4,158.9,188.6,209,217.3
168, 0:13:57,836.7,836.7,149.5,187.5,143.1,191,212.7,220.3
169, 0:14:02,841.6,841.6,186.3,190.8,160.7,190.4,214.2,217.5
